Mt,Mh_calc,Stability,S_approx
166.0,128.538,1,-1.0
166.0,128.588,1,-1.0
166.0,128.638,1,-1.0
166.0,128.687,1,-1.0
166.0,128.737,1,-1.0
166.0,128.786,1,-1.0
166.0,128.836,1,-1.0
166.0,128.886,1,-1.0
166.0,128.935,1,-1.0
166.0,128.985,1,-1.0
166.0,129.035,1,-1.0
166.0,129.084,1,-1.0
166.0,129.134,1,-1.0
166.0,129.184,1,-1.0
166.0,129.233,1,-1.0
166.0,129.283,1,-1.0
166.0,129.332,1,-1.0
166.0,129.382,1,-1.0
166.0,129.432,1,-1.0
166.0,129.481,1,-1.0
166.0,129.531,1,-1.0
166.0,129.581,1,-1.0
166.0,129.63,1,-1.0
166.0,129.68,1,-1.0
166.0,129.73,1,-1.0
166.0,129.779,1,-1.0
166.0,129.829,1,-1.0
166.0,129.879,1,-1.0
166.0,129.928,1,-1.0
166.0,129.978,1,-1.0
166.0,130.027,1,-1.0
166.0,130.077,1,-1.0
166.0,130.127,1,-1.0
166.0,130.176,1,-1.0
166.0,130.226,1,-1.0
166.0,130.276,1,-1.0
166.0,130.325,1,-1.0
166.0,130.375,1,-1.0
166.0,130.425,1,-1.0
166.0,130.474,1,-1.0
166.0,130.524,1,-1.0
166.0,130.574,1,-1.0
166.0,130.623,1,-1.0
166.0,130.673,1,-1.0
166.0,130.722,1,-1.0
166.0,130.772,1,-1.0
166.0,130.822,1,-1.0
166.0,130.871,1,-1.0
166.0,130.921,1,-1.0
166.0,130.971,1,-1.0
166.0,131.02,1,-1.0
166.0,131.07,1,-1.0
166.0,131.12,1,-1.0
166.0,131.169,1,-1.0
166.0,131.219,1,-1.0
166.0,131.269,1,-1.0
166.0,131.318,1,-1.0
166.0,131.368,1,-1.0
166.0,131.418,1,-1.0
166.0,131.467,1,-1.0
166.0,131.517,1,-1.0
166.0,131.567,1,-1.0
166.0,131.616,1,-1.0
166.0,131.666,1,-1.0
166.0,131.715,1,-1.0
166.0,131.765,1,-1.0
166.0,131.815,1,-1.0
166.0,131.864,1,-1.0
166.05,118.019,1,-1.0
166.05,118.068,1,-1.0
166.05,118.118,1,-1.0
166.05,118.168,1,-1.0
166.05,118.217,1,-1.0
166.05,118.267,1,-1.0
166.05,118.316,1,-1.0
166.05,118.366,1,-1.0
166.05,118.415,1,-1.0
166.05,118.465,1,-1.0
