Mt,Mh_calc,Stability,S_approx
187.5,189.75,4,-1
187.5,190,4,-1
187.5,190.25,4,-1
187.5,190.5,4,-1
187.5,190.75,4,-1
187.5,191,4,-1
187.5,191.25,4,-1
187.5,191.5,4,-1
187.5,191.75,4,-1
187.5,192,4,-1
187.5,192.25,4,-1
187.5,192.5,4,-1
187.5,192.75,4,-1
187.5,193,4,-1
187.5,193.25,4,-1
187.5,193.5,4,-1
187.5,193.75,4,-1
187.5,194,4,-1
187.5,194.25,4,-1
187.5,194.5,4,-1
187.5,194.75,4,-1
187.5,195,4,-1
187.5,195.25,4,-1
187.5,195.5,4,-1
187.5,195.75,4,-1
187.5,196,4,-1
187.5,196.25,4,-1
187.5,196.5,4,-1
187.5,196.75,4,-1
187.5,197,4,-1
187.5,197.25,4,-1
187.5,197.5,4,-1
187.5,197.75,4,-1
187.5,198,4,-1
187.5,198.25,4,-1
187.5,198.5,4,-1
187.5,198.75,4,-1
187.5,199,4,-1
187.5,199.25,4,-1
187.5,199.5,4,-1
187.5,199.75,4,-1
187.5,200,4,-1
187.5,200.25,4,-1
187.5,200.5,4,-1
187.5,200.75,4,-1
187.5,201,4,-1
187.5,201.25,4,-1
187.5,201.5,4,-1
187.5,201.75,4,-1
187.5,202,4,-1
187.5,202.25,4,-1
187.5,202.5,4,-1
187.5,202.75,4,-1
187.5,203,4,-1
187.5,203.25,4,-1
187.5,203.5,4,-1
187.5,203.75,4,-1
187.5,204,4,-1
187.5,204.25,4,-1
187.5,204.5,4,-1
187.5,204.75,4,-1
187.5,205,4,-1
187.5,205.25,4,-1
187.5,205.5,4,-1
187.5,205.75,4,-1
187.5,206,4,-1
187.5,206.25,4,-1
187.5,206.5,4,-1
187.5,206.75,4,-1
187.5,207,4,-1
187.5,207.25,4,-1
187.5,207.5,4,-1
187.5,207.75,4,-1
187.5,208,4,-1
187.5,208.25,4,-1
187.5,208.5,4,-1
187.5,208.75,4,-1
187.5,209,4,-1
187.5,209.25,4,-1
187.5,209.5,4,-1
187.5,209.75,4,-1
187.5,210,4,-1
187.5,210.25,4,-1
187.5,210.5,4,-1
187.5,210.75,4,-1
187.5,211,4,-1
187.5,211.25,4,-1
187.5,211.5,4,-1
187.5,211.75,4,-1
187.5,212,4,-1
187.5,212.25,4,-1
187.5,212.5,4,-1
187.5,212.75,4,-1
187.5,213,4,-1
187.5,213.25,4,-1
187.5,213.5,4,-1
187.5,213.75,4,-1
187.5,214,4,-1
187.5,214.25,4,-1
187.5,214.5,4,-1
187.5,214.75,4,-1
187.5,215,4,-1
187.5,215.25,4,-1
187.5,215.5,4,-1
187.5,215.75,4,-1
187.5,216,4,-1
187.5,216.25,4,-1
187.5,216.5,4,-1
187.5,216.75,4,-1
187.5,217,4,-1
187.5,217.25,4,-1
187.5,217.5,4,-1
187.5,217.75,4,-1
187.5,218,4,-1
187.5,218.25,4,-1
187.5,218.5,4,-1
187.5,218.75,4,-1
187.5,219,4,-1
187.5,219.25,4,-1
187.5,219.5,4,-1
187.5,219.75,4,-1
187.5,220,4,-1
187.5,220.25,4,-1
187.5,220.5,4,-1
187.5,220.75,4,-1
187.5,221,4,-1
187.5,221.25,4,-1
187.5,221.5,4,-1
187.5,221.75,4,-1
187.5,222,4,-1
187.5,222.25,4,-1
187.5,222.5,4,-1
187.5,222.75,4,-1
187.5,223,4,-1
187.5,223.25,4,-1
187.5,223.5,4,-1
187.5,223.75,4,-1
187.5,224,4,-1
187.5,224.25,4,-1
187.5,224.5,4,-1
187.5,224.75,4,-1
187.5,225,4,-1
187.5,225.25,4,-1
187.5,225.5,4,-1
187.5,225.75,4,-1
187.5,226,4,-1
187.5,226.25,4,-1
187.5,226.5,4,-1
187.5,226.75,4,-1
187.5,227,4,-1
187.5,227.25,4,-1
187.5,227.5,4,-1
187.5,227.75,4,-1
187.5,228,4,-1
187.5,228.25,4,-1
187.5,228.5,4,-1
187.5,228.75,4,-1
187.5,229,4,-1
187.5,229.25,4,-1
187.5,229.5,4,-1
187.5,229.75,4,-1
187.5,230,4,-1
187.5,230.25,4,-1
187.5,230.5,4,-1
187.5,230.75,4,-1
187.5,231,4,-1
187.5,231.25,4,-1
187.5,231.5,4,-1
187.5,231.75,4,-1
187.5,232,4,-1
187.5,232.25,4,-1
187.5,232.5,4,-1
187.5,232.75,4,-1
187.5,233,4,-1
187.5,233.25,4,-1
187.5,233.5,4,-1
187.5,233.75,4,-1
187.5,234,4,-1
187.5,234.25,4,-1
187.5,234.5,4,-1
187.5,234.75,4,-1
187.5,235,4,-1
187.5,235.25,4,-1
187.5,235.5,4,-1
187.5,235.75,4,-1
187.5,236,4,-1
187.5,236.25,4,-1
187.5,236.5,4,-1
187.5,236.75,4,-1
187.5,237,4,-1
187.5,237.25,4,-1
187.5,237.5,4,-1
187.5,237.75,4,-1
187.5,238,4,-1
187.5,238.25,4,-1
187.5,238.5,4,-1
187.5,238.75,4,-1
187.5,239,4,-1
187.5,239.25,4,-1
187.5,239.5,4,-1
187.5,239.75,4,-1
187.5,240,4,-1
187.5,240.25,4,-1
187.5,240.5,4,-1
187.5,240.75,4,-1
187.5,241,4,-1
187.5,241.25,4,-1
187.5,241.5,4,-1
187.5,241.75,4,-1
187.5,242,4,-1
187.5,242.25,4,-1
187.5,242.5,4,-1
187.5,242.75,4,-1
187.5,243,4,-1
187.5,243.25,4,-1
187.5,243.5,4,-1
187.5,243.75,4,-1
187.5,244,4,-1
187.5,244.25,4,-1
187.5,244.5,4,-1
187.5,244.75,4,-1
187.5,245,4,-1
187.5,245.25,4,-1
187.5,245.5,4,-1
187.5,245.75,4,-1
187.5,246,4,-1
187.5,246.25,4,-1
187.5,246.5,4,-1
187.5,246.75,4,-1
187.5,247,4,-1
187.5,247.25,4,-1
187.5,247.5,4,-1
187.5,247.75,4,-1
187.5,248,4,-1
187.5,248.25,4,-1
187.5,248.5,4,-1
187.5,248.75,4,-1
187.5,249,4,-1
187.5,249.25,4,-1
187.5,249.5,4,-1
187.5,249.75,4,-1
187.5,250,4,-1
187.75,0,3,122.705
187.75,0.25,3,122.705
187.75,0.5,3,122.706
187.75,0.75,3,122.707
187.75,1,3,122.708
187.75,1.25,3,122.71
187.75,1.5,3,122.712
187.75,1.75,3,122.714
187.75,2,3,122.717
187.75,2.25,3,122.72
187.75,2.5,3,122.723
187.75,2.75,3,122.727
187.75,3,3,122.732
187.75,3.25,3,122.736
187.75,3.5,3,122.741
187.75,3.75,3,122.747
187.75,4,3,122.752
187.75,4.25,3,122.759
187.75,4.5,3,122.765
187.75,4.75,3,122.772
187.75,5,3,122.779
187.75,5.25,3,122.787
187.75,5.5,3,122.795
187.75,5.75,3,122.803
187.75,6,3,122.812
187.75,6.25,3,122.821
187.75,6.5,3,122.831
187.75,6.75,3,122.84
187.75,7,3,122.851
187.75,7.25,3,122.861
187.75,7.5,3,122.872
187.75,7.75,3,122.884
187.75,8,3,122.895
187.75,8.25,3,122.907
187.75,8.5,3,122.92
187.75,8.75,3,122.933
187.75,9,3,122.946
187.75,9.25,3,122.96
187.75,9.5,3,122.974
187.75,9.75,3,122.988
187.75,10,3,123.003
187.75,10.25,3,123.018
187.75,10.5,3,123.033
187.75,10.75,3,123.049
187.75,11,3,123.066
187.75,11.25,3,123.082
187.75,11.5,3,123.099
187.75,11.75,3,123.117
187.75,12,3,123.134
187.75,12.25,3,123.152
187.75,12.5,3,123.171
187.75,12.75,3,123.19
187.75,13,3,123.209
187.75,13.25,3,123.229
187.75,13.5,3,123.249
187.75,13.75,3,123.269
187.75,14,3,123.29
187.75,14.25,3,123.312
187.75,14.5,3,123.333
187.75,14.75,3,123.355
187.75,15,3,123.378
187.75,15.25,3,123.4
187.75,15.5,3,123.423
187.75,15.75,3,123.447
187.75,16,3,123.471
187.75,16.25,3,123.495
187.75,16.5,3,123.52
187.75,16.75,3,123.545
187.75,17,3,123.57
187.75,17.25,3,123.596
187.75,17.5,3,123.623
187.75,17.75,3,123.649
187.75,18,3,123.676
187.75,18.25,3,123.704
187.75,18.5,3,123.732
187.75,18.75,3,123.76
187.75,19,3,123.789
187.75,19.25,3,123.818
187.75,19.5,3,123.847
187.75,19.75,3,123.877
187.75,20,3,123.907
187.75,20.25,3,123.938
187.75,20.5,3,123.969
187.75,20.75,3,124
187.75,21,3,124.032
187.75,21.25,3,124.064
187.75,21.5,3,124.097
187.75,21.75,3,124.13
187.75,22,3,124.163
187.75,22.25,3,124.197
187.75,22.5,3,124.231
187.75,22.75,3,124.266
187.75,23,3,124.301
187.75,23.25,3,124.336
187.75,23.5,3,124.372
187.75,23.75,3,124.409
187.75,24,3,124.445
187.75,24.25,3,124.482
187.75,24.5,3,124.52
187.75,24.75,3,124.558
187.75,25,3,124.596
187.75,25.25,3,124.635
187.75,25.5,3,124.674
187.75,25.75,3,124.714
187.75,26,3,124.754
187.75,26.25,3,124.794
187.75,26.5,3,124.835
187.75,26.75,3,124.876
187.75,27,3,124.918
187.75,27.25,3,124.96
187.75,27.5,3,125.003
187.75,27.75,3,125.046
187.75,28,3,125.089
187.75,28.25,3,125.133
187.75,28.5,3,125.177
187.75,28.75,3,125.222
187.75,29,3,125.267
187.75,29.25,3,125.313
187.75,29.5,3,125.358
187.75,29.75,3,125.405
187.75,30,3,125.452
187.75,30.25,3,125.499
187.75,30.5,3,125.547
187.75,30.75,3,125.595
187.75,31,3,125.644
187.75,31.25,3,125.693
187.75,31.5,3,125.742
187.75,31.75,3,125.792
187.75,32,3,125.842
187.75,32.25,3,125.893
187.75,32.5,3,125.944
187.75,32.75,3,125.996
187.75,33,3,126.048
187.75,33.25,3,126.101
187.75,33.5,3,126.154
187.75,33.75,3,126.208
187.75,34,3,126.262
187.75,34.25,3,126.316
187.75,34.5,3,126.371
187.75,34.75,3,126.426
187.75,35,3,126.482
187.75,35.25,3,126.538
187.75,35.5,3,126.595
187.75,35.75,3,126.652
187.75,36,3,126.71
187.75,36.25,3,126.768
187.75,36.5,3,126.827
187.75,36.75,3,126.886
187.75,37,3,126.945
187.75,37.25,3,127.005
187.75,37.5,3,127.066
187.75,37.75,3,127.127
187.75,38,3,127.188
187.75,38.25,3,127.25
187.75,38.5,3,127.313
187.75,38.75,3,127.376
187.75,39,3,127.439
187.75,39.25,3,127.503
187.75,39.5,3,127.567
187.75,39.75,3,127.632
187.75,40,3,127.698
187.75,40.25,3,127.763
187.75,40.5,3,127.83
187.75,40.75,3,127.897
187.75,41,3,127.964
187.75,41.25,3,128.032
187.75,41.5,3,128.1
187.75,41.75,3,128.169
187.75,42,3,128.239
187.75,42.25,3,128.308
187.75,42.5,3,128.379
187.75,42.75,3,128.45
187.75,43,3,128.521
187.75,43.25,3,128.593
187.75,43.5,3,128.665
187.75,43.75,3,128.738
187.75,44,3,128.812
187.75,44.25,3,128.886
187.75,44.5,3,128.961
187.75,44.75,3,129.036
187.75,45,3,129.111
187.75,45.25,3,129.188
187.75,45.5,3,129.264
187.75,45.75,3,129.341
187.75,46,3,129.419
187.75,46.25,3,129.498
187.75,46.5,3,129.576
187.75,46.75,3,129.656
187.75,47,3,129.736
187.75,47.25,3,129.816
187.75,47.5,3,129.897
187.75,47.75,3,129.979
187.75,48,3,130.061
187.75,48.25,3,130.144
187.75,48.5,3,130.227
187.75,48.75,3,130.311
187.75,49,3,130.396
187.75,49.25,3,130.48
187.75,49.5,3,130.566
187.75,49.75,3,130.652
187.75,50,3,130.739
187.75,50.25,3,130.826
187.75,50.5,3,130.914
187.75,50.75,3,131.003
187.75,51,3,131.092
187.75,51.25,3,131.182
187.75,51.5,3,131.272
187.75,51.75,3,131.363
187.75,52,3,131.454
187.75,52.25,3,131.546
187.75,52.5,3,131.639
187.75,52.75,3,131.732
187.75,53,3,131.826
187.75,53.25,3,131.921
187.75,53.5,3,132.016
187.75,53.75,3,132.112
187.75,54,3,132.208
187.75,54.25,3,132.305
187.75,54.5,3,132.403
187.75,54.75,3,132.501
187.75,55,3,132.6
187.75,55.25,3,132.699
187.75,55.5,3,132.8
187.75,55.75,3,132.901
187.75,56,3,133.002
187.75,56.25,3,133.104
187.75,56.5,3,133.207
187.75,56.75,3,133.31
187.75,57,3,133.414
187.75,57.25,3,133.519
187.75,57.5,3,133.625
187.75,57.75,3,133.731
187.75,58,3,133.838
187.75,58.25,3,133.945
187.75,58.5,3,134.053
187.75,58.75,3,134.162
187.75,59,3,134.272
187.75,59.25,3,134.382
187.75,59.5,3,134.493
187.75,59.75,3,134.605
187.75,60,3,134.717
187.75,60.25,3,134.83
187.75,60.5,3,134.944
187.75,60.75,3,135.058
187.75,61,3,135.174
187.75,61.25,3,135.29
187.75,61.5,3,135.406
187.75,61.75,3,135.524
187.75,62,3,135.642
187.75,62.25,3,135.761
187.75,62.5,3,135.88
187.75,62.75,3,136.001
187.75,63,3,136.122
187.75,63.25,3,136.244
187.75,63.5,3,136.367
187.75,63.75,3,136.49
187.75,64,3,136.614
187.75,64.25,3,136.739
187.75,64.5,3,136.865
187.75,64.75,3,136.992
187.75,65,3,137.119
187.75,65.25,3,137.247
187.75,65.5,3,137.376
187.75,65.75,3,137.506
187.75,66,3,137.637
187.75,66.25,3,137.768
187.75,66.5,3,137.9
187.75,66.75,3,138.033
187.75,67,3,138.167
187.75,67.25,3,138.302
187.75,67.5,3,138.437
187.75,67.75,3,138.574
187.75,68,3,138.711
187.75,68.25,3,138.849
187.75,68.5,3,138.988
187.75,68.75,3,139.128
187.75,69,3,139.269
187.75,69.25,3,139.41
187.75,69.5,3,139.553
187.75,69.75,3,139.696
187.75,70,3,139.84
187.75,70.25,3,139.985
187.75,70.5,3,140.131
187.75,70.75,3,140.279
187.75,71,3,140.426
187.75,71.25,3,140.575
187.75,71.5,3,140.725
187.75,71.75,3,140.876
187.75,72,3,141.027
187.75,72.25,3,141.18
187.75,72.5,3,141.334
187.75,72.75,3,141.488
187.75,73,3,141.644
187.75,73.25,3,141.8
187.75,73.5,3,141.958
187.75,73.75,3,142.116
187.75,74,3,142.275
187.75,74.25,3,142.436
187.75,74.5,3,142.597
187.75,74.75,3,142.76
187.75,75,3,142.923
187.75,75.25,3,143.088
187.75,75.5,3,143.254
187.75,75.75,3,143.42
187.75,76,3,143.588
187.75,76.25,3,143.757
187.75,76.5,3,143.927
187.75,76.75,3,144.097
187.75,77,3,144.269
187.75,77.25,3,144.442
187.75,77.5,3,144.617
187.75,77.75,3,144.792
187.75,78,3,144.968
187.75,78.25,3,145.146
187.75,78.5,3,145.325
187.75,78.75,3,145.505
187.75,79,3,145.686
187.75,79.25,3,145.868
187.75,79.5,3,146.051
187.75,79.75,3,146.236
187.75,80,3,146.421
187.75,80.25,3,146.608
187.75,80.5,3,146.796
187.75,80.75,3,146.986
187.75,81,3,147.176
187.75,81.25,3,147.368
187.75,81.5,3,147.561
187.75,81.75,3,147.755
187.75,82,3,147.951
187.75,82.25,3,148.148
187.75,82.5,3,148.346
187.75,82.75,3,148.545
187.75,83,3,148.746
187.75,83.25,3,148.948
187.75,83.5,3,149.151
187.75,83.75,3,149.356
187.75,84,3,149.562
187.75,84.25,3,149.77
187.75,84.5,3,149.978
187.75,84.75,3,150.189
187.75,85,3,150.4
187.75,85.25,3,150.613
187.75,85.5,3,150.828
187.75,85.75,3,151.043
187.75,86,3,151.261
187.75,86.25,3,151.479
187.75,86.5,3,151.7
187.75,86.75,3,151.921
187.75,87,3,152.145
187.75,87.25,3,152.369
187.75,87.5,3,152.595
187.75,87.75,3,152.823
187.75,88,3,153.053
187.75,88.25,3,153.283
187.75,88.5,3,153.516
187.75,88.75,3,153.75
187.75,89,3,153.985
187.75,89.25,3,154.223
187.75,89.5,3,154.462
187.75,89.75,3,154.702
187.75,90,3,154.944
187.75,90.25,3,155.188
187.75,90.5,3,155.434
187.75,90.75,3,155.681
187.75,91,3,155.93
187.75,91.25,3,156.181
187.75,91.5,3,156.433
187.75,91.75,3,156.687
187.75,92,3,156.944
187.75,92.25,3,157.201
187.75,92.5,3,157.461
187.75,92.75,3,157.723
187.75,93,3,157.986
187.75,93.25,3,158.251
187.75,93.5,3,158.518
187.75,93.75,3,158.787
187.75,94,3,159.059
187.75,94.25,3,159.331
187.75,94.5,3,159.606
187.75,94.75,3,159.883
187.75,95,3,160.162
