Mt,Mh_calc,Stability,S_exact,S_approx
83.25,167.75,4,-1,-1
83.25,168,4,-1,-1
83.25,168.25,4,-1,-1
83.25,168.5,4,-1,-1
83.25,168.75,4,-1,-1
83.25,169,4,-1,-1
83.25,169.25,4,-1,-1
83.25,169.5,4,-1,-1
83.25,169.75,4,-1,-1
83.25,170,4,-1,-1
83.25,170.25,4,-1,-1
83.25,170.5,4,-1,-1
83.25,170.75,4,-1,-1
83.25,171,4,-1,-1
83.25,171.25,4,-1,-1
83.25,171.5,4,-1,-1
83.25,171.75,4,-1,-1
83.25,172,4,-1,-1
83.25,172.25,4,-1,-1
83.25,172.5,4,-1,-1
83.25,172.75,4,-1,-1
83.25,173,4,-1,-1
83.25,173.25,4,-1,-1
83.25,173.5,4,-1,-1
83.25,173.75,4,-1,-1
83.25,174,4,-1,-1
83.25,174.25,4,-1,-1
83.25,174.5,4,-1,-1
83.25,174.75,4,-1,-1
83.25,175,4,-1,-1
83.25,175.25,4,-1,-1
83.25,175.5,4,-1,-1
83.25,175.75,4,-1,-1
83.25,176,4,-1,-1
83.25,176.25,4,-1,-1
83.25,176.5,4,-1,-1
83.25,176.75,4,-1,-1
83.25,177,4,-1,-1
83.25,177.25,4,-1,-1
83.25,177.5,4,-1,-1
83.25,177.75,4,-1,-1
83.25,178,4,-1,-1
83.25,178.25,4,-1,-1
83.25,178.5,4,-1,-1
83.25,178.75,4,-1,-1
83.25,179,4,-1,-1
83.25,179.25,4,-1,-1
83.25,179.5,4,-1,-1
83.25,179.75,4,-1,-1
83.25,180,4,-1,-1
83.25,180.25,4,-1,-1
83.25,180.5,4,-1,-1
83.25,180.75,4,-1,-1
83.25,181,4,-1,-1
83.25,181.25,4,-1,-1
83.25,181.5,4,-1,-1
83.25,181.75,4,-1,-1
83.25,182,4,-1,-1
83.25,182.25,4,-1,-1
83.25,182.5,4,-1,-1
83.25,182.75,4,-1,-1
83.25,183,4,-1,-1
83.25,183.25,4,-1,-1
83.25,183.5,4,-1,-1
83.25,183.75,4,-1,-1
83.25,184,4,-1,-1
83.25,184.25,4,-1,-1
83.25,184.5,4,-1,-1
83.25,184.75,4,-1,-1
83.25,185,4,-1,-1
83.25,185.25,4,-1,-1
83.25,185.5,4,-1,-1
83.25,185.75,4,-1,-1
83.25,186,4,-1,-1
83.25,186.25,4,-1,-1
83.25,186.5,4,-1,-1
83.25,186.75,4,-1,-1
83.25,187,4,-1,-1
83.25,187.25,4,-1,-1
83.25,187.5,4,-1,-1
83.25,187.75,4,-1,-1
83.25,188,4,-1,-1
83.25,188.25,4,-1,-1
83.25,188.5,4,-1,-1
83.25,188.75,4,-1,-1
83.25,189,4,-1,-1
83.25,189.25,4,-1,-1
83.25,189.5,4,-1,-1
83.25,189.75,4,-1,-1
83.25,190,4,-1,-1
83.25,190.25,4,-1,-1
83.25,190.5,4,-1,-1
83.25,190.75,4,-1,-1
83.25,191,4,-1,-1
83.25,191.25,4,-1,-1
83.25,191.5,4,-1,-1
83.25,191.75,4,-1,-1
83.25,192,4,-1,-1
83.25,192.25,4,-1,-1
83.25,192.5,4,-1,-1
83.25,192.75,4,-1,-1
83.25,193,4,-1,-1
83.25,193.25,4,-1,-1
83.25,193.5,4,-1,-1
83.25,193.75,4,-1,-1
83.25,194,4,-1,-1
83.25,194.25,4,-1,-1
83.25,194.5,4,-1,-1
83.25,194.75,4,-1,-1
83.25,195,4,-1,-1
83.25,195.25,4,-1,-1
83.25,195.5,4,-1,-1
83.25,195.75,4,-1,-1
83.25,196,4,-1,-1
83.25,196.25,4,-1,-1
83.25,196.5,4,-1,-1
83.25,196.75,4,-1,-1
83.25,197,4,-1,-1
83.25,197.25,4,-1,-1
83.25,197.5,4,-1,-1
83.25,197.75,4,-1,-1
83.25,198,4,-1,-1
83.25,198.25,4,-1,-1
83.25,198.5,4,-1,-1
83.25,198.75,4,-1,-1
83.25,199,4,-1,-1
83.25,199.25,4,-1,-1
83.25,199.5,4,-1,-1
83.25,199.75,4,-1,-1
83.25,200,4,-1,-1
83.25,200.25,4,-1,-1
83.25,200.5,4,-1,-1
83.25,200.75,4,-1,-1
83.25,201,4,-1,-1
83.25,201.25,4,-1,-1
83.25,201.5,4,-1,-1
83.25,201.75,4,-1,-1
83.25,202,4,-1,-1
83.25,202.25,4,-1,-1
83.25,202.5,4,-1,-1
83.25,202.75,4,-1,-1
83.25,203,4,-1,-1
83.25,203.25,4,-1,-1
83.25,203.5,4,-1,-1
83.25,203.75,4,-1,-1
83.25,204,4,-1,-1
83.25,204.25,4,-1,-1
83.25,204.5,4,-1,-1
83.25,204.75,4,-1,-1
83.25,205,4,-1,-1
83.25,205.25,4,-1,-1
83.25,205.5,4,-1,-1
83.25,205.75,4,-1,-1
83.25,206,4,-1,-1
83.25,206.25,4,-1,-1
83.25,206.5,4,-1,-1
83.25,206.75,4,-1,-1
83.25,207,4,-1,-1
83.25,207.25,4,-1,-1
83.25,207.5,4,-1,-1
83.25,207.75,4,-1,-1
83.25,208,4,-1,-1
83.25,208.25,4,-1,-1
83.25,208.5,4,-1,-1
83.25,208.75,4,-1,-1
83.25,209,4,-1,-1
83.25,209.25,4,-1,-1
83.25,209.5,4,-1,-1
83.25,209.75,4,-1,-1
83.25,210,4,-1,-1
83.25,210.25,4,-1,-1
83.25,210.5,4,-1,-1
83.25,210.75,4,-1,-1
83.25,211,4,-1,-1
83.25,211.25,4,-1,-1
83.25,211.5,4,-1,-1
83.25,211.75,4,-1,-1
83.25,212,4,-1,-1
83.25,212.25,4,-1,-1
83.25,212.5,4,-1,-1
83.25,212.75,4,-1,-1
83.25,213,4,-1,-1
83.25,213.25,4,-1,-1
83.25,213.5,4,-1,-1
83.25,213.75,4,-1,-1
83.25,214,4,-1,-1
83.25,214.25,4,-1,-1
83.25,214.5,4,-1,-1
83.25,214.75,4,-1,-1
83.25,215,4,-1,-1
83.25,215.25,4,-1,-1
83.25,215.5,4,-1,-1
83.25,215.75,4,-1,-1
83.25,216,4,-1,-1
83.25,216.25,4,-1,-1
83.25,216.5,4,-1,-1
83.25,216.75,4,-1,-1
83.25,217,4,-1,-1
83.25,217.25,4,-1,-1
83.25,217.5,4,-1,-1
83.25,217.75,4,-1,-1
83.25,218,4,-1,-1
83.25,218.25,4,-1,-1
83.25,218.5,4,-1,-1
83.25,218.75,4,-1,-1
83.25,219,4,-1,-1
83.25,219.25,4,-1,-1
83.25,219.5,4,-1,-1
83.25,219.75,4,-1,-1
83.25,220,4,-1,-1
83.25,220.25,4,-1,-1
83.25,220.5,4,-1,-1
83.25,220.75,4,-1,-1
83.25,221,4,-1,-1
83.25,221.25,4,-1,-1
83.25,221.5,4,-1,-1
83.25,221.75,4,-1,-1
83.25,222,4,-1,-1
83.25,222.25,4,-1,-1
83.25,222.5,4,-1,-1
83.25,222.75,4,-1,-1
83.25,223,4,-1,-1
83.25,223.25,4,-1,-1
83.25,223.5,4,-1,-1
83.25,223.75,4,-1,-1
83.25,224,4,-1,-1
83.25,224.25,4,-1,-1
83.25,224.5,4,-1,-1
83.25,224.75,4,-1,-1
83.25,225,4,-1,-1
83.25,225.25,4,-1,-1
83.25,225.5,4,-1,-1
83.25,225.75,4,-1,-1
83.25,226,4,-1,-1
83.25,226.25,4,-1,-1
83.25,226.5,4,-1,-1
83.25,226.75,4,-1,-1
83.25,227,4,-1,-1
83.25,227.25,4,-1,-1
83.25,227.5,4,-1,-1
83.25,227.75,4,-1,-1
83.25,228,4,-1,-1
83.25,228.25,4,-1,-1
83.25,228.5,4,-1,-1
83.25,228.75,4,-1,-1
83.25,229,4,-1,-1
83.25,229.25,4,-1,-1
83.25,229.5,4,-1,-1
83.25,229.75,4,-1,-1
83.25,230,4,-1,-1
83.25,230.25,4,-1,-1
83.25,230.5,4,-1,-1
83.25,230.75,4,-1,-1
83.25,231,4,-1,-1
83.25,231.25,4,-1,-1
83.25,231.5,4,-1,-1
83.25,231.75,4,-1,-1
83.25,232,4,-1,-1
83.25,232.25,4,-1,-1
83.25,232.5,4,-1,-1
83.25,232.75,4,-1,-1
83.25,233,4,-1,-1
83.25,233.25,4,-1,-1
83.25,233.5,4,-1,-1
83.25,233.75,4,-1,-1
83.25,234,4,-1,-1
83.25,234.25,4,-1,-1
83.25,234.5,4,-1,-1
83.25,234.75,4,-1,-1
83.25,235,4,-1,-1
83.25,235.25,4,-1,-1
83.25,235.5,4,-1,-1
83.25,235.75,4,-1,-1
83.25,236,4,-1,-1
83.25,236.25,4,-1,-1
83.25,236.5,4,-1,-1
83.25,236.75,4,-1,-1
83.25,237,4,-1,-1
83.25,237.25,4,-1,-1
83.25,237.5,4,-1,-1
83.25,237.75,4,-1,-1
83.25,238,4,-1,-1
83.25,238.25,4,-1,-1
83.25,238.5,4,-1,-1
83.25,238.75,4,-1,-1
83.25,239,4,-1,-1
83.25,239.25,4,-1,-1
83.25,239.5,4,-1,-1
83.25,239.75,4,-1,-1
83.25,240,4,-1,-1
83.25,240.25,4,-1,-1
83.25,240.5,4,-1,-1
83.25,240.75,4,-1,-1
83.25,241,4,-1,-1
83.25,241.25,4,-1,-1
83.25,241.5,4,-1,-1
83.25,241.75,4,-1,-1
83.25,242,4,-1,-1
83.25,242.25,4,-1,-1
83.25,242.5,4,-1,-1
83.25,242.75,4,-1,-1
83.25,243,4,-1,-1
83.25,243.25,4,-1,-1
83.25,243.5,4,-1,-1
83.25,243.75,4,-1,-1
83.25,244,4,-1,-1
83.25,244.25,4,-1,-1
83.25,244.5,4,-1,-1
83.25,244.75,4,-1,-1
83.25,245,4,-1,-1
83.25,245.25,4,-1,-1
83.25,245.5,4,-1,-1
83.25,245.75,4,-1,-1
83.25,246,4,-1,-1
83.25,246.25,4,-1,-1
83.25,246.5,4,-1,-1
83.25,246.75,4,-1,-1
83.25,247,4,-1,-1
83.25,247.25,4,-1,-1
83.25,247.5,4,-1,-1
83.25,247.75,4,-1,-1
83.25,248,4,-1,-1
83.25,248.25,4,-1,-1
83.25,248.5,4,-1,-1
83.25,248.75,4,-1,-1
83.25,249,4,-1,-1
83.25,249.25,4,-1,-1
83.25,249.5,4,-1,-1
83.25,249.75,4,-1,-1
83.25,250,4,-1,-1
83.5,0,1,-1,-1
83.5,0.25,1,-1,-1
83.5,0.5,1,-1,-1
83.5,0.75,1,-1,-1
83.5,1,1,-1,-1
83.5,1.25,1,-1,-1
83.5,1.5,1,-1,-1
83.5,1.75,1,-1,-1
83.5,2,1,-1,-1
83.5,2.25,1,-1,-1
83.5,2.5,1,-1,-1
83.5,2.75,1,-1,-1
83.5,3,1,-1,-1
83.5,3.25,1,-1,-1
83.5,3.5,1,-1,-1
83.5,3.75,1,-1,-1
83.5,4,1,-1,-1
83.5,4.25,1,-1,-1
83.5,4.5,1,-1,-1
83.5,4.75,1,-1,-1
83.5,5,1,-1,-1
83.5,5.25,1,-1,-1
83.5,5.5,1,-1,-1
83.5,5.75,1,-1,-1
83.5,6,1,-1,-1
83.5,6.25,1,-1,-1
83.5,6.5,1,-1,-1
83.5,6.75,1,-1,-1
83.5,7,1,-1,-1
83.5,7.25,1,-1,-1
83.5,7.5,1,-1,-1
83.5,7.75,1,-1,-1
83.5,8,1,-1,-1
83.5,8.25,1,-1,-1
83.5,8.5,1,-1,-1
83.5,8.75,1,-1,-1
83.5,9,1,-1,-1
83.5,9.25,1,-1,-1
83.5,9.5,1,-1,-1
83.5,9.75,1,-1,-1
83.5,10,1,-1,-1
83.5,10.25,1,-1,-1
83.5,10.5,1,-1,-1
83.5,10.75,1,-1,-1
