Mt,Mh_calc,Stability,S_approx
125,126.5,1,-1
125,126.75,1,-1
125,127,1,-1
125,127.25,1,-1
125,127.5,1,-1
125,127.75,1,-1
125,128,1,-1
125,128.25,1,-1
125,128.5,1,-1
125,128.75,1,-1
125,129,1,-1
125,129.25,1,-1
125,129.5,1,-1
125,129.75,1,-1
125,130,1,-1
125,130.25,1,-1
125,130.5,1,-1
125,130.75,1,-1
125,131,1,-1
125,131.25,1,-1
125,131.5,1,-1
125,131.75,1,-1
125,132,1,-1
125,132.25,1,-1
125,132.5,1,-1
125,132.75,1,-1
125,133,1,-1
125,133.25,1,-1
125,133.5,1,-1
125,133.75,1,-1
125,134,1,-1
125,134.25,1,-1
125,134.5,1,-1
125,134.75,1,-1
125,135,1,-1
125,135.25,1,-1
125,135.5,1,-1
125,135.75,1,-1
125,136,1,-1
125,136.25,1,-1
125,136.5,1,-1
125,136.75,1,-1
125,137,1,-1
125,137.25,1,-1
125,137.5,1,-1
125,137.75,1,-1
125,138,1,-1
125,138.25,1,-1
125,138.5,1,-1
125,138.75,1,-1
125,139,1,-1
125,139.25,1,-1
125,139.5,1,-1
125,139.75,1,-1
125,140,1,-1
125,140.25,1,-1
125,140.5,1,-1
125,140.75,1,-1
125,141,1,-1
125,141.25,1,-1
125,141.5,1,-1
125,141.75,1,-1
125,142,1,-1
125,142.25,1,-1
125,142.5,1,-1
125,142.75,1,-1
125,143,1,-1
125,143.25,1,-1
125,143.5,1,-1
125,143.75,1,-1
125,144,1,-1
125,144.25,1,-1
125,144.5,1,-1
125,144.75,1,-1
125,145,1,-1
125,145.25,1,-1
125,145.5,1,-1
125,145.75,1,-1
125,146,1,-1
125,146.25,1,-1
125,146.5,1,-1
125,146.75,1,-1
125,147,1,-1
125,147.25,1,-1
125,147.5,1,-1
125,147.75,1,-1
125,148,1,-1
125,148.25,1,-1
125,148.5,1,-1
125,148.75,1,-1
125,149,1,-1
125,149.25,1,-1
125,149.5,1,-1
125,149.75,1,-1
125,150,1,-1
125,150.25,1,-1
125,150.5,1,-1
125,150.75,1,-1
125,151,1,-1
125,151.25,1,-1
125,151.5,1,-1
125,151.75,1,-1
125,152,1,-1
125,152.25,1,-1
125,152.5,1,-1
125,152.75,1,-1
125,153,1,-1
125,153.25,1,-1
125,153.5,1,-1
125,153.75,1,-1
125,154,1,-1
125,154.25,1,-1
125,154.5,1,-1
125,154.75,1,-1
125,155,1,-1
125,155.25,1,-1
125,155.5,1,-1
125,155.75,1,-1
125,156,1,-1
125,156.25,1,-1
125,156.5,1,-1
125,156.75,1,-1
125,157,1,-1
125,157.25,1,-1
125,157.5,1,-1
125,157.75,1,-1
125,158,1,-1
125,158.25,1,-1
125,158.5,1,-1
125,158.75,1,-1
125,159,1,-1
125,159.25,1,-1
125,159.5,1,-1
125,159.75,1,-1
125,160,1,-1
125,160.25,1,-1
125,160.5,4,-1
125,160.75,4,-1
125,161,4,-1
125,161.25,4,-1
125,161.5,4,-1
125,161.75,4,-1
125,162,4,-1
125,162.25,4,-1
125,162.5,4,-1
125,162.75,4,-1
125,163,4,-1
125,163.25,4,-1
125,163.5,4,-1
125,163.75,4,-1
125,164,4,-1
125,164.25,4,-1
125,164.5,4,-1
125,164.75,4,-1
125,165,4,-1
125,165.25,4,-1
125,165.5,4,-1
125,165.75,4,-1
125,166,4,-1
125,166.25,4,-1
125,166.5,4,-1
125,166.75,4,-1
125,167,4,-1
125,167.25,4,-1
125,167.5,4,-1
125,167.75,4,-1
125,168,4,-1
125,168.25,4,-1
125,168.5,4,-1
125,168.75,4,-1
125,169,4,-1
125,169.25,4,-1
125,169.5,4,-1
125,169.75,4,-1
125,170,4,-1
125,170.25,4,-1
125,170.5,4,-1
125,170.75,4,-1
125,171,4,-1
125,171.25,4,-1
125,171.5,4,-1
125,171.75,4,-1
125,172,4,-1
125,172.25,4,-1
125,172.5,4,-1
125,172.75,4,-1
125,173,4,-1
125,173.25,4,-1
125,173.5,4,-1
125,173.75,4,-1
125,174,4,-1
125,174.25,4,-1
125,174.5,4,-1
125,174.75,4,-1
125,175,4,-1
125,175.25,4,-1
125,175.5,4,-1
125,175.75,4,-1
125,176,4,-1
125,176.25,4,-1
125,176.5,4,-1
125,176.75,4,-1
125,177,4,-1
125,177.25,4,-1
125,177.5,4,-1
125,177.75,4,-1
125,178,4,-1
125,178.25,4,-1
125,178.5,4,-1
125,178.75,4,-1
125,179,4,-1
125,179.25,4,-1
125,179.5,4,-1
125,179.75,4,-1
125,180,4,-1
125,180.25,4,-1
125,180.5,4,-1
125,180.75,4,-1
125,181,4,-1
125,181.25,4,-1
125,181.5,4,-1
125,181.75,4,-1
125,182,4,-1
125,182.25,4,-1
125,182.5,4,-1
125,182.75,4,-1
125,183,4,-1
125,183.25,4,-1
125,183.5,4,-1
125,183.75,4,-1
125,184,4,-1
125,184.25,4,-1
125,184.5,4,-1
125,184.75,4,-1
125,185,4,-1
125,185.25,4,-1
125,185.5,4,-1
125,185.75,4,-1
125,186,4,-1
125,186.25,4,-1
125,186.5,4,-1
125,186.75,4,-1
125,187,4,-1
125,187.25,4,-1
125,187.5,4,-1
125,187.75,4,-1
125,188,4,-1
125,188.25,4,-1
125,188.5,4,-1
125,188.75,4,-1
125,189,4,-1
125,189.25,4,-1
125,189.5,4,-1
125,189.75,4,-1
125,190,4,-1
125,190.25,4,-1
125,190.5,4,-1
125,190.75,4,-1
125,191,4,-1
125,191.25,4,-1
125,191.5,4,-1
125,191.75,4,-1
125,192,4,-1
125,192.25,4,-1
125,192.5,4,-1
125,192.75,4,-1
125,193,4,-1
125,193.25,4,-1
125,193.5,4,-1
125,193.75,4,-1
125,194,4,-1
125,194.25,4,-1
125,194.5,4,-1
125,194.75,4,-1
125,195,4,-1
125,195.25,4,-1
125,195.5,4,-1
125,195.75,4,-1
125,196,4,-1
125,196.25,4,-1
125,196.5,4,-1
125,196.75,4,-1
125,197,4,-1
125,197.25,4,-1
125,197.5,4,-1
125,197.75,4,-1
125,198,4,-1
125,198.25,4,-1
125,198.5,4,-1
125,198.75,4,-1
125,199,4,-1
125,199.25,4,-1
125,199.5,4,-1
125,199.75,4,-1
125,200,4,-1
125,200.25,4,-1
125,200.5,4,-1
125,200.75,4,-1
125,201,4,-1
125,201.25,4,-1
125,201.5,4,-1
125,201.75,4,-1
125,202,4,-1
125,202.25,4,-1
125,202.5,4,-1
125,202.75,4,-1
125,203,4,-1
125,203.25,4,-1
125,203.5,4,-1
125,203.75,4,-1
125,204,4,-1
125,204.25,4,-1
125,204.5,4,-1
125,204.75,4,-1
125,205,4,-1
125,205.25,4,-1
125,205.5,4,-1
125,205.75,4,-1
125,206,4,-1
125,206.25,4,-1
125,206.5,4,-1
125,206.75,4,-1
125,207,4,-1
125,207.25,4,-1
125,207.5,4,-1
125,207.75,4,-1
125,208,4,-1
125,208.25,4,-1
125,208.5,4,-1
125,208.75,4,-1
125,209,4,-1
125,209.25,4,-1
125,209.5,4,-1
125,209.75,4,-1
125,210,4,-1
125,210.25,4,-1
125,210.5,4,-1
125,210.75,4,-1
125,211,4,-1
125,211.25,4,-1
125,211.5,4,-1
125,211.75,4,-1
125,212,4,-1
125,212.25,4,-1
125,212.5,4,-1
125,212.75,4,-1
125,213,4,-1
125,213.25,4,-1
125,213.5,4,-1
125,213.75,4,-1
125,214,4,-1
125,214.25,4,-1
125,214.5,4,-1
125,214.75,4,-1
125,215,4,-1
125,215.25,4,-1
125,215.5,4,-1
125,215.75,4,-1
125,216,4,-1
125,216.25,4,-1
125,216.5,4,-1
125,216.75,4,-1
125,217,4,-1
125,217.25,4,-1
125,217.5,4,-1
125,217.75,4,-1
125,218,4,-1
125,218.25,4,-1
125,218.5,4,-1
125,218.75,4,-1
125,219,4,-1
125,219.25,4,-1
125,219.5,4,-1
125,219.75,4,-1
125,220,4,-1
125,220.25,4,-1
125,220.5,4,-1
125,220.75,4,-1
125,221,4,-1
125,221.25,4,-1
125,221.5,4,-1
125,221.75,4,-1
125,222,4,-1
125,222.25,4,-1
125,222.5,4,-1
125,222.75,4,-1
125,223,4,-1
125,223.25,4,-1
125,223.5,4,-1
125,223.75,4,-1
125,224,4,-1
125,224.25,4,-1
125,224.5,4,-1
125,224.75,4,-1
125,225,4,-1
125,225.25,4,-1
125,225.5,4,-1
125,225.75,4,-1
125,226,4,-1
125,226.25,4,-1
125,226.5,4,-1
125,226.75,4,-1
125,227,4,-1
125,227.25,4,-1
125,227.5,4,-1
125,227.75,4,-1
125,228,4,-1
125,228.25,4,-1
125,228.5,4,-1
125,228.75,4,-1
125,229,4,-1
125,229.25,4,-1
125,229.5,4,-1
125,229.75,4,-1
125,230,4,-1
125,230.25,4,-1
125,230.5,4,-1
125,230.75,4,-1
125,231,4,-1
125,231.25,4,-1
125,231.5,4,-1
125,231.75,4,-1
125,232,4,-1
125,232.25,4,-1
125,232.5,4,-1
125,232.75,4,-1
125,233,4,-1
125,233.25,4,-1
125,233.5,4,-1
125,233.75,4,-1
125,234,4,-1
125,234.25,4,-1
125,234.5,4,-1
125,234.75,4,-1
125,235,4,-1
125,235.25,4,-1
125,235.5,4,-1
125,235.75,4,-1
125,236,4,-1
125,236.25,4,-1
125,236.5,4,-1
125,236.75,4,-1
125,237,4,-1
125,237.25,4,-1
125,237.5,4,-1
125,237.75,4,-1
125,238,4,-1
125,238.25,4,-1
125,238.5,4,-1
125,238.75,4,-1
125,239,4,-1
125,239.25,4,-1
125,239.5,4,-1
125,239.75,4,-1
125,240,4,-1
125,240.25,4,-1
125,240.5,4,-1
125,240.75,4,-1
125,241,4,-1
125,241.25,4,-1
125,241.5,4,-1
125,241.75,4,-1
125,242,4,-1
125,242.25,4,-1
125,242.5,4,-1
125,242.75,4,-1
125,243,4,-1
125,243.25,4,-1
125,243.5,4,-1
125,243.75,4,-1
125,244,4,-1
125,244.25,4,-1
125,244.5,4,-1
125,244.75,4,-1
125,245,4,-1
125,245.25,4,-1
125,245.5,4,-1
125,245.75,4,-1
125,246,4,-1
125,246.25,4,-1
125,246.5,4,-1
125,246.75,4,-1
125,247,4,-1
125,247.25,4,-1
125,247.5,4,-1
125,247.75,4,-1
125,248,4,-1
125,248.25,4,-1
125,248.5,4,-1
125,248.75,4,-1
125,249,4,-1
125,249.25,4,-1
125,249.5,4,-1
125,249.75,4,-1
125,250,4,-1
125.25,0,2,1759.46
125.25,0.25,2,1759.52
125.25,0.5,2,1759.69
125.25,0.75,2,1759.98
125.25,1,2,1760.37
125.25,1.25,2,1760.89
125.25,1.5,2,1761.52
125.25,1.75,2,1762.26
125.25,2,2,1763.11
125.25,2.25,2,1764.09
125.25,2.5,2,1765.18
125.25,2.75,2,1766.38
125.25,3,2,1767.7
125.25,3.25,2,1769.14
125.25,3.5,2,1770.69
125.25,3.75,2,1772.37
125.25,4,2,1774.16
125.25,4.25,2,1776.08
125.25,4.5,2,1778.11
125.25,4.75,2,1780.26
125.25,5,2,1782.54
125.25,5.25,2,1784.94
125.25,5.5,2,1787.47
125.25,5.75,2,1790.12
125.25,6,2,1792.89
125.25,6.25,2,1795.8
125.25,6.5,2,1798.83
125.25,6.75,2,1801.99
125.25,7,2,1805.29
125.25,7.25,2,1808.71
125.25,7.5,2,1812.27
125.25,7.75,2,1815.97
125.25,8,2,1819.8
125.25,8.25,2,1823.78
125.25,8.5,2,1827.89
125.25,8.75,2,1832.14
125.25,9,2,1836.54
125.25,9.25,2,1841.09
125.25,9.5,2,1845.78
125.25,9.75,2,1850.62
125.25,10,2,1855.62
125.25,10.25,2,1860.77
125.25,10.5,2,1866.08
125.25,10.75,2,1871.55
125.25,11,2,1877.18
125.25,11.25,2,1882.98
125.25,11.5,2,1888.94
125.25,11.75,2,1895.08
125.25,12,2,1901.39
125.25,12.25,2,1907.88
125.25,12.5,2,1914.55
125.25,12.75,2,1921.4
125.25,13,2,1928.44
125.25,13.25,2,1935.66
125.25,13.5,2,1943.08
125.25,13.75,2,1950.7
125.25,14,2,1958.52
125.25,14.25,2,1966.55
125.25,14.5,2,1974.79
125.25,14.75,2,1983.24
125.25,15,2,1991.92
125.25,15.25,2,2000.82
125.25,15.5,2,2009.95
125.25,15.75,2,2019.32
125.25,16,2,2028.93
125.25,16.25,2,2038.78
125.25,16.5,2,2048.88
125.25,16.75,2,2059.25
125.25,17,2,2069.87
125.25,17.25,2,2080.77
125.25,17.5,2,2091.95
125.25,17.75,2,2103.42
125.25,18,2,2115.18
125.25,18.25,2,2127.24
125.25,18.5,2,2139.61
125.25,18.75,2,2152.3
125.25,19,2,2165.31
125.25,19.25,2,2178.65
125.25,19.5,2,2192.34
125.25,19.75,2,2206.39
125.25,20,2,2220.81
125.25,20.25,2,2235.6
125.25,20.5,2,2250.78
125.25,20.75,2,2266.37
125.25,21,2,2282.36
125.25,21.25,2,2298.78
125.25,21.5,2,2315.63
125.25,21.75,2,2332.94
125.25,22,2,2350.72
125.25,22.25,2,2368.98
125.25,22.5,2,2387.75
125.25,22.75,2,2407.03
125.25,23,2,2426.86
125.25,23.25,2,2447.23
125.25,23.5,2,2468.17
125.25,23.75,2,2489.71
125.25,24,2,2511.87
125.25,24.25,2,2534.67
