Mt,Mh_calc,Stability,S_exact,S_approx
166.75,85.25,2,475.798,475.76
166.75,85.5,2,478.673,478.634
166.75,85.75,2,481.597,481.556
166.75,86,2,484.57,484.527
166.75,86.25,2,487.593,487.549
166.75,86.5,2,490.668,490.623
166.75,86.75,2,493.796,493.75
166.75,87,2,496.979,496.931
166.75,87.25,2,500.217,500.168
166.75,87.5,2,503.513,503.462
166.75,87.75,2,506.868,506.816
166.75,88,2,510.283,510.23
166.75,88.25,2,513.761,513.706
166.75,88.5,2,517.302,517.245
166.75,88.75,2,520.909,520.851
166.75,89,2,524.583,524.523
166.75,89.25,2,528.327,528.265
166.75,89.5,2,532.142,532.078
166.75,89.75,2,536.03,535.965
166.75,90,2,539.994,539.927
166.75,90.25,2,544.035,543.966
166.75,90.5,2,548.157,548.085
166.75,90.75,2,552.36,552.287
166.75,91,2,556.649,556.573
166.75,91.25,2,561.025,560.948
166.75,91.5,2,565.491,565.411
166.75,91.75,2,570.05,569.968
166.75,92,2,574.705,574.62
166.75,92.25,2,579.459,579.372
166.75,92.5,2,584.315,584.225
166.75,92.75,2,589.276,589.184
166.75,93,2,594.346,594.251
166.75,93.25,2,599.529,599.431
166.75,93.5,2,604.829,604.727
166.75,93.75,2,610.248,610.144
166.75,94,2,615.791,615.684
166.75,94.25,2,621.463,621.353
166.75,94.5,2,627.269,627.156
166.75,94.75,2,633.213,633.096
166.75,95,2,639.3,639.179
166.75,95.25,2,645.535,645.411
166.75,95.5,2,651.924,651.796
166.75,95.75,2,658.472,658.34
166.75,96,2,665.187,665.051
166.75,96.25,2,672.073,671.932
166.75,96.5,2,679.137,678.993
166.75,96.75,2,686.388,686.239
166.75,97,2,693.832,693.678
166.75,97.25,2,701.477,701.318
166.75,97.5,2,709.332,709.168
166.75,97.75,2,717.404,717.235
166.75,98,2,725.705,725.53
166.75,98.25,2,734.242,734.061
166.75,98.5,2,743.028,742.84
166.75,98.75,2,752.072,751.878
166.75,99,2,761.386,761.185
166.75,99.25,2,770.982,770.775
166.75,99.5,2,780.874,780.66
166.75,99.75,2,791.076,790.854
166.75,100,2,801.603,801.374
166.75,100.25,2,812.47,812.232
166.75,100.5,2,823.695,823.447
166.75,100.75,2,835.293,835.038
166.75,101,2,847.288,847.022
166.75,101.25,2,859.699,859.421
166.75,101.5,2,872.543,872.257
166.75,101.75,2,885.85,885.552
166.75,102,2,899.643,899.334
166.75,102.25,2,913.949,913.628
166.75,102.5,2,928.798,928.464
166.75,102.75,2,944.223,943.875
166.75,103,2,960.255,959.893
166.75,103.25,2,976.933,976.555
166.75,103.5,2,994.296,993.902
166.75,103.75,2,1012.39,1011.98
166.75,104,2,1031.26,1030.83
166.75,104.25,2,1050.96,1050.5
166.75,104.5,2,1071.53,1071.06
166.75,104.75,2,1093.06,1092.56
166.75,105,2,1115.59,1115.08
166.75,105.25,2,1139.22,1138.67
166.75,105.5,2,1164,1163.43
166.75,105.75,2,1190.04,1189.44
166.75,106,2,1217.43,1216.8
166.75,106.25,2,1246.29,1245.62
166.75,106.5,2,1276.72,1276.02
166.75,106.75,2,1308.87,1308.13
166.75,107,2,1342.89,1342.1
166.75,107.25,2,1378.94,1378.11
166.75,107.5,2,1417.22,1416.33
166.75,107.75,2,1457.93,1456.98
166.75,108,2,1501.31,1500.31
166.75,108.25,2,1547.65,1546.58
166.75,108.5,2,1597.25,1596.1
166.75,108.75,2,1650.48,1649.24
166.75,109,2,1707.74,1706.41
166.75,109.25,2,1769.51,1768.08
166.75,109.5,2,1836.36,1834.81
166.75,109.75,2,1908.93,1907.24
166.75,110,2,1987.99,1986.16
166.75,110.25,2,2074.46,2072.46
166.75,110.5,2,2169.44,2167.24
166.75,110.75,2,2274.25,2271.82
166.75,111,2,2390.5,2387.8
166.75,111.25,2,2520.17,2517.16
166.75,111.5,2,2665.75,2662.36
166.75,111.75,2,2830.34,2826.5
166.75,112,2,3017.94,3013.56
