Mt,Mh_calc,Stability,S_exact,S_approx
208.5,44,3,67.7694,67.8808
208.5,44.25,3,67.7818,67.8932
208.5,44.5,3,67.7942,67.9058
208.5,44.75,3,67.8068,67.9183
208.5,45,3,67.8194,67.9309
208.5,45.25,3,67.8321,67.9436
208.5,45.5,3,67.8449,67.9564
208.5,45.75,3,67.8578,67.9693
208.5,46,3,67.8707,67.9823
208.5,46.25,3,67.8837,67.9953
208.5,46.5,3,67.8968,68.0083
208.5,46.75,3,67.9099,68.0215
208.5,47,3,67.9232,68.0348
208.5,47.25,3,67.9365,68.0481
208.5,47.5,3,67.9499,68.0615
208.5,47.75,3,67.9633,68.075
208.5,48,3,67.9769,68.0885
208.5,48.25,3,67.9905,68.1022
208.5,48.5,3,68.0042,68.1159
208.5,48.75,3,68.018,68.1297
208.5,49,3,68.0318,68.1435
208.5,49.25,3,68.0458,68.1575
208.5,49.5,3,68.0598,68.1715
208.5,49.75,3,68.0738,68.1856
208.5,50,3,68.088,68.1998
208.5,50.25,3,68.1023,68.214
208.5,50.5,3,68.1166,68.2284
208.5,50.75,3,68.131,68.2428
208.5,51,3,68.1455,68.2573
208.5,51.25,3,68.16,68.2719
208.5,51.5,3,68.1746,68.2865
208.5,51.75,3,68.1894,68.3012
208.5,52,3,68.2042,68.316
208.5,52.25,3,68.219,68.331
208.5,52.5,3,68.234,68.3459
208.5,52.75,3,68.249,68.3609
208.5,53,3,68.2641,68.3761
208.5,53.25,3,68.2793,68.3913
208.5,53.5,3,68.2946,68.4066
208.5,53.75,3,68.3099,68.4219
208.5,54,3,68.3254,68.4374
208.5,54.25,3,68.3409,68.4529
208.5,54.5,3,68.3565,68.4685
208.5,54.75,3,68.3721,68.4842
208.5,55,3,68.3879,68.4999
208.5,55.25,3,68.4038,68.5158
208.5,55.5,3,68.4197,68.5317
208.5,55.75,3,68.4356,68.5478
208.5,56,3,68.4517,68.5638
208.5,56.25,3,68.4679,68.58
208.5,56.5,3,68.4841,68.5962
208.5,56.75,3,68.5004,68.6126
208.5,57,3,68.5168,68.629
208.5,57.25,3,68.5333,68.6455
208.5,57.5,3,68.5499,68.6621
208.5,57.75,3,68.5665,68.6788
208.5,58,3,68.5833,68.6955
208.5,58.25,3,68.6,68.7123
208.5,58.5,3,68.617,68.7292
208.5,58.75,3,68.6339,68.7462
208.5,59,3,68.651,68.7633
208.5,59.25,3,68.6681,68.7804
208.5,59.5,3,68.6853,68.7977
208.5,59.75,3,68.7027,68.815
208.5,60,3,68.72,68.8324
208.5,60.25,3,68.7375,68.8499
208.5,60.5,3,68.7551,68.8675
208.5,60.75,3,68.7727,68.8851
208.5,61,3,68.7904,68.9029
208.5,61.25,3,68.8083,68.9207
208.5,61.5,3,68.8262,68.9386
208.5,61.75,3,68.8441,68.9566
208.5,62,3,68.8622,68.9747
208.5,62.25,3,68.8803,68.9928
208.5,62.5,3,68.8986,69.0111
208.5,62.75,3,68.9169,69.0295
208.5,63,3,68.9353,69.0479
208.5,63.25,3,68.9538,69.0663
208.5,63.5,3,68.9724,69.0849
208.5,63.75,3,68.991,69.1037
208.5,64,3,69.0097,69.1224
208.5,64.25,3,69.0286,69.1412
208.5,64.5,3,69.0475,69.1602
208.5,64.75,3,69.0665,69.1792
208.5,65,3,69.0856,69.1983
208.5,65.25,3,69.1048,69.2175
208.5,65.5,3,69.124,69.2368
208.5,65.75,3,69.1434,69.2561
208.5,66,3,69.1628,69.2756
208.5,66.25,3,69.1823,69.2951
208.5,66.5,3,69.202,69.3148
208.5,66.75,3,69.2217,69.3345
208.5,67,3,69.2415,69.3543
208.5,67.25,3,69.2613,69.3742
208.5,67.5,3,69.2813,69.3942
208.5,67.75,3,69.3013,69.4142
208.5,68,3,69.3215,69.4344
208.5,68.25,3,69.3417,69.4547
208.5,68.5,3,69.362,69.475
208.5,68.75,3,69.3824,69.4954
208.5,69,3,69.4029,69.5159
208.5,69.25,3,69.4235,69.5365
208.5,69.5,3,69.4442,69.5572
208.5,69.75,3,69.465,69.578
208.5,70,3,69.4858,69.5989
208.5,70.25,3,69.5068,69.6198
208.5,70.5,3,69.5278,69.6409
208.5,70.75,3,69.549,69.6621
208.5,71,3,69.5702,69.6833
208.5,71.25,3,69.5914,69.7046
208.5,71.5,3,69.6129,69.726
208.5,71.75,3,69.6343,69.7475
208.5,72,3,69.6559,69.7691
208.5,72.25,3,69.6776,69.7909
208.5,72.5,3,69.6994,69.8126
208.5,72.75,3,69.7212,69.8345
208.5,73,3,69.7432,69.8565
208.5,73.25,3,69.7652,69.8785
208.5,73.5,3,69.7874,69.9007
208.5,73.75,3,69.8096,69.923
208.5,74,3,69.8319,69.9453
208.5,74.25,3,69.8544,69.9677
208.5,74.5,3,69.8769,69.9903
208.5,74.75,3,69.8995,70.0129
208.5,75,3,69.9222,70.0356
208.5,75.25,3,69.945,70.0584
208.5,75.5,3,69.9678,70.0813
208.5,75.75,3,69.9908,70.1043
208.5,76,3,70.0139,70.1275
208.5,76.25,3,70.0371,70.1506
208.5,76.5,3,70.0604,70.1739
208.5,76.75,3,70.0837,70.1973
208.5,77,3,70.1072,70.2208
208.5,77.25,3,70.1307,70.2444
208.5,77.5,3,70.1544,70.2681
208.5,77.75,3,70.1782,70.2918
208.5,78,3,70.202,70.3157
208.5,78.25,3,70.2259,70.3397
208.5,78.5,3,70.25,70.3637
208.5,78.75,3,70.2741,70.3879
208.5,79,3,70.2984,70.4121
208.5,79.25,3,70.3227,70.4365
208.5,79.5,3,70.3471,70.461
208.5,79.75,3,70.3717,70.4855
208.5,80,3,70.3963,70.5101
208.5,80.25,3,70.421,70.5349
208.5,80.5,3,70.4458,70.5597
208.5,80.75,3,70.4708,70.5847
208.5,81,3,70.4958,70.6097
208.5,81.25,3,70.5209,70.6349
208.5,81.5,3,70.5462,70.6602
208.5,81.75,3,70.5715,70.6855
208.5,82,3,70.5969,70.7109
208.5,82.25,3,70.6225,70.7365
208.5,82.5,3,70.6481,70.7621
208.5,82.75,3,70.6738,70.7879
208.5,83,3,70.6997,70.8138
208.5,83.25,3,70.7256,70.8397
208.5,83.5,3,70.7516,70.8658
208.5,83.75,3,70.7778,70.8919
208.5,84,3,70.804,70.9182
208.5,84.25,3,70.8304,70.9446
208.5,84.5,3,70.8568,70.9711
208.5,84.75,3,70.8834,70.9977
208.5,85,3,70.9101,71.0243
208.5,85.25,3,70.9368,71.0511
208.5,85.5,3,70.9637,71.078
208.5,85.75,3,70.9907,71.105
208.5,86,3,71.0177,71.1321
208.5,86.25,3,71.045,71.1593
208.5,86.5,3,71.0722,71.1867
208.5,86.75,3,71.0996,71.214
208.5,87,3,71.1271,71.2416
208.5,87.25,3,71.1547,71.2692
208.5,87.5,3,71.1825,71.2969
208.5,87.75,3,71.2103,71.3248
208.5,88,3,71.2382,71.3527
208.5,88.25,3,71.2663,71.3808
208.5,88.5,3,71.2944,71.409
208.5,88.75,3,71.3227,71.4373
208.5,89,3,71.351,71.4657
208.5,89.25,3,71.3795,71.4941
208.5,89.5,3,71.4081,71.5228
208.5,89.75,3,71.4368,71.5515
208.5,90,3,71.4656,71.5803
208.5,90.25,3,71.4945,71.6092
208.5,90.5,3,71.5235,71.6383
208.5,90.75,3,71.5526,71.6674
208.5,91,3,71.5819,71.6967
208.5,91.25,3,71.6112,71.7261
208.5,91.5,3,71.6407,71.7556
208.5,91.75,3,71.6703,71.7852
208.5,92,3,71.7,71.8149
208.5,92.25,3,71.7298,71.8448
208.5,92.5,3,71.7597,71.8747
208.5,92.75,3,71.7898,71.9048
208.5,93,3,71.8199,71.9349
208.5,93.25,3,71.8502,71.9652
208.5,93.5,3,71.8806,71.9956
208.5,93.75,3,71.911,72.0261
208.5,94,3,71.9416,72.0567
208.5,94.25,3,71.9724,72.0875
208.5,94.5,3,72.0032,72.1184
208.5,94.75,3,72.0342,72.1493
208.5,95,3,72.0652,72.1804
208.5,95.25,3,72.0964,72.2117
208.5,95.5,3,72.1277,72.243
208.5,95.75,3,72.1592,72.2744
208.5,96,3,72.1907,72.306
208.5,96.25,3,72.2224,72.3377
208.5,96.5,3,72.2541,72.3695
208.5,96.75,3,72.2861,72.4014
208.5,97,3,72.3181,72.4335
208.5,97.25,3,72.3502,72.4656
208.5,97.5,3,72.3825,72.4979
208.5,97.75,3,72.4149,72.5303
208.5,98,3,72.4474,72.5628
208.5,98.25,3,72.48,72.5955
208.5,98.5,3,72.5127,72.6283
208.5,98.75,3,72.5456,72.6612
208.5,99,3,72.5786,72.6942
208.5,99.25,3,72.6117,72.7273
208.5,99.5,3,72.6449,72.7606
208.5,99.75,3,72.6783,72.794
208.5,100,3,72.7118,72.8275
208.5,100.25,3,72.7454,72.8611
208.5,100.5,3,72.7791,72.8949
208.5,100.75,3,72.813,72.9288
208.5,101,3,72.847,72.9628
208.5,101.25,3,72.8811,72.9969
208.5,101.5,3,72.9153,73.0312
208.5,101.75,3,72.9497,73.0656
208.5,102,3,72.9842,73.1001
208.5,102.25,3,73.0188,73.1347
208.5,102.5,3,73.0536,73.1695
208.5,102.75,3,73.0885,73.2044
208.5,103,3,73.1235,73.2395
208.5,103.25,3,73.1586,73.2746
208.5,103.5,3,73.1939,73.3099
208.5,103.75,3,73.2293,73.3454
208.5,104,3,73.2648,73.3809
208.5,104.25,3,73.3005,73.4166
208.5,104.5,3,73.3363,73.4524
208.5,104.75,3,73.3722,73.4884
208.5,105,3,73.4083,73.5245
208.5,105.25,3,73.4445,73.5607
208.5,105.5,3,73.4809,73.5971
208.5,105.75,3,73.5173,73.6336
208.5,106,3,73.5539,73.6702
208.5,106.25,3,73.5906,73.707
208.5,106.5,3,73.6275,73.7439
208.5,106.75,3,73.6645,73.7809
208.5,107,3,73.7017,73.8181
208.5,107.25,3,73.739,73.8554
208.5,107.5,3,73.7764,73.8928
208.5,107.75,3,73.814,73.9304
208.5,108,3,73.8517,73.9682
208.5,108.25,3,73.8895,74.006
208.5,108.5,3,73.9275,74.0441
208.5,108.75,3,73.9656,74.0822
208.5,109,3,74.0039,74.1205
208.5,109.25,3,74.0423,74.1589
208.5,109.5,3,74.0808,74.1975
208.5,109.75,3,74.1195,74.2362
208.5,110,3,74.1584,74.2751
208.5,110.25,3,74.1973,74.3141
208.5,110.5,3,74.2365,74.3532
208.5,110.75,3,74.2757,74.3925
208.5,111,3,74.3151,74.432
208.5,111.25,3,74.3547,74.4716
208.5,111.5,3,74.3944,74.5113
208.5,111.75,3,74.4343,74.5512
208.5,112,3,74.4743,74.5912
208.5,112.25,3,74.5144,74.6314
208.5,112.5,3,74.5547,74.6717
208.5,112.75,3,74.5952,74.7122
208.5,113,3,74.6358,74.7528
208.5,113.25,3,74.6765,74.7936
208.5,113.5,3,74.7174,74.8345
208.5,113.75,3,74.7585,74.8756
208.5,114,3,74.7997,74.9168
208.5,114.25,3,74.841,74.9582
208.5,114.5,3,74.8825,74.9997
208.5,114.75,3,74.9242,75.0414
208.5,115,3,74.966,75.0833
208.5,115.25,3,75.008,75.1253
208.5,115.5,3,75.0501,75.1674
208.5,115.75,3,75.0924,75.2097
208.5,116,3,75.1349,75.2522
208.5,116.25,3,75.1775,75.2949
208.5,116.5,3,75.2203,75.3376
208.5,116.75,3,75.2632,75.3806
208.5,117,3,75.3063,75.4237
208.5,117.25,3,75.3495,75.467
208.5,117.5,3,75.3929,75.5104
208.5,117.75,3,75.4365,75.554
208.5,118,3,75.4802,75.5978
208.5,118.25,3,75.5241,75.6417
208.5,118.5,3,75.5682,75.6858
208.5,118.75,3,75.6124,75.73
208.5,119,3,75.6568,75.7745
208.5,119.25,3,75.7013,75.819
208.5,119.5,3,75.7461,75.8638
208.5,119.75,3,75.7909,75.9087
208.5,120,3,75.836,75.9538
208.5,120.25,3,75.8812,75.9991
208.5,120.5,3,75.9266,76.0445
208.5,120.75,3,75.9722,76.0901
208.5,121,3,76.0179,76.1358
208.5,121.25,3,76.0639,76.1818
208.5,121.5,3,76.1099,76.2279
208.5,121.75,3,76.1562,76.2742
208.5,122,3,76.2026,76.3206
208.5,122.25,3,76.2493,76.3673
208.5,122.5,3,76.296,76.4141
208.5,122.75,3,76.343,76.4611
208.5,123,3,76.3901,76.5083
208.5,123.25,3,76.4375,76.5556
208.5,123.5,3,76.485,76.6031
208.5,123.75,3,76.5326,76.6508
208.5,124,3,76.5805,76.6987
208.5,124.25,3,76.6286,76.7468
208.5,124.5,3,76.6768,76.795
208.5,124.75,3,76.7252,76.8435
208.5,125,3,76.7738,76.8921
208.5,125.25,3,76.8225,76.9409
208.5,125.5,3,76.8715,76.9899
208.5,125.75,3,76.9207,77.0391
208.5,126,3,76.97,77.0884
208.5,126.25,3,77.0195,77.138
208.5,126.5,3,77.0692,77.1877
208.5,126.75,3,77.1191,77.2377
208.5,127,3,77.1692,77.2878
208.5,127.25,3,77.2195,77.3381
208.5,127.5,3,77.27,77.3886
208.5,127.75,3,77.3207,77.4393
208.5,128,3,77.3716,77.4902
208.5,128.25,3,77.4226,77.5413
208.5,128.5,3,77.4739,77.5926
208.5,128.75,3,77.5253,77.6441
208.5,129,3,77.577,77.6958
208.5,129.25,3,77.6288,77.7477
208.5,129.5,3,77.6809,77.7998
208.5,129.75,3,77.7332,77.852
208.5,130,3,77.7856,77.9045
208.5,130.25,3,77.8383,77.9572
208.5,130.5,3,77.8912,78.0101
208.5,130.75,3,77.9443,78.0632
208.5,131,3,77.9975,78.1165
208.5,131.25,3,78.051,78.1701
208.5,131.5,3,78.1048,78.2238
208.5,131.75,3,78.1587,78.2777
208.5,132,3,78.2128,78.3319
208.5,132.25,3,78.2671,78.3862
208.5,132.5,3,78.3217,78.4408
208.5,132.75,3,78.3764,78.4956
208.5,133,3,78.4314,78.5506
208.5,133.25,3,78.4866,78.6058
208.5,133.5,3,78.542,78.6613
208.5,133.75,3,78.5976,78.717
208.5,134,3,78.6535,78.7728
208.5,134.25,3,78.7096,78.8289
208.5,134.5,3,78.7659,78.8853
208.5,134.75,3,78.8224,78.9418
208.5,135,3,78.8791,78.9986
208.5,135.25,3,78.9361,79.0556
208.5,135.5,3,78.9933,79.1128
208.5,135.75,3,79.0507,79.1702
208.5,136,3,79.1084,79.2279
208.5,136.25,3,79.1663,79.2858
