Mt,Mh_calc,Stability,S_exact,S_approx
229.25,148.5,3,14.2972,11.7285
229.25,148.75,3,14.3017,11.7324
229.25,149,3,14.3063,11.7362
229.25,149.25,3,14.311,11.7401
229.25,149.5,3,14.3157,11.744
229.25,149.75,3,14.3203,11.748
229.25,150,3,14.3248,11.7519
229.25,150.25,3,14.3295,11.7558
229.25,150.5,3,14.3342,11.7598
229.25,150.75,3,14.3389,11.7638
229.25,151,3,14.3436,11.7677
229.25,151.25,3,14.3483,11.7717
229.25,151.5,3,14.353,11.7757
229.25,151.75,3,14.3578,11.7797
229.25,152,3,14.3625,11.7838
229.25,152.25,3,14.3673,11.7878
229.25,152.5,3,14.3721,11.7918
229.25,152.75,3,14.3769,11.7959
229.25,153,3,14.3817,11.8
229.25,153.25,3,14.3866,11.8041
229.25,153.5,3,14.3914,11.8082
229.25,153.75,3,14.3962,11.8123
229.25,154,3,14.4011,11.8164
229.25,154.25,3,14.4059,11.8205
229.25,154.5,3,14.4109,11.8247
229.25,154.75,3,14.4157,11.8288
229.25,155,3,14.4206,11.833
229.25,155.25,3,14.4256,11.8372
229.25,155.5,3,14.4305,11.8414
229.25,155.75,3,14.4355,11.8456
229.25,156,3,14.4405,11.8498
229.25,156.25,3,14.4455,11.854
229.25,156.5,3,14.4505,11.8583
229.25,156.75,3,14.4555,11.8625
229.25,157,3,14.4606,11.8668
229.25,157.25,3,14.4656,11.8711
229.25,157.5,3,14.4707,11.8754
229.25,157.75,3,14.4757,11.8797
229.25,158,3,14.4808,11.884
229.25,158.25,3,14.486,11.8884
229.25,158.5,3,14.4911,11.8927
229.25,158.75,3,14.4962,11.8971
229.25,159,3,14.5014,11.9015
229.25,159.25,3,14.5065,11.9058
229.25,159.5,3,14.5117,11.9102
229.25,159.75,3,14.5169,11.9147
229.25,160,3,14.5221,11.9191
229.25,160.25,3,14.5274,11.9235
229.25,160.5,3,14.5326,11.928
229.25,160.75,3,14.5379,11.9325
229.25,161,3,14.5432,11.9369
229.25,161.25,3,14.5485,11.9414
229.25,161.5,3,14.5538,11.946
229.25,161.75,3,14.5592,11.9505
229.25,162,3,14.5645,11.955
229.25,162.25,3,14.5698,11.9596
229.25,162.5,3,14.5752,11.9641
229.25,162.75,3,14.5806,11.9687
229.25,163,3,14.586,11.9733
229.25,163.25,3,14.5915,11.9779
229.25,163.5,3,14.5969,11.9826
229.25,163.75,3,14.6024,11.9872
229.25,164,3,14.6078,11.9919
229.25,164.25,3,14.6134,11.9965
229.25,164.5,3,14.6189,12.0012
229.25,164.75,3,14.6244,12.0059
229.25,165,3,14.63,12.0106
229.25,165.25,3,14.6355,12.0153
229.25,165.5,3,14.641,12.0201
229.25,165.75,3,14.6466,12.0249
229.25,166,3,14.6523,12.0296
229.25,166.25,3,14.6579,12.0344
229.25,166.5,3,14.6636,12.0392
229.25,166.75,3,14.6692,12.044
229.25,167,3,14.6749,12.0489
229.25,167.25,3,14.6806,12.0537
229.25,167.5,3,14.6864,12.0586
229.25,167.75,3,14.6921,12.0635
229.25,168,3,14.6979,12.0684
229.25,168.25,3,14.7037,12.0733
229.25,168.5,3,14.7095,12.0782
229.25,168.75,3,14.7153,12.0832
229.25,169,3,14.7211,12.0881
229.25,169.25,3,14.727,12.0931
229.25,169.5,3,14.7329,12.0981
229.25,169.75,3,14.7387,12.1031
229.25,170,3,14.7447,12.1081
229.25,170.25,3,14.7506,12.1132
229.25,170.5,3,14.7566,12.1182
229.25,170.75,3,14.7625,12.1233
229.25,171,3,14.7685,12.1284
229.25,171.25,3,14.7745,12.1335
229.25,171.5,3,14.7805,12.1386
229.25,171.75,3,14.7865,12.1438
229.25,172,3,14.7926,12.1489
229.25,172.25,3,14.7987,12.1541
229.25,172.5,3,14.8048,12.1593
229.25,172.75,3,14.811,12.1645
229.25,173,3,14.817,12.1698
229.25,173.25,3,14.8232,12.175
229.25,173.5,3,14.8293,12.1803
229.25,173.75,3,14.8356,12.1856
229.25,174,3,14.8418,12.1909
229.25,174.25,3,14.848,12.1962
229.25,174.5,3,14.8543,12.2015
229.25,174.75,3,14.8605,12.2069
229.25,175,3,14.8668,12.2122
229.25,175.25,3,14.8731,12.2176
229.25,175.5,3,14.8794,12.2231
229.25,175.75,3,14.8858,12.2285
229.25,176,3,14.8921,12.2339
229.25,176.25,3,14.8986,12.2394
229.25,176.5,3,14.905,12.2449
229.25,176.75,3,14.9114,12.2504
229.25,177,3,14.9179,12.2559
229.25,177.25,3,14.9244,12.2615
229.25,177.5,3,14.9309,12.267
229.25,177.75,3,14.9375,12.2726
229.25,178,3,14.9441,12.2782
229.25,178.25,3,14.9507,12.2838
229.25,178.5,3,14.9573,12.2895
229.25,178.75,3,14.9639,12.2952
229.25,179,3,14.9706,12.3008
229.25,179.25,3,14.9773,12.3065
229.25,179.5,3,14.9839,12.3123
229.25,179.75,3,14.9908,12.318
229.25,180,3,14.9975,12.3238
229.25,180.25,3,15.0043,12.3296
229.25,180.5,3,15.011,12.3354
229.25,180.75,3,15.0178,12.3412
229.25,181,3,15.0247,12.3471
229.25,181.25,3,15.0315,12.3529
229.25,181.5,3,15.0384,12.3588
229.25,181.75,3,15.0454,12.3647
229.25,182,3,15.0523,12.3707
229.25,182.25,3,15.0593,12.3766
229.25,182.5,3,15.0663,12.3826
229.25,182.75,3,15.0734,12.3886
229.25,183,3,15.0804,12.3947
229.25,183.25,3,15.0875,12.4007
229.25,183.5,3,15.0946,12.4068
229.25,183.75,3,15.1018,12.4129
229.25,184,3,15.1089,12.419
229.25,184.25,3,15.1162,12.4251
229.25,184.5,3,15.1234,12.4313
229.25,184.75,3,15.1306,12.4375
229.25,185,3,15.1378,12.4437
229.25,185.25,3,15.1451,12.45
229.25,185.5,3,15.1524,12.4562
229.25,185.75,3,15.1598,12.4625
229.25,186,3,15.1671,12.4688
229.25,186.25,3,15.1746,12.4752
229.25,186.5,3,15.182,12.4815
229.25,186.75,3,15.1895,12.4879
229.25,187,3,15.1969,12.4943
229.25,187.25,3,15.2045,12.5008
229.25,187.5,3,15.212,12.5072
229.25,187.75,3,15.2195,12.5137
229.25,188,3,15.2271,12.5202
229.25,188.25,3,15.2348,12.5268
229.25,188.5,3,15.2424,12.5333
229.25,188.75,3,15.2501,12.5399
229.25,189,3,15.2579,12.5465
229.25,189.25,3,15.2656,12.5532
