Mt,Mh_calc,Stability,S_exact,S_approx
20.75,104.5,1,-1,-1
20.75,104.75,1,-1,-1
20.75,105,1,-1,-1
20.75,105.25,1,-1,-1
20.75,105.5,1,-1,-1
20.75,105.75,1,-1,-1
20.75,106,1,-1,-1
20.75,106.25,1,-1,-1
20.75,106.5,1,-1,-1
20.75,106.75,1,-1,-1
20.75,107,1,-1,-1
20.75,107.25,1,-1,-1
20.75,107.5,1,-1,-1
20.75,107.75,1,-1,-1
20.75,108,1,-1,-1
20.75,108.25,1,-1,-1
20.75,108.5,1,-1,-1
20.75,108.75,1,-1,-1
20.75,109,1,-1,-1
20.75,109.25,1,-1,-1
20.75,109.5,1,-1,-1
20.75,109.75,1,-1,-1
20.75,110,1,-1,-1
20.75,110.25,1,-1,-1
20.75,110.5,1,-1,-1
20.75,110.75,1,-1,-1
20.75,111,1,-1,-1
20.75,111.25,1,-1,-1
20.75,111.5,1,-1,-1
20.75,111.75,1,-1,-1
20.75,112,1,-1,-1
20.75,112.25,1,-1,-1
20.75,112.5,1,-1,-1
20.75,112.75,1,-1,-1
20.75,113,1,-1,-1
20.75,113.25,1,-1,-1
20.75,113.5,1,-1,-1
20.75,113.75,1,-1,-1
20.75,114,1,-1,-1
20.75,114.25,1,-1,-1
20.75,114.5,1,-1,-1
20.75,114.75,1,-1,-1
20.75,115,1,-1,-1
20.75,115.25,1,-1,-1
20.75,115.5,1,-1,-1
20.75,115.75,1,-1,-1
20.75,116,1,-1,-1
20.75,116.25,1,-1,-1
20.75,116.5,1,-1,-1
20.75,116.75,1,-1,-1
20.75,117,1,-1,-1
20.75,117.25,1,-1,-1
20.75,117.5,1,-1,-1
20.75,117.75,1,-1,-1
20.75,118,1,-1,-1
20.75,118.25,1,-1,-1
20.75,118.5,1,-1,-1
20.75,118.75,1,-1,-1
20.75,119,1,-1,-1
20.75,119.25,1,-1,-1
20.75,119.5,1,-1,-1
20.75,119.75,1,-1,-1
20.75,120,1,-1,-1
20.75,120.25,1,-1,-1
20.75,120.5,1,-1,-1
20.75,120.75,1,-1,-1
20.75,121,1,-1,-1
20.75,121.25,1,-1,-1
20.75,121.5,1,-1,-1
20.75,121.75,1,-1,-1
20.75,122,1,-1,-1
20.75,122.25,1,-1,-1
20.75,122.5,1,-1,-1
20.75,122.75,1,-1,-1
20.75,123,1,-1,-1
20.75,123.25,1,-1,-1
20.75,123.5,1,-1,-1
20.75,123.75,1,-1,-1
20.75,124,1,-1,-1
20.75,124.25,1,-1,-1
20.75,124.5,1,-1,-1
20.75,124.75,1,-1,-1
20.75,125,1,-1,-1
20.75,125.25,1,-1,-1
20.75,125.5,1,-1,-1
20.75,125.75,1,-1,-1
20.75,126,1,-1,-1
20.75,126.25,1,-1,-1
20.75,126.5,1,-1,-1
20.75,126.75,1,-1,-1
20.75,127,1,-1,-1
20.75,127.25,1,-1,-1
20.75,127.5,1,-1,-1
20.75,127.75,1,-1,-1
20.75,128,1,-1,-1
20.75,128.25,1,-1,-1
20.75,128.5,1,-1,-1
20.75,128.75,1,-1,-1
20.75,129,1,-1,-1
20.75,129.25,1,-1,-1
20.75,129.5,1,-1,-1
20.75,129.75,1,-1,-1
20.75,130,1,-1,-1
20.75,130.25,1,-1,-1
20.75,130.5,1,-1,-1
20.75,130.75,1,-1,-1
20.75,131,1,-1,-1
20.75,131.25,1,-1,-1
20.75,131.5,1,-1,-1
20.75,131.75,1,-1,-1
20.75,132,1,-1,-1
20.75,132.25,1,-1,-1
20.75,132.5,1,-1,-1
20.75,132.75,1,-1,-1
20.75,133,1,-1,-1
20.75,133.25,1,-1,-1
20.75,133.5,1,-1,-1
20.75,133.75,1,-1,-1
20.75,134,1,-1,-1
20.75,134.25,1,-1,-1
20.75,134.5,1,-1,-1
20.75,134.75,1,-1,-1
20.75,135,1,-1,-1
20.75,135.25,1,-1,-1
20.75,135.5,1,-1,-1
20.75,135.75,1,-1,-1
20.75,136,1,-1,-1
20.75,136.25,1,-1,-1
20.75,136.5,1,-1,-1
20.75,136.75,1,-1,-1
20.75,137,1,-1,-1
20.75,137.25,1,-1,-1
20.75,137.5,1,-1,-1
20.75,137.75,1,-1,-1
20.75,138,1,-1,-1
20.75,138.25,1,-1,-1
20.75,138.5,1,-1,-1
20.75,138.75,1,-1,-1
20.75,139,1,-1,-1
20.75,139.25,1,-1,-1
20.75,139.5,1,-1,-1
20.75,139.75,1,-1,-1
20.75,140,1,-1,-1
20.75,140.25,1,-1,-1
20.75,140.5,1,-1,-1
20.75,140.75,1,-1,-1
20.75,141,1,-1,-1
20.75,141.25,1,-1,-1
20.75,141.5,1,-1,-1
20.75,141.75,1,-1,-1
20.75,142,1,-1,-1
20.75,142.25,1,-1,-1
20.75,142.5,1,-1,-1
20.75,142.75,1,-1,-1
20.75,143,1,-1,-1
20.75,143.25,1,-1,-1
20.75,143.5,1,-1,-1
20.75,143.75,1,-1,-1
20.75,144,1,-1,-1
20.75,144.25,1,-1,-1
20.75,144.5,1,-1,-1
20.75,144.75,1,-1,-1
20.75,145,1,-1,-1
20.75,145.25,1,-1,-1
20.75,145.5,1,-1,-1
20.75,145.75,1,-1,-1
20.75,146,1,-1,-1
20.75,146.25,1,-1,-1
20.75,146.5,1,-1,-1
20.75,146.75,1,-1,-1
20.75,147,1,-1,-1
20.75,147.25,1,-1,-1
20.75,147.5,1,-1,-1
20.75,147.75,1,-1,-1
20.75,148,1,-1,-1
20.75,148.25,1,-1,-1
20.75,148.5,1,-1,-1
20.75,148.75,1,-1,-1
20.75,149,1,-1,-1
20.75,149.25,1,-1,-1
20.75,149.5,1,-1,-1
20.75,149.75,1,-1,-1
20.75,150,1,-1,-1
20.75,150.25,1,-1,-1
20.75,150.5,1,-1,-1
20.75,150.75,1,-1,-1
20.75,151,1,-1,-1
20.75,151.25,1,-1,-1
20.75,151.5,1,-1,-1
20.75,151.75,1,-1,-1
20.75,152,1,-1,-1
20.75,152.25,1,-1,-1
20.75,152.5,1,-1,-1
20.75,152.75,1,-1,-1
20.75,153,1,-1,-1
20.75,153.25,1,-1,-1
20.75,153.5,1,-1,-1
20.75,153.75,1,-1,-1
20.75,154,1,-1,-1
20.75,154.25,1,-1,-1
20.75,154.5,1,-1,-1
20.75,154.75,1,-1,-1
20.75,155,1,-1,-1
20.75,155.25,1,-1,-1
20.75,155.5,1,-1,-1
20.75,155.75,1,-1,-1
20.75,156,1,-1,-1
20.75,156.25,1,-1,-1
20.75,156.5,1,-1,-1
20.75,156.75,1,-1,-1
20.75,157,1,-1,-1
20.75,157.25,1,-1,-1
20.75,157.5,1,-1,-1
20.75,157.75,1,-1,-1
20.75,158,1,-1,-1
20.75,158.25,1,-1,-1
20.75,158.5,1,-1,-1
20.75,158.75,1,-1,-1
20.75,159,1,-1,-1
20.75,159.25,1,-1,-1
20.75,159.5,1,-1,-1
20.75,159.75,1,-1,-1
20.75,160,1,-1,-1
20.75,160.25,1,-1,-1
20.75,160.5,1,-1,-1
20.75,160.75,1,-1,-1
20.75,161,1,-1,-1
20.75,161.25,1,-1,-1
20.75,161.5,1,-1,-1
20.75,161.75,1,-1,-1
20.75,162,1,-1,-1
20.75,162.25,1,-1,-1
20.75,162.5,1,-1,-1
20.75,162.75,1,-1,-1
20.75,163,1,-1,-1
20.75,163.25,1,-1,-1
20.75,163.5,1,-1,-1
20.75,163.75,1,-1,-1
20.75,164,1,-1,-1
20.75,164.25,1,-1,-1
20.75,164.5,1,-1,-1
20.75,164.75,1,-1,-1
20.75,165,1,-1,-1
