Mt,Mh_calc,Stability,S_approx
145.75,231,4,-1
145.75,231.25,4,-1
145.75,231.5,4,-1
145.75,231.75,4,-1
145.75,232,4,-1
145.75,232.25,4,-1
145.75,232.5,4,-1
145.75,232.75,4,-1
145.75,233,4,-1
145.75,233.25,4,-1
145.75,233.5,4,-1
145.75,233.75,4,-1
145.75,234,4,-1
145.75,234.25,4,-1
145.75,234.5,4,-1
145.75,234.75,4,-1
145.75,235,4,-1
145.75,235.25,4,-1
145.75,235.5,4,-1
145.75,235.75,4,-1
145.75,236,4,-1
145.75,236.25,4,-1
145.75,236.5,4,-1
145.75,236.75,4,-1
145.75,237,4,-1
145.75,237.25,4,-1
145.75,237.5,4,-1
145.75,237.75,4,-1
145.75,238,4,-1
145.75,238.25,4,-1
145.75,238.5,4,-1
145.75,238.75,4,-1
145.75,239,4,-1
145.75,239.25,4,-1
145.75,239.5,4,-1
145.75,239.75,4,-1
145.75,240,4,-1
145.75,240.25,4,-1
145.75,240.5,4,-1
145.75,240.75,4,-1
145.75,241,4,-1
145.75,241.25,4,-1
145.75,241.5,4,-1
145.75,241.75,4,-1
145.75,242,4,-1
145.75,242.25,4,-1
145.75,242.5,4,-1
145.75,242.75,4,-1
145.75,243,4,-1
145.75,243.25,4,-1
145.75,243.5,4,-1
145.75,243.75,4,-1
145.75,244,4,-1
145.75,244.25,4,-1
145.75,244.5,4,-1
145.75,244.75,4,-1
145.75,245,4,-1
145.75,245.25,4,-1
145.75,245.5,4,-1
145.75,245.75,4,-1
145.75,246,4,-1
145.75,246.25,4,-1
145.75,246.5,4,-1
145.75,246.75,4,-1
145.75,247,4,-1
145.75,247.25,4,-1
145.75,247.5,4,-1
145.75,247.75,4,-1
145.75,248,4,-1
145.75,248.25,4,-1
145.75,248.5,4,-1
145.75,248.75,4,-1
145.75,249,4,-1
145.75,249.25,4,-1
145.75,249.5,4,-1
145.75,249.75,4,-1
145.75,250,4,-1
146,0,2,574.472
146,0.25,2,574.478
146,0.5,2,574.495
146,0.75,2,574.524
146,1,2,574.564
146,1.25,2,574.616
146,1.5,2,574.679
146,1.75,2,574.754
146,2,2,574.84
146,2.25,2,574.938
146,2.5,2,575.048
146,2.75,2,575.169
146,3,2,575.301
146,3.25,2,575.446
146,3.5,2,575.602
146,3.75,2,575.769
146,4,2,575.948
146,4.25,2,576.139
146,4.5,2,576.342
146,4.75,2,576.556
146,5,2,576.783
146,5.25,2,577.021
146,5.5,2,577.27
146,5.75,2,577.532
146,6,2,577.805
146,6.25,2,578.091
146,6.5,2,578.388
146,6.75,2,578.697
146,7,2,579.019
146,7.25,2,579.352
146,7.5,2,579.698
146,7.75,2,580.055
146,8,2,580.425
146,8.25,2,580.808
146,8.5,2,581.202
146,8.75,2,581.609
146,9,2,582.029
146,9.25,2,582.461
146,9.5,2,582.906
146,9.75,2,583.363
146,10,2,583.833
146,10.25,2,584.315
146,10.5,2,584.81
146,10.75,2,585.318
146,11,2,585.839
146,11.25,2,586.373
146,11.5,2,586.92
146,11.75,2,587.48
146,12,2,588.054
146,12.25,2,588.64
146,12.5,2,589.241
146,12.75,2,589.854
146,13,2,590.482
146,13.25,2,591.122
146,13.5,2,591.776
