Mt,Mh_calc,Stability,S_approx
208.5,44,3,67.8808
208.5,44.25,3,67.8932
208.5,44.5,3,67.9058
208.5,44.75,3,67.9183
208.5,45,3,67.9309
208.5,45.25,3,67.9436
208.5,45.5,3,67.9564
208.5,45.75,3,67.9693
208.5,46,3,67.9823
208.5,46.25,3,67.9953
208.5,46.5,3,68.0083
208.5,46.75,3,68.0215
208.5,47,3,68.0348
208.5,47.25,3,68.0481
208.5,47.5,3,68.0615
208.5,47.75,3,68.075
208.5,48,3,68.0885
208.5,48.25,3,68.1022
208.5,48.5,3,68.1159
208.5,48.75,3,68.1297
208.5,49,3,68.1435
208.5,49.25,3,68.1575
208.5,49.5,3,68.1715
208.5,49.75,3,68.1856
208.5,50,3,68.1998
208.5,50.25,3,68.214
208.5,50.5,3,68.2284
208.5,50.75,3,68.2428
208.5,51,3,68.2573
208.5,51.25,3,68.2719
208.5,51.5,3,68.2865
208.5,51.75,3,68.3012
208.5,52,3,68.316
208.5,52.25,3,68.331
208.5,52.5,3,68.3459
208.5,52.75,3,68.3609
208.5,53,3,68.3761
208.5,53.25,3,68.3913
208.5,53.5,3,68.4066
208.5,53.75,3,68.4219
208.5,54,3,68.4374
208.5,54.25,3,68.4529
208.5,54.5,3,68.4685
208.5,54.75,3,68.4842
208.5,55,3,68.4999
208.5,55.25,3,68.5158
208.5,55.5,3,68.5317
208.5,55.75,3,68.5478
208.5,56,3,68.5638
208.5,56.25,3,68.58
208.5,56.5,3,68.5962
208.5,56.75,3,68.6126
208.5,57,3,68.629
208.5,57.25,3,68.6455
208.5,57.5,3,68.6621
208.5,57.75,3,68.6788
208.5,58,3,68.6955
208.5,58.25,3,68.7123
208.5,58.5,3,68.7292
208.5,58.75,3,68.7462
208.5,59,3,68.7633
208.5,59.25,3,68.7804
208.5,59.5,3,68.7977
208.5,59.75,3,68.815
208.5,60,3,68.8324
208.5,60.25,3,68.8499
208.5,60.5,3,68.8675
208.5,60.75,3,68.8851
208.5,61,3,68.9029
208.5,61.25,3,68.9207
208.5,61.5,3,68.9386
208.5,61.75,3,68.9566
208.5,62,3,68.9747
208.5,62.25,3,68.9928
208.5,62.5,3,69.0111
208.5,62.75,3,69.0295
208.5,63,3,69.0479
208.5,63.25,3,69.0663
208.5,63.5,3,69.0849
208.5,63.75,3,69.1037
208.5,64,3,69.1224
208.5,64.25,3,69.1412
208.5,64.5,3,69.1602
208.5,64.75,3,69.1792
208.5,65,3,69.1983
208.5,65.25,3,69.2175
208.5,65.5,3,69.2368
208.5,65.75,3,69.2561
208.5,66,3,69.2756
208.5,66.25,3,69.2951
208.5,66.5,3,69.3148
208.5,66.75,3,69.3345
208.5,67,3,69.3543
208.5,67.25,3,69.3742
208.5,67.5,3,69.3942
208.5,67.75,3,69.4142
208.5,68,3,69.4344
208.5,68.25,3,69.4547
