Mt,Mh_calc,Stability,S_exact,S_approx
104.25,22,1,-1,-1
104.25,22.25,1,-1,-1
104.25,22.5,1,-1,-1
104.25,22.75,1,-1,-1
104.25,23,1,-1,-1
104.25,23.25,1,-1,-1
104.25,23.5,1,-1,-1
104.25,23.75,1,-1,-1
104.25,24,1,-1,-1
104.25,24.25,1,-1,-1
104.25,24.5,1,-1,-1
104.25,24.75,1,-1,-1
104.25,25,1,-1,-1
104.25,25.25,1,-1,-1
104.25,25.5,1,-1,-1
104.25,25.75,1,-1,-1
104.25,26,1,-1,-1
104.25,26.25,1,-1,-1
104.25,26.5,1,-1,-1
104.25,26.75,1,-1,-1
104.25,27,1,-1,-1
104.25,27.25,1,-1,-1
104.25,27.5,1,-1,-1
104.25,27.75,1,-1,-1
104.25,28,1,-1,-1
104.25,28.25,1,-1,-1
104.25,28.5,1,-1,-1
104.25,28.75,1,-1,-1
104.25,29,1,-1,-1
104.25,29.25,1,-1,-1
104.25,29.5,1,-1,-1
104.25,29.75,1,-1,-1
104.25,30,1,-1,-1
104.25,30.25,1,-1,-1
104.25,30.5,1,-1,-1
104.25,30.75,1,-1,-1
104.25,31,1,-1,-1
104.25,31.25,1,-1,-1
104.25,31.5,1,-1,-1
104.25,31.75,1,-1,-1
104.25,32,1,-1,-1
104.25,32.25,1,-1,-1
104.25,32.5,1,-1,-1
104.25,32.75,1,-1,-1
104.25,33,1,-1,-1
104.25,33.25,1,-1,-1
104.25,33.5,1,-1,-1
104.25,33.75,1,-1,-1
104.25,34,1,-1,-1
104.25,34.25,1,-1,-1
104.25,34.5,1,-1,-1
104.25,34.75,1,-1,-1
104.25,35,1,-1,-1
104.25,35.25,1,-1,-1
104.25,35.5,1,-1,-1
104.25,35.75,1,-1,-1
104.25,36,1,-1,-1
104.25,36.25,1,-1,-1
104.25,36.5,1,-1,-1
104.25,36.75,1,-1,-1
104.25,37,1,-1,-1
104.25,37.25,1,-1,-1
104.25,37.5,1,-1,-1
104.25,37.75,1,-1,-1
104.25,38,1,-1,-1
104.25,38.25,1,-1,-1
104.25,38.5,1,-1,-1
104.25,38.75,1,-1,-1
104.25,39,1,-1,-1
104.25,39.25,1,-1,-1
104.25,39.5,1,-1,-1
104.25,39.75,1,-1,-1
104.25,40,1,-1,-1
104.25,40.25,1,-1,-1
104.25,40.5,1,-1,-1
104.25,40.75,1,-1,-1
104.25,41,1,-1,-1
104.25,41.25,1,-1,-1
104.25,41.5,1,-1,-1
104.25,41.75,1,-1,-1
104.25,42,1,-1,-1
104.25,42.25,1,-1,-1
104.25,42.5,1,-1,-1
104.25,42.75,1,-1,-1
104.25,43,1,-1,-1
104.25,43.25,1,-1,-1
104.25,43.5,1,-1,-1
104.25,43.75,1,-1,-1
104.25,44,1,-1,-1
104.25,44.25,1,-1,-1
104.25,44.5,1,-1,-1
104.25,44.75,1,-1,-1
104.25,45,1,-1,-1
104.25,45.25,1,-1,-1
104.25,45.5,1,-1,-1
104.25,45.75,1,-1,-1
104.25,46,1,-1,-1
104.25,46.25,1,-1,-1
104.25,46.5,1,-1,-1
104.25,46.75,1,-1,-1
104.25,47,1,-1,-1
104.25,47.25,1,-1,-1
104.25,47.5,1,-1,-1
104.25,47.75,1,-1,-1
104.25,48,1,-1,-1
104.25,48.25,1,-1,-1
104.25,48.5,1,-1,-1
104.25,48.75,1,-1,-1
104.25,49,1,-1,-1
104.25,49.25,1,-1,-1
104.25,49.5,1,-1,-1
104.25,49.75,1,-1,-1
104.25,50,1,-1,-1
104.25,50.25,1,-1,-1
104.25,50.5,1,-1,-1
104.25,50.75,1,-1,-1
104.25,51,1,-1,-1
104.25,51.25,1,-1,-1
104.25,51.5,1,-1,-1
104.25,51.75,1,-1,-1
104.25,52,1,-1,-1
104.25,52.25,1,-1,-1
104.25,52.5,1,-1,-1
104.25,52.75,1,-1,-1
104.25,53,1,-1,-1
104.25,53.25,1,-1,-1
104.25,53.5,1,-1,-1
104.25,53.75,1,-1,-1
104.25,54,1,-1,-1
104.25,54.25,1,-1,-1
104.25,54.5,1,-1,-1
104.25,54.75,1,-1,-1
104.25,55,1,-1,-1
104.25,55.25,1,-1,-1
104.25,55.5,1,-1,-1
104.25,55.75,1,-1,-1
104.25,56,1,-1,-1
104.25,56.25,1,-1,-1
104.25,56.5,1,-1,-1
104.25,56.75,1,-1,-1
104.25,57,1,-1,-1
104.25,57.25,1,-1,-1
104.25,57.5,1,-1,-1
104.25,57.75,1,-1,-1
104.25,58,1,-1,-1
104.25,58.25,1,-1,-1
104.25,58.5,1,-1,-1
104.25,58.75,1,-1,-1
104.25,59,1,-1,-1
104.25,59.25,1,-1,-1
104.25,59.5,1,-1,-1
104.25,59.75,1,-1,-1
104.25,60,1,-1,-1
104.25,60.25,1,-1,-1
104.25,60.5,1,-1,-1
104.25,60.75,1,-1,-1
104.25,61,1,-1,-1
104.25,61.25,1,-1,-1
104.25,61.5,1,-1,-1
104.25,61.75,1,-1,-1
104.25,62,1,-1,-1
104.25,62.25,1,-1,-1
104.25,62.5,1,-1,-1
104.25,62.75,1,-1,-1
104.25,63,1,-1,-1
104.25,63.25,1,-1,-1
104.25,63.5,1,-1,-1
104.25,63.75,1,-1,-1
104.25,64,1,-1,-1
104.25,64.25,1,-1,-1
104.25,64.5,1,-1,-1
104.25,64.75,1,-1,-1
104.25,65,1,-1,-1
104.25,65.25,1,-1,-1
104.25,65.5,1,-1,-1
104.25,65.75,1,-1,-1
104.25,66,1,-1,-1
104.25,66.25,1,-1,-1
104.25,66.5,1,-1,-1
104.25,66.75,1,-1,-1
104.25,67,1,-1,-1
104.25,67.25,1,-1,-1
104.25,67.5,1,-1,-1
104.25,67.75,1,-1,-1
104.25,68,1,-1,-1
104.25,68.25,1,-1,-1
104.25,68.5,1,-1,-1
104.25,68.75,1,-1,-1
104.25,69,1,-1,-1
104.25,69.25,1,-1,-1
104.25,69.5,1,-1,-1
104.25,69.75,1,-1,-1
104.25,70,1,-1,-1
104.25,70.25,1,-1,-1
104.25,70.5,1,-1,-1
104.25,70.75,1,-1,-1
104.25,71,1,-1,-1
104.25,71.25,1,-1,-1
104.25,71.5,1,-1,-1
104.25,71.75,1,-1,-1
104.25,72,1,-1,-1
104.25,72.25,1,-1,-1
104.25,72.5,1,-1,-1
104.25,72.75,1,-1,-1
104.25,73,1,-1,-1
104.25,73.25,1,-1,-1
104.25,73.5,1,-1,-1
104.25,73.75,1,-1,-1
104.25,74,1,-1,-1
104.25,74.25,1,-1,-1
104.25,74.5,1,-1,-1
104.25,74.75,1,-1,-1
104.25,75,1,-1,-1
104.25,75.25,1,-1,-1
104.25,75.5,1,-1,-1
104.25,75.75,1,-1,-1
104.25,76,1,-1,-1
104.25,76.25,1,-1,-1
104.25,76.5,1,-1,-1
104.25,76.75,1,-1,-1
104.25,77,1,-1,-1
104.25,77.25,1,-1,-1
104.25,77.5,1,-1,-1
104.25,77.75,1,-1,-1
104.25,78,1,-1,-1
104.25,78.25,1,-1,-1
104.25,78.5,1,-1,-1
