Mt,Mh_calc,Stability,S_approx
166.75,85.25,2,475.76
166.75,85.5,2,478.634
166.75,85.75,2,481.556
166.75,86,2,484.527
166.75,86.25,2,487.549
166.75,86.5,2,490.623
166.75,86.75,2,493.75
166.75,87,2,496.931
166.75,87.25,2,500.168
166.75,87.5,2,503.462
166.75,87.75,2,506.816
166.75,88,2,510.23
166.75,88.25,2,513.706
166.75,88.5,2,517.245
166.75,88.75,2,520.851
166.75,89,2,524.523
166.75,89.25,2,528.265
166.75,89.5,2,532.078
166.75,89.75,2,535.965
166.75,90,2,539.927
166.75,90.25,2,543.966
166.75,90.5,2,548.085
166.75,90.75,2,552.287
166.75,91,2,556.573
166.75,91.25,2,560.948
166.75,91.5,2,565.411
166.75,91.75,2,569.968
166.75,92,2,574.62
166.75,92.25,2,579.372
166.75,92.5,2,584.225
166.75,92.75,2,589.184
166.75,93,2,594.251
166.75,93.25,2,599.431
166.75,93.5,2,604.727
166.75,93.75,2,610.144
166.75,94,2,615.684
166.75,94.25,2,621.353
166.75,94.5,2,627.156
166.75,94.75,2,633.096
166.75,95,2,639.179
166.75,95.25,2,645.411
166.75,95.5,2,651.796
166.75,95.75,2,658.34
166.75,96,2,665.051
166.75,96.25,2,671.932
166.75,96.5,2,678.993
166.75,96.75,2,686.239
166.75,97,2,693.678
166.75,97.25,2,701.318
166.75,97.5,2,709.168
166.75,97.75,2,717.235
166.75,98,2,725.53
166.75,98.25,2,734.061
166.75,98.5,2,742.84
166.75,98.75,2,751.878
166.75,99,2,761.185
166.75,99.25,2,770.775
166.75,99.5,2,780.66
166.75,99.75,2,790.854
166.75,100,2,801.374
166.75,100.25,2,812.232
166.75,100.5,2,823.447
166.75,100.75,2,835.038
166.75,101,2,847.022
166.75,101.25,2,859.421
166.75,101.5,2,872.257
166.75,101.75,2,885.552
166.75,102,2,899.334
166.75,102.25,2,913.628
166.75,102.5,2,928.464
166.75,102.75,2,943.875
166.75,103,2,959.893
166.75,103.25,2,976.555
166.75,103.5,2,993.902
166.75,103.75,2,1011.98
166.75,104,2,1030.83
166.75,104.25,2,1050.5
166.75,104.5,2,1071.06
166.75,104.75,2,1092.56
166.75,105,2,1115.08
166.75,105.25,2,1138.67
166.75,105.5,2,1163.43
166.75,105.75,2,1189.44
166.75,106,2,1216.8
166.75,106.25,2,1245.62
166.75,106.5,2,1276.02
166.75,106.75,2,1308.13
166.75,107,2,1342.1
166.75,107.25,2,1378.11
166.75,107.5,2,1416.33
166.75,107.75,2,1456.98
166.75,108,2,1500.31
166.75,108.25,2,1546.58
166.75,108.5,2,1596.1
166.75,108.75,2,1649.24
166.75,109,2,1706.41
166.75,109.25,2,1768.08
166.75,109.5,2,1834.81
166.75,109.75,2,1907.24
166.75,110,2,1986.16
166.75,110.25,2,2072.46
166.75,110.5,2,2167.24
166.75,110.75,2,2271.82
166.75,111,2,2387.8
166.75,111.25,2,2517.16
166.75,111.5,2,2662.36
166.75,111.75,2,2826.5
166.75,112,2,3013.56
166.75,112.25,2,3228.71
166.75,112.5,2,3478.77
166.75,112.75,2,3773.03
166.75,113,2,4124.34
166.75,113.25,2,4551.11
166.75,113.5,2,5080.58
166.75,113.75,2,5754.92
166.75,114,2,6643.02
166.75,114.25,2,7865.76
166.75,114.5,2,9656.27
166.75,114.75,2,12529.7
166.75,115,2,17894.9
166.75,115.25,2,31473.9
166.75,115.5,2,133716
166.75,115.75,1,-1
166.75,116,1,-1
166.75,116.25,1,-1
166.75,116.5,1,-1
166.75,116.75,1,-1
166.75,117,1,-1
166.75,117.25,1,-1
166.75,117.5,1,-1
166.75,117.75,1,-1
166.75,118,1,-1
166.75,118.25,1,-1
166.75,118.5,1,-1
166.75,118.75,1,-1
166.75,119,1,-1
166.75,119.25,1,-1
166.75,119.5,1,-1
166.75,119.75,1,-1
166.75,120,1,-1
166.75,120.25,1,-1
166.75,120.5,1,-1
166.75,120.75,1,-1
166.75,121,1,-1
166.75,121.25,1,-1
166.75,121.5,1,-1
166.75,121.75,1,-1
166.75,122,1,-1
166.75,122.25,1,-1
166.75,122.5,1,-1
166.75,122.75,1,-1
166.75,123,1,-1
166.75,123.25,1,-1
166.75,123.5,1,-1
166.75,123.75,1,-1
166.75,124,1,-1
166.75,124.25,1,-1
166.75,124.5,1,-1
166.75,124.75,1,-1
166.75,125,1,-1
166.75,125.25,1,-1
166.75,125.5,1,-1
166.75,125.75,1,-1
166.75,126,1,-1
166.75,126.25,1,-1
166.75,126.5,1,-1
166.75,126.75,1,-1
166.75,127,1,-1
166.75,127.25,1,-1
166.75,127.5,1,-1
166.75,127.75,1,-1
166.75,128,1,-1
166.75,128.25,1,-1
166.75,128.5,1,-1
166.75,128.75,1,-1
166.75,129,1,-1
166.75,129.25,1,-1
166.75,129.5,1,-1
166.75,129.75,1,-1
166.75,130,1,-1
166.75,130.25,1,-1
166.75,130.5,1,-1
166.75,130.75,1,-1
166.75,131,1,-1
166.75,131.25,1,-1
166.75,131.5,1,-1
166.75,131.75,1,-1
166.75,132,1,-1
166.75,132.25,1,-1
166.75,132.5,1,-1
166.75,132.75,1,-1
166.75,133,1,-1
166.75,133.25,1,-1
166.75,133.5,1,-1
166.75,133.75,1,-1
166.75,134,1,-1
166.75,134.25,1,-1
166.75,134.5,1,-1
166.75,134.75,1,-1
166.75,135,1,-1
166.75,135.25,1,-1
166.75,135.5,1,-1
166.75,135.75,1,-1
166.75,136,1,-1
166.75,136.25,1,-1
166.75,136.5,1,-1
166.75,136.75,1,-1
166.75,137,1,-1
166.75,137.25,1,-1
166.75,137.5,1,-1
166.75,137.75,1,-1
166.75,138,1,-1
166.75,138.25,1,-1
166.75,138.5,1,-1
166.75,138.75,1,-1
166.75,139,1,-1
166.75,139.25,1,-1
166.75,139.5,1,-1
166.75,139.75,1,-1
166.75,140,1,-1
166.75,140.25,1,-1
166.75,140.5,1,-1
166.75,140.75,1,-1
166.75,141,1,-1
166.75,141.25,1,-1
166.75,141.5,1,-1
166.75,141.75,1,-1
166.75,142,1,-1
166.75,142.25,1,-1
166.75,142.5,1,-1
166.75,142.75,1,-1
166.75,143,1,-1
166.75,143.25,1,-1
166.75,143.5,1,-1
166.75,143.75,1,-1
166.75,144,1,-1
166.75,144.25,1,-1
166.75,144.5,1,-1
166.75,144.75,1,-1
166.75,145,1,-1
166.75,145.25,1,-1
166.75,145.5,1,-1
166.75,145.75,1,-1
166.75,146,1,-1
166.75,146.25,1,-1
166.75,146.5,1,-1
166.75,146.75,1,-1
166.75,147,1,-1
166.75,147.25,1,-1
166.75,147.5,1,-1
166.75,147.75,1,-1
166.75,148,1,-1
166.75,148.25,1,-1
166.75,148.5,1,-1
166.75,148.75,1,-1
166.75,149,1,-1
166.75,149.25,1,-1
166.75,149.5,1,-1
166.75,149.75,1,-1
166.75,150,1,-1
166.75,150.25,1,-1
166.75,150.5,1,-1
166.75,150.75,1,-1
166.75,151,1,-1
166.75,151.25,1,-1
166.75,151.5,1,-1
166.75,151.75,1,-1
166.75,152,1,-1
166.75,152.25,1,-1
166.75,152.5,1,-1
166.75,152.75,1,-1
166.75,153,1,-1
166.75,153.25,1,-1
166.75,153.5,1,-1
166.75,153.75,1,-1
166.75,154,1,-1
166.75,154.25,1,-1
166.75,154.5,1,-1
166.75,154.75,1,-1
166.75,155,1,-1
166.75,155.25,1,-1
166.75,155.5,1,-1
166.75,155.75,1,-1
166.75,156,1,-1
166.75,156.25,1,-1
166.75,156.5,1,-1
166.75,156.75,1,-1
166.75,157,1,-1
166.75,157.25,1,-1
166.75,157.5,1,-1
166.75,157.75,1,-1
166.75,158,1,-1
166.75,158.25,1,-1
166.75,158.5,1,-1
166.75,158.75,1,-1
166.75,159,1,-1
166.75,159.25,1,-1
166.75,159.5,1,-1
166.75,159.75,1,-1
166.75,160,1,-1
166.75,160.25,1,-1
166.75,160.5,1,-1
166.75,160.75,1,-1
166.75,161,1,-1
166.75,161.25,1,-1
166.75,161.5,1,-1
166.75,161.75,1,-1
166.75,162,1,-1
166.75,162.25,1,-1
166.75,162.5,1,-1
166.75,162.75,1,-1
166.75,163,1,-1
166.75,163.25,1,-1
166.75,163.5,1,-1
166.75,163.75,1,-1
166.75,164,1,-1
166.75,164.25,1,-1
166.75,164.5,1,-1
166.75,164.75,1,-1
166.75,165,1,-1
166.75,165.25,1,-1
166.75,165.5,1,-1
166.75,165.75,1,-1
166.75,166,1,-1
166.75,166.25,1,-1
166.75,166.5,1,-1
166.75,166.75,1,-1
166.75,167,1,-1
166.75,167.25,1,-1
166.75,167.5,1,-1
166.75,167.75,1,-1
166.75,168,1,-1
166.75,168.25,1,-1
166.75,168.5,1,-1
166.75,168.75,1,-1
166.75,169,1,-1
166.75,169.25,1,-1
166.75,169.5,1,-1
