Mt,Mh_calc,Stability,S_approx
104.25,22,1,-1
104.25,22.25,1,-1
104.25,22.5,1,-1
104.25,22.75,1,-1
104.25,23,1,-1
104.25,23.25,1,-1
104.25,23.5,1,-1
104.25,23.75,1,-1
104.25,24,1,-1
104.25,24.25,1,-1
104.25,24.5,1,-1
104.25,24.75,1,-1
104.25,25,1,-1
104.25,25.25,1,-1
104.25,25.5,1,-1
104.25,25.75,1,-1
104.25,26,1,-1
104.25,26.25,1,-1
104.25,26.5,1,-1
104.25,26.75,1,-1
104.25,27,1,-1
104.25,27.25,1,-1
104.25,27.5,1,-1
104.25,27.75,1,-1
104.25,28,1,-1
104.25,28.25,1,-1
104.25,28.5,1,-1
104.25,28.75,1,-1
104.25,29,1,-1
104.25,29.25,1,-1
104.25,29.5,1,-1
104.25,29.75,1,-1
104.25,30,1,-1
104.25,30.25,1,-1
104.25,30.5,1,-1
104.25,30.75,1,-1
104.25,31,1,-1
104.25,31.25,1,-1
104.25,31.5,1,-1
104.25,31.75,1,-1
104.25,32,1,-1
104.25,32.25,1,-1
104.25,32.5,1,-1
104.25,32.75,1,-1
104.25,33,1,-1
104.25,33.25,1,-1
104.25,33.5,1,-1
104.25,33.75,1,-1
104.25,34,1,-1
104.25,34.25,1,-1
104.25,34.5,1,-1
104.25,34.75,1,-1
104.25,35,1,-1
104.25,35.25,1,-1
104.25,35.5,1,-1
104.25,35.75,1,-1
104.25,36,1,-1
104.25,36.25,1,-1
104.25,36.5,1,-1
104.25,36.75,1,-1
104.25,37,1,-1
104.25,37.25,1,-1
104.25,37.5,1,-1
104.25,37.75,1,-1
104.25,38,1,-1
104.25,38.25,1,-1
104.25,38.5,1,-1
104.25,38.75,1,-1
104.25,39,1,-1
104.25,39.25,1,-1
104.25,39.5,1,-1
104.25,39.75,1,-1
104.25,40,1,-1
104.25,40.25,1,-1
104.25,40.5,1,-1
104.25,40.75,1,-1
104.25,41,1,-1
104.25,41.25,1,-1
104.25,41.5,1,-1
104.25,41.75,1,-1
104.25,42,1,-1
104.25,42.25,1,-1
104.25,42.5,1,-1
104.25,42.75,1,-1
104.25,43,1,-1
104.25,43.25,1,-1
104.25,43.5,1,-1
104.25,43.75,1,-1
104.25,44,1,-1
104.25,44.25,1,-1
104.25,44.5,1,-1
104.25,44.75,1,-1
104.25,45,1,-1
104.25,45.25,1,-1
104.25,45.5,1,-1
104.25,45.75,1,-1
104.25,46,1,-1
104.25,46.25,1,-1
104.25,46.5,1,-1
104.25,46.75,1,-1
