step,r,phi,dphi,dV,dr,truncation_error,friction
279,0.0254516,612.526,-36042.2,-225136,0.000169947,7.24597e-007,-4.24832e+006
280,0.0256216,606.459,-35367,-217424,0.000171476,0.338973,-4.14108e+006
281,0.025793,600.451,-34701.8,-202080,0.000173032,7.23219e-007,-4.03618e+006
282,0.0259661,594.504,-34046.7,-195056,0.000174614,7.19536e-007,-3.93359e+006
283,0.0261407,588.615,-33402.1,-188271,0.000176221,7.1596e-007,-3.83334e+006
284,0.0263169,582.785,-32767.8,-181716,0.000177853,7.12476e-007,-3.73537e+006
285,0.0264948,577.013,-32143.8,-175384,0.00017951,0.310719,-3.63964e+006
286,0.0266743,571.298,-31529.1,-162357,0.000181197,7.12052e-007,-3.54601e+006
287,0.0268555,565.641,-30923.8,-156605,0.000182914,7.08962e-007,-3.45447e+006
288,0.0270384,560.039,-30328.3,-151051,0.000184659,7.05983e-007,-3.36502e+006
289,0.027223,554.493,-29742.4,-145689,0.000186432,7.03099e-007,-3.27763e+006
290,0.0274095,549.002,-29166,-140512,0.000188233,0.285317,-3.19226e+006
291,0.0275977,543.565,-28598.3,-129460,0.000190069,7.03717e-007,-3.10877e+006
292,0.0277878,538.183,-28039.4,-124770,0.000191938,7.01246e-007,-3.02717e+006
293,0.0279797,532.854,-27489.6,-120245,0.000193839,6.98879e-007,-2.94745e+006
294,0.0281736,527.578,-26948.7,-115878,0.000195771,6.9663e-007,-2.86958e+006
295,0.0283693,522.355,-26416.7,-111664,0.000197737,0.262484,-2.79351e+006
296,0.0285671,517.183,-25892.8,-102296,0.000199741,6.98387e-007,-2.71916e+006
297,0.0287668,512.063,-25377,-98491.9,0.000201783,6.96567e-007,-2.64649e+006
298,0.0289686,506.994,-24869.7,-94823.5,0.00020386,6.94864e-007,-2.57551e+006
299,0.0291724,501.975,-24370.7,-91285.8,0.000205975,6.9328e-007,-2.5062e+006
300,0.0293784,497.006,-23879.9,-87874.3,0.000208127,0.241971,-2.43852e+006
301,0.0295865,492.087,-23396.7,-79939.5,0.000210323,6.96312e-007,-2.37237e+006
302,0.0297969,487.216,-22921.1,-76872.1,0.000212562,6.95198e-007,-2.30773e+006
303,0.0300094,482.394,-22453.3,-73916.1,0.000214843,6.94214e-007,-2.24463e+006
304,0.0302243,477.62,-21993.3,-71067.5,0.000217166,6.93352e-007,-2.18301e+006
305,0.0304414,472.893,-21540.9,-68322.7,0.000219532,0.223557,-2.12286e+006
306,0.030661,468.213,-21095.6,-61608.2,0.000221949,6.97827e-007,-2.06408e+006
307,0.0308829,463.58,-20657.2,-59151.6,0.000224415,6.97485e-007,-2.00667e+006
308,0.0311073,458.992,-20226.2,-56786.3,0.000226929,6.97283e-007,-1.95063e+006
309,0.0313343,454.451,-19802.5,-54509,0.000229492,6.97225e-007,-1.89592e+006
310,0.0315638,449.954,-19385.8,-52316.6,0.000232105,0.206983,-1.84254e+006
311,0.0317959,445.503,-18975.8,-46640.2,0.000234775,7.03332e-007,-1.7904e+006
312,0.0320306,441.095,-18572.1,-44688.8,0.000237504,7.03854e-007,-1.73947e+006
313,0.0322681,436.731,-18175.3,-42811.9,0.000240288,7.0454e-007,-1.68978e+006
314,0.0325084,432.411,-17785.2,-41006.8,0.000243129,7.05378e-007,-1.64129e+006
315,0.0327516,428.134,-17401.7,-39271,0.000246029,0.192234,-1.59398e+006
316,0.0329976,423.899,-17024.4,-34476.8,0.000248995,7.13413e-007,-1.54779e+006
317,0.0332466,419.707,-16653.1,-32942.1,0.00025203,7.14924e-007,-1.50269e+006
318,0.0334986,415.556,-16288,-31467.8,0.000255129,7.1662e-007,-1.45869e+006
319,0.0337537,411.446,-15929.2,-30051.8,0.000258296,7.18506e-007,-1.41578e+006
320,0.034012,407.378,-15576.6,-28691.9,0.000261532,0.179063,-1.37392e+006
321,0.0342736,403.349,-15229.7,-24647.3,0.000264845,7.28822e-007,-1.33307e+006
322,0.0345384,399.361,-14888.3,-23454.9,0.000268239,7.31488e-007,-1.29319e+006
323,0.0348067,395.413,-14552.8,-22311.3,0.00027171,7.34376e-007,-1.25431e+006
324,0.0350784,391.504,-14223.1,-21214.8,0.00027526,7.3749e-007,-1.2164e+006
325,0.0353536,387.634,-13899.1,-20163.5,0.000278892,0.167338,-1.17943e+006
326,0.0356325,383.802,-13580.4,-16755,0.000282615,7.50563e-007,-1.14337e+006
327,0.0359151,380.008,-13266.9,-15842.8,0.000286434,7.54611e-007,-1.10818e+006
328,0.0362016,376.253,-12958.8,-14969.8,0.000290345,7.58929e-007,-1.07389e+006
329,0.0364919,372.534,-12656.1,-14134.4,0.000294352,7.63524e-007,-1.04046e+006
330,0.0367863,368.853,-12358.7,-13335.3,0.000298456,0.156951,-1.00788e+006
331,0.0370847,365.208,-12066.3,-10466.4,0.000302669,7.79997e-007,-976112
332,0.0373874,361.6,-11778.6,-9782.55,0.000306997,7.85738e-007,-945128
333,0.0376944,358.028,-11496,-9129.84,0.000311436,7.91817e-007,-914940
334,0.0380058,354.491,-11218.4,-8507.07,0.000315989,7.98244e-007,-885531
335,0.0383218,350.989,-10945.8,-7913.03,0.000320662,0.147808,-856884
336,0.0386425,347.523,-10677.7,-5501.46,0.000325465,8.18988e-007,-828962
337,0.0389679,344.09,-10414.1,-5002.67,0.000330409,8.26855e-007,-801743
338,0.0392983,340.693,-10155.2,-4528.45,0.000335487,8.35152e-007,-775236
339,0.0396338,337.328,-9900.88,-4077.79,0.000340705,8.43907e-007,-749427
340,0.0399745,333.998,-9651.18,-3649.71,0.00034607,0.139839,-724299
341,0.0403206,330.701,-9405.74,-1625.32,0.000351595,8.7014e-007,-699821
342,0.0406722,327.436,-9164.42,-1275.68,0.000357291,8.80748e-007,-675972
343,0.0410295,324.205,-8927.47,-945.174,0.000363154,8.91928e-007,-652760
344,0.0413926,321.005,-8694.84,-632.987,0.00036919,9.03711e-007,-630173
345,0.0417618,317.837,-8466.45,-338.323,0.000375408,0.0443897,-608195
346,0.0421372,314.701,-8242.2,1358.54,0.000381817,9.37101e-007,-586811
347,0.0425191,311.597,-8021.59,1588.84,0.000388447,9.51337e-007,-565976
348,0.0429075,308.523,-7805.04,1804.44,0.000395287,9.66353e-007,-545712
349,0.0433028,305.48,-7592.5,2006.03,0.000402344,9.82199e-007,-526006
350,0.0437051,302.467,-7383.91,2194.23,0.000409631,0.0424857,-506845
351,0.0441148,299.485,-7179.15,3614.3,0.000417159,1.02537e-006,-488214
352,0.0445319,296.532,-6977.77,3749.9,0.000424967,1.04456e-006,-470074
353,0.0449569,293.609,-6780.16,3874.44,0.000433042,1.06486e-006,-452444
354,0.0453899,290.715,-6586.26,3988.45,0.000441397,1.08633e-006,-435312
355,0.0458313,287.851,-6396.04,4092.46,0.000450045,0.0409497,-418668
356,0.0462814,285.014,-6209.38,5278.86,0.000459006,1.14315e-006,-402498
357,0.0467404,282.207,-6025.84,5340.08,0.000468328,1.16937e-006,-386764
358,0.0472087,279.427,-5845.8,5393.19,0.000477996,1.19718e-006,-371486
359,0.0476867,276.675,-5669.21,5438.61,0.000488031,1.22673e-006,-356654
360,0.0481747,273.951,-5496.04,5476.76,0.000498452,0.0397963,-342256
361,0.0486732,271.254,-5326.17,6466.13,0.000509285,1.30334e-006,-328282
362,0.0491825,268.584,-5159.18,6469.66,0.000520595,1.33988e-006,-314696
363,0.0497031,265.941,-4995.44,6467.47,0.000532368,1.37886e-006,-301517
364,0.0502354,263.325,-4834.91,6459.88,0.000544632,1.42049e-006,-288735
365,0.0507801,260.735,-4677.55,6447.21,0.000557418,0.0390583,-276342
366,0.0513375,258.171,-4523.26,7270.64,0.000570763,1.52705e-006,-264325
367,0.0519083,255.633,-4371.62,7230.16,0.000584755,1.57951e-006,-252655
368,0.052493,253.12,-4223,7185.85,0.000599385,1.63587e-006,-241346
369,0.0530924,250.633,-4077.36,7137.98,0.000614694,1.69653e-006,-230392
370,0.0537071,248.171,-3934.66,7086.79,0.00063073,0.369637,-219784
371,0.0543378,245.734,-3795.22,0,0.000647481,1.69417e-006,-209535
372,0.0549853,243.319,-3662.72,0,0.000664313,1.75167e-006,-199838
373,0.0556496,240.93,-3533.11,0,0.000681919,1.8132e-006,-190466
374,0.0563315,238.564,-3406.35,0,0.000700351,1.87914e-006,-181409
375,0.0570319,236.222,-3282.39,0,0.000719664,1.94988e-006,-172661
376,0.0577515,233.904,-3161.21,0,0.000739919,2.0259e-006,-164214
377,0.0584915,231.609,-3042.75,0,0.000761183,2.10769e-006,-156061
378,0.0592526,229.337,-2926.99,0,0.000783527,2.19584e-006,-148195
379,0.0600362,227.089,-2813.87,0,0.000807032,2.291e-006,-140609
380,0.0608432,224.863,-2703.38,0,0.000831783,2.39389e-006,-133296
381,0.061675,222.659,-2595.47,0,0.000857876,2.50536e-006,-126249
382,0.0625329,220.478,-2490.11,0,0.000885416,2.62633e-006,-119463
383,0.0634183,218.32,-2387.26,0,0.000914518,2.75789e-006,-112929
384,0.0643328,216.183,-2286.9,0,0.000945311,2.90125e-006,-106644
385,0.0652781,214.068,-2188.98,0,0.000977935,3.05781e-006,-100599
386,0.066256,211.974,-2093.47,0,0.00101255,3.2292e-006,-94790.1
387,0.0672686,209.902,-2000.35,0,0.00104932,3.41726e-006,-89210.4
388,0.0683179,207.851,-1909.59,0,0.00108846,3.62415e-006,-83854.5
389,0.0694064,205.821,-1821.15,0,0.00113017,3.85236e-006,-78716.8
390,0.0705365,203.812,-1735.01,0,0.00117471,4.10482e-006,-73791.8
391,0.0717113,201.824,-1651.13,0,0.00122234,4.38493e-006,-69074.2
392,0.0729336,199.856,-1569.5,0,0.00127338,4.69673e-006,-64558.7
393,0.074207,197.909,-1490.08,0,0.00132817,5.04497e-006,-60240.2
394,0.0755351,195.982,-1412.85,0,0.00138713,5.43529e-006,-56113.7
395,0.0769223,194.074,-1337.79,0,0.00145071,5.87445e-006,-52174.3
396,0.078373,192.187,-1264.87,0,0.00151943,6.37057e-006,-48417.2
397,0.0798924,190.32,-1194.06,0,0.00159388,6.93345e-006,-44837.7
398,0.0814863,188.472,-1125.36,0,0.00167478,7.57501e-006,-41431.1
399,0.0831611,186.644,-1058.73,0,0.00176291,8.30985e-006,-38193.1
400,0.084924,184.835,-994.152,0,0.00185923,9.15596e-006,-35119.1
401,0.0867832,183.046,-931.615,0,0.00196482,1.01357e-005,-32204.9
402,0.088748,181.276,-871.099,0,0.002081,1.12771e-005,-29446.3
403,0.090829,179.525,-812.587,0,0.0022093,1.26155e-005,-26839
404,0.0930383,177.793,-756.063,0,0.00235156,1.41962e-005,-24379.1
405,0.0953899,176.08,-701.515,0,0.00251,1.60772e-005,-22062.5
406,0.0978999,174.387,-648.929,0,0.0026873,1.83344e-005,-19885.5
407,0.100587,172.712,-598.296,0,0.00288673,2.10677e-005,-17844.1
408,0.103474,171.056,-549.605,0,0.00311235,2.44106e-005,-15934.6
409,0.106586,169.42,-502.852,0,0.00336919,2.85441e-005,-14153.4
410,0.109955,167.803,-458.029,0,0.00366358,3.37171e-005,-12496.8
411,0.113619,166.205,-415.136,0,0.00400363,4.0278e-005,-10961.3
412,0.117623,164.627,-374.171,0,0.00439978,4.87243e-005,-9543.35
413,0.122022,163.069,-335.139,0,0.00486571,5.97807e-005,-8239.6
414,0.126888,161.531,-298.044,0,0.00541969,7.45291e-005,-7046.62
415,0.132308,160.013,-262.898,0,0.00608652,9.46278e-005,-5961.05
416,0.138394,158.517,-229.715,0,0.00690061,0.000122697,-4979.56
417,0.145295,157.043,-198.514,0,0.00791092,0.000163024,-4098.86
418,0.153206,155.592,-169.324,0,0.00918905,0.00022291,-3315.61
419,0.162395,154.166,-142.176,0,0.0108433,0.000315381,-2626.49
420,0.173238,152.766,-117.115,0,0.0130441,0.00046501,-2028.1
421,0.186282,151.395,-94.1952,0,0.0160725,0.000721316,-1516.98
422,0.202355,150.057,-73.4858,0,0.0204198,0.00119249,-1089.46
423,0.222775,148.756,-55.0741,0,0.0270102,0.00213984,-741.657
424,0.249785,147.501,-39.0704,0,0.0377526,0.0042804,-469.249
425,0.287537,146.304,-25.6134,0,0.0571202,0.00993828,-267.235
426,0.344658,145.185,-14.873,0,0.097616,0.0285402,-129.459
427,0.442274,144.178,-7.03986,0,0.204803,0.112196,-47.7523
428,0.647076,143.35,-2.25178,0,0.636607,0.700942,-10.4398
429,1.28368,142.818,-0.305972,0,1.12837,0.0875306,-0.715065
430,2.41205,142.679,-0.047769,0,1.24121,0.00246148,-0.0594129
431,3.65326,142.647,-0.0137882,0,1.36533,0.000244585,-0.0113227
432,5.01858,142.635,-0.00532207,0,1.50186,4.51026e-005,-0.00318142
433,6.52044,142.629,-0.0024271,0,1.65204,1.19761e-005,-0.00111669
434,8.17249,142.627,-0.00123282,0,1.81725,4.04105e-006,-0.000452551
435,9.98973,142.625,-0.000675031,0,1.99897,1.61438e-006,-0.000202718
436,11.9887,142.624,-0.000390555,0,2.19887,7.30731e-007,-9.77308e-005
437,14.1876,142.623,-0.000235659,0,2.41876,3.63985e-007,-4.98307e-005
438,16.6063,142.623,-0.000146958,0,2.66063,1.95503e-007,-2.65486e-005
439,19.267,142.622,-9.40979e-005,0,2.9267,1.11575e-007,-1.46517e-005
440,22.1937,142.622,-6.15654e-005,0,3.21937,6.69189e-008,-8.32202e-006
441,25.413,142.622,-4.10069e-005,0,3.5413,4.18246e-008,-4.84085e-006
442,28.9543,142.622,-2.77261e-005,0,3.89543,2.70614e-008,-2.87274e-006
443,32.8498,142.622,-1.8986e-005,0,4.28498,1.80311e-008,-1.7339e-006
444,37.1347,142.622,-1.31429e-005,0,4.71347,1.23197e-008,-1.06177e-006
445,41.8482,142.622,-9.1834e-006,0,5.18482,8.60144e-009,-6.58336e-007
446,47.033,142.622,-6.46884e-006,0,5.7033,6.11907e-009,-4.12615e-007
447,52.7363,142.622,-4.58888e-006,0,6.27363,4.42476e-009,-2.61047e-007
448,59.01,142.622,-3.27538e-006,0,6.901,3.24565e-009,-1.66517e-007
449,65.911,142.622,-2.35053e-006,0,7.5911,2.4109e-009,-1.06987e-007
450,73.5021,142.622,-1.69489e-006,0,8.35021,1.81076e-009,-6.91772e-008
451,81.8523,142.622,-1.22729e-006,0,9.18523,1.37342e-009,-4.4982e-008
452,91.0375,142.622,-8.92032e-007,0,10.1038,1.0508e-009,-2.93955e-008
453,101.141,142.622,-6.50515e-007,0,11.1141,8.10189e-010,-1.92952e-008
454,112.255,142.622,-4.75797e-007,0,12.2255,6.29028e-010,-1.27156e-008
455,124.481,142.622,-3.48928e-007,0,13.4481,4.91386e-010,-8.40919e-009
456,137.929,142.622,-2.56494e-007,0,14.7929,3.85954e-010,-5.57883e-009
457,152.722,142.622,-1.88948e-007,0,16.2722,3.04663e-010,-3.7116e-009
458,168.994,142.622,-1.39454e-007,0,17.8994,2.41584e-010,-2.4756e-009
459,186.894,142.622,-1.03101e-007,0,19.6894,1.92298e-010,-1.65497e-009
460,206.583,142.622,-7.63422e-008,0,21.6583,1.53618e-010,-1.10864e-009
461,228.241,142.622,-5.66065e-008,0,23.8241,1.23126e-010,-7.44035e-010
462,252.065,142.622,-4.20252e-008,0,26.2065,9.89601e-011,-5.0017e-010
463,278.272,142.622,-3.1235e-008,0,28.8272,7.97558e-011,-3.36739e-010
464,307.099,142.622,-2.32388e-008,0,31.7099,6.44407e-011,-2.27016e-010
465,338.809,142.622,-1.73056e-008,0,34.8809,5.21473e-011,-1.53233e-010
466,373.69,142.622,-1.28978e-008,0,38.369,4.23253e-011,-1.03545e-010
467,412.059,142.622,-9.61998e-009,0,42.2059,3.43704e-011,-7.00384e-011
468,454.265,142.622,-7.18001e-009,0,46.4265,2.79646e-011,-4.74174e-011
469,500.691,142.622,-5.3622e-009,0,51.0691,2.27629e-011,-3.21288e-011
470,551.76,142.622,-4.00684e-009,0,56.176,1.8592e-011,-2.17858e-011
471,607.936,142.622,-2.99557e-009,0,61.7936,1.5194e-011,-1.47823e-011
472,669.73,142.622,-2.24055e-009,0,67.973,1.24255e-011,-1.00364e-011
473,737.703,142.622,-1.67653e-009,0,74.7703,1.01715e-011,-6.81789e-012
474,812.473,142.622,-1.25495e-009,0,82.2473,8.34616e-012,-4.63383e-012
475,894.72,142.622,-9.39709e-010,0,90.472,6.83506e-012,-3.15085e-012
476,985.193,142.622,-7.03871e-010,0,99.5193,5.6094e-012,-2.14335e-012
477,1084.71,142.622,-5.27368e-010,0,109.471,4.61202e-012,-1.45855e-012
478,1194.18,142.622,-3.95225e-010,0,120.418,3.78584e-012,-9.92876e-013
479,1314.6,142.622,-2.96262e-010,0,132.46,3.13068e-012,-6.76087e-013
480,1447.06,142.622,-2.22125e-010,0,145.706,2.53274e-012,-4.60502e-013
481,1592.77,142.622,-1.66572e-010,0,160.277,2.10561e-012,-3.1374e-013
482,1753.04,142.622,-1.24934e-010,0,176.304,1.73552e-012,-2.13801e-013
483,1929.35,142.622,-9.3719e-011,0,193.935,1.42243e-012,-1.45726e-013
484,2123.28,142.622,-7.03131e-011,0,213.328,1.19472e-012,-9.93458e-014
485,2336.61,142.622,-5.27595e-011,0,234.661,9.67091e-013,-6.77385e-014
486,2571.27,142.622,-3.95928e-011,0,258.127,7.96372e-013,-4.61944e-014
487,2829.4,142.622,-2.97152e-011,0,283.94,6.54122e-013,-3.15069e-014
488,3113.34,142.622,-2.2304e-011,0,312.334,5.40329e-013,-2.1492e-014
489,3425.67,142.622,-1.67427e-011,0,343.567,4.54985e-013,-1.46622e-014
490,3769.24,142.622,-1.2569e-011,0,377.924,3.6966e-013,-1.00039e-014
491,4147.17,142.622,-9.43646e-012,0,415.717,3.12772e-013,-6.8262e-015
492,4562.88,142.622,-7.0851e-012,0,457.288,2.27474e-013,-4.65831e-015
493,5020.17,142.622,-5.31997e-012,0,503.017,2.27449e-013,-3.17916e-015
494,5523.19,142.622,-3.9948e-012,0,553.319,1.70587e-013,-2.16984e-015
495,6076.51,142.622,-2.99988e-012,0,608.651,1.42151e-013,-1.48105e-015
496,6685.16,142.622,-2.25284e-012,0,669.516,1.4214e-013,-1.01098e-015
497,7354.67,142.622,-1.69191e-012,0,736.467,8.52889e-014,-6.90135e-016
498,8091.14,142.622,-1.27068e-012,0,810.114,8.5283e-014,-4.71139e-016
499,8901.25,142.622,-9.54363e-013,0,891.125,8.52786e-014,-3.2165e-016
500,9792.38,142.622,-7.16808e-013,0,980.238,5.68535e-014,-2.19602e-016
501,10772.6,142.622,-5.38399e-013,0,1078.26,2.84293e-014,-1.49936e-016
502,11850.9,142.622,-4.04406e-013,0,1186.09,5.68491e-014,-1.02374e-016
503,13037,142.622,-3.03766e-013,0,1304.7,2.8426e-014,-6.99011e-017
504,14341.7,142.622,-2.28177e-013,0,1435.17,5.68466e-014,-4.77302e-017
505,15776.8,142.622,-1.714e-013,0,1578.68,2.40502e-018,-3.25921e-017
506,17355.5,142.622,-1.28753e-013,0,1736.55,2.84235e-014,-2.22557e-017
507,19092.1,142.622,-9.67192e-014,0,1910.21,2.84231e-014,-1.51978e-017
508,21002.3,142.622,-7.26562e-014,0,2101.23,2.84227e-014,-1.03783e-017
509,23103.5,142.622,-5.45807e-014,0,2311.35,7.65129e-019,-7.08733e-018
510,25414.8,142.622,-4.10025e-014,0,2542.48,2.84223e-014,-4.83998e-018
511,27957.3,142.622,-3.08025e-014,0,2796.73,4.31646e-019,-3.3053e-018
512,30754.1,142.622,-2.31401e-014,0,3076.41,3.24221e-019,-2.25728e-018
513,33830.5,142.622,-1.7384e-014,0,3384.05,2.43537e-019,-1.54157e-018
514,37214.5,142.622,-1.30598e-014,0,3722.45,1.82935e-019,-1.0528e-018
515,40937,142.622,-9.81133e-015,0,4094.7,1.37416e-019,-7.19008e-019
516,45031.7,142.622,-7.37092e-015,0,4504.17,1.03225e-019,-4.91049e-019
517,49535.8,142.622,-5.53755e-015,0,4954.58,7.75426e-020,-3.35366e-019
518,54490.4,142.622,-4.16022e-015,0,5450.04,5.82507e-020,-2.29043e-019
519,59940.5,142.622,-3.12548e-015,0,5995.05,4.3759e-020,-1.56429e-019
520,65935.5,142.622,-2.34812e-015,0,6594.55,3.2873e-020,-1.06837e-019
521,72530.1,142.622,-1.7641e-015,0,7254.01,2.84217e-014,-7.29671e-020
522,79784.1,142.622,-1.32535e-015,0,7979.41,1.85522e-020,-4.98351e-020
523,87763.5,142.622,-9.95721e-016,0,8777.35,1.39373e-020,-3.40365e-020
524,96540.8,142.622,-7.48077e-016,0,9655.08,2.84217e-014,-2.32465e-020
525,106196,142.622,-5.62026e-016,0,10620.6,2.84217e-014,-1.58771e-020
526,116816,142.622,-4.22248e-016,0,11682.6,5.90952e-021,-1.08439e-020
527,128499,142.622,-3.17234e-016,0,12850.9,2.84217e-014,-7.4063e-021
528,141350,142.622,-2.38338e-016,0,14136,3.3354e-021,-5.05846e-021
529,155486,142.622,-1.79064e-016,0,15549.6,2.50581e-021,-3.45491e-021
530,171036,142.622,-1.34531e-016,0,17104.6,2.84217e-014,-2.3597e-021
531,188140,142.622,-1.01074e-016,0,18815,1.41435e-021,-1.61167e-021
532,206955,142.622,-7.59371e-017,0,20696.5,1.06258e-021,-1.10078e-021
533,227652,142.622,-5.7052e-017,0,22766.2,2.84217e-014,-7.51832e-022
534,250418,142.622,-4.28635e-017,0,25042.8,5.99762e-022,-5.13504e-022
535,275461,142.622,-3.22037e-017,0,27547.1,2.84217e-014,-3.50725e-022
536,303008,142.622,-2.41949e-017,0,30301.8,3.38533e-022,-2.39547e-022
537,333310,142.622,-1.81778e-017,0,33332,2.84217e-014,-1.63612e-022
538,366642,142.622,-1.36572e-017,0,36665.2,1.91085e-022,-1.11748e-022
539,403307,142.622,-1.02608e-017,0,40331.7,1.43562e-022,-7.63249e-023
540,443638,142.622,-7.70903e-018,0,44364.8,2.84217e-014,-5.21305e-023
541,488003,142.622,-5.79188e-018,0,48801.3,8.10346e-023,-3.56056e-023
542,536805,142.622,-4.3515e-018,0,53681.5,6.08817e-023,-2.43189e-023
543,590486,142.622,-3.26934e-018,0,59049.6,4.57408e-023,-1.66101e-023
544,649536,142.622,-2.45629e-018,0,64954.6,3.43654e-023,-1.13448e-023
545,714490,142.622,-1.84544e-018,0,71450,2.58189e-023,-7.74864e-024
546,785940,142.622,-1.38651e-018,0,78595,2.84217e-014,-5.29241e-024
547,864535,142.622,-1.0417e-018,0,86454.5,2.84217e-014,-3.61477e-024
548,950990,142.622,-7.82643e-019,0,95100,1.09495e-023,-2.46893e-024
549,1.04609e+006,142.622,-5.8801e-019,0,104610,8.22647e-024,-1.68631e-024
550,1.1507e+006,142.622,-4.4178e-019,0,115071,6.18063e-024,-1.15177e-024
551,1.26577e+006,142.622,-3.31915e-019,0,126578,2.84217e-014,-7.86672e-025
552,1.39235e+006,142.622,-2.49373e-019,0,139236,3.48877e-024,-5.37306e-025
553,1.53158e+006,142.622,-1.87357e-019,0,153159,2.84217e-014,-3.66987e-025
554,1.68474e+006,142.622,-1.40764e-019,0,168475,2.84217e-014,-2.50657e-025
555,1.85322e+006,142.622,-1.05758e-019,0,185323,2.84217e-014,-1.71202e-025
556,2.03854e+006,142.622,-7.94576e-020,0,203855,1.11162e-024,-1.16933e-025
557,2.2424e+006,142.622,-5.96977e-020,0,224241,8.35172e-025,-7.98667e-026
558,2.46664e+006,142.622,-4.48517e-020,0,246665,6.27475e-025,-5.455e-026
559,2.7133e+006,142.622,-3.36978e-020,0,271331,4.71431e-025,-3.72584e-026
560,2.98463e+006,142.622,-2.53176e-020,0,298464,3.54192e-025,-2.5448e-026
561,3.2831e+006,142.622,-1.90215e-020,0,328311,2.6611e-025,-1.73813e-026
562,3.61141e+006,142.622,-1.42912e-020,0,361142,1.99932e-025,-1.18717e-026
563,3.97255e+006,142.622,-1.07372e-020,0,397256,1.50212e-025,-8.10851e-027
564,4.36981e+006,142.622,-8.06699e-021,0,436982,1.12856e-025,-5.53822e-027
565,4.80679e+006,142.622,-6.06085e-021,0,480680,8.47905e-026,-3.78268e-027
566,5.28747e+006,142.622,-4.55361e-021,0,528748,6.37043e-026,-2.58362e-027
567,5.81622e+006,142.622,-3.4212e-021,0,581623,4.7862e-026,-1.76465e-027
568,6.39784e+006,142.622,-2.5704e-021,0,639785,3.59594e-026,-1.20528e-027
569,7.03763e+006,142.622,-1.93118e-021,0,703764,2.70168e-026,-8.23223e-028
570,7.74139e+006,142.622,-1.45092e-021,0,774140,2.02982e-026,-5.62273e-028
571,8.51553e+006,142.622,-1.0901e-021,0,851554,1.52503e-026,-3.8404e-028
572,9.36708e+006,142.622,-8.1901e-022,0,936709,1.14578e-026,-2.62305e-028
573,1.03038e+007,142.622,-6.15335e-022,0,1.03038e+006,8.60841e-027,-1.79158e-028
574,1.13342e+007,142.622,-4.62311e-022,0,1.13342e+006,6.46763e-027,-1.22367e-028
575,1.24676e+007,142.622,-3.47341e-022,0,1.24676e+006,4.85923e-027,-8.35786e-029
576,1.37144e+007,142.622,-2.60963e-022,0,1.37144e+006,3.65081e-027,-5.70853e-029
577,1.50858e+007,142.622,-1.96065e-022,0,1.50858e+006,2.74291e-027,-3.89901e-029
578,1.65944e+007,142.622,-1.47307e-022,0,1.65944e+006,2.06079e-027,-2.66308e-029
579,1.82538e+007,142.622,-1.10674e-022,0,1.82538e+006,1.5483e-027,-1.81892e-029
580,2.00792e+007,142.622,-8.31511e-023,0,2.00792e+006,1.16326e-027,-1.24235e-029
581,2.20871e+007,142.622,-6.24727e-023,0,2.20871e+006,8.73978e-028,-8.48541e-030
582,2.42958e+007,142.622,-4.69367e-023,0,2.42958e+006,6.56633e-028,-5.79565e-030
583,2.67254e+007,142.622,-3.52643e-023,0,2.67254e+006,4.93339e-028,-3.95851e-030
584,2.93979e+007,142.622,-2.64946e-023,0,2.9398e+006,3.70653e-028,-2.70372e-030
585,3.23377e+007,142.622,-1.99058e-023,0,3.23377e+006,2.78477e-028,-1.84668e-030
586,3.55715e+007,142.622,-1.49555e-023,0,3.55715e+006,2.09224e-028,-1.26131e-030
587,3.91287e+007,142.622,-1.12363e-023,0,3.91287e+006,1.57193e-028,-8.61491e-031
588,4.30415e+007,142.622,-8.44203e-024,0,4.30415e+006,1.18102e-028,-5.88411e-031
589,4.73457e+007,142.622,-6.34263e-024,0,4.73457e+006,8.87318e-029,-4.01893e-031
590,5.20803e+007,142.622,-4.76532e-024,0,5.20803e+006,6.66655e-029,-2.74499e-031
591,5.72883e+007,142.622,-3.58026e-024,0,5.72883e+006,5.00869e-029,-1.87486e-031
592,6.30171e+007,142.622,-2.6899e-024,0,6.30171e+006,3.7631e-029,-1.28056e-031
593,6.93188e+007,142.622,-2.02097e-024,0,6.93188e+006,2.82728e-029,-8.7464e-032
594,7.62507e+007,142.622,-1.51838e-024,0,7.62507e+006,2.12418e-029,-5.97391e-032
595,8.38758e+007,142.622,-1.14079e-024,0,8.38758e+006,1.59593e-029,-4.08027e-032
596,9.22634e+007,142.622,-8.5709e-025,0,9.22634e+006,1.19905e-029,-2.78688e-032
597,1.0149e+008,142.622,-6.43945e-025,0,1.0149e+007,9.00862e-030,-1.90348e-032
598,1.11639e+008,142.622,-4.83806e-025,0,1.11639e+007,6.76831e-030,-1.3001e-032
599,1.22803e+008,142.622,-3.63491e-025,0,1.22803e+007,5.08514e-030,-8.87989e-033
600,1.35083e+008,142.622,-2.73096e-025,0,1.35083e+007,3.82054e-030,-6.06509e-033
601,1.48591e+008,142.622,-2.05182e-025,0,1.48591e+007,2.87043e-030,-4.14254e-033
602,1.6345e+008,142.622,-1.54156e-025,0,1.6345e+007,2.1566e-030,-2.82942e-033
603,1.79795e+008,142.622,-1.1582e-025,0,1.79795e+007,1.62029e-030,-1.93253e-033
