step,r,phi,dphi,dV,dr,truncation_error,friction
62,0.00555003,5336.7,-895881,-3.42098e+008,5.95693e-005,9.49631e-008,-4.84257e+008
63,0.0056096,5283.58,-887411,-3.32365e+008,5.95393e-005,1.99158e-007,-4.74585e+008
64,0.00566914,5231,-878943,-3.22909e+008,5.95147e-005,12.9271,-4.6512e+008
65,0.00572866,5178.94,-870468,-3.11116e+008,5.9496e-005,6.35116e-007,-4.55849e+008
66,0.00578815,5127.41,-861865,-3.02252e+008,5.9492e-005,6.69353e-007,-4.46705e+008
67,0.00584765,5076.39,-853281,-2.93641e+008,5.94926e-005,6.92302e-007,-4.37756e+008
68,0.00590714,5025.88,-844719,-2.85276e+008,5.94977e-005,7.05123e-007,-4.28999e+008
69,0.00596664,4975.88,-836181,-2.77148e+008,5.95072e-005,11.2841,-4.20428e+008
70,0.00602614,4926.37,-827658,-2.66977e+008,5.95218e-005,8.27603e-007,-4.12034e+008
71,0.00608566,4877.36,-819043,-2.5936e+008,5.95495e-005,7.99559e-007,-4.03757e+008
72,0.00614521,4828.85,-810465,-2.5196e+008,5.95812e-005,7.66716e-007,-3.95657e+008
73,0.0062048,4780.81,-801925,-2.44772e+008,5.96167e-005,7.29881e-007,-3.87728e+008
74,0.00626441,4733.26,-793426,-2.37789e+008,5.9656e-005,9.87659,-3.79968e+008
75,0.00632407,4686.18,-784958,-2.29018e+008,5.96997e-005,6.82558e-007,-3.72367e+008
76,0.00638377,4639.57,-776428,-2.22474e+008,5.97553e-005,6.27595e-007,-3.64876e+008
77,0.00644352,4593.43,-767948,-2.16118e+008,5.98143e-005,5.71303e-007,-3.57544e+008
78,0.00650334,4547.75,-759519,-2.09943e+008,5.98767e-005,5.14144e-007,-3.50367e+008
79,0.00656321,4502.52,-751141,-2.03944e+008,5.99424e-005,8.66512,-3.43341e+008
80,0.00662316,4457.74,-742808,-1.96383e+008,6.00121e-005,3.81427e-007,-3.36459e+008
81,0.00668317,4413.42,-734436,-1.90763e+008,6.00926e-005,3.18651e-007,-3.2968e+008
