r,phi,dphi,V,dV
3.607465e-002,3.698412e+001,-5.068194e+003,3.502782e+003,3.579613e+002
3.679126e-002,3.345774e+001,-4.777552e+003,2.528575e+003,2.859680e+002
3.747787e-002,3.026705e+001,-4.519579e+003,1.822226e+003,2.280457e+002
3.813344e-002,2.738017e+001,-4.290338e+003,1.311193e+003,1.815633e+002
3.875723e-002,2.476821e+001,-4.086400e+003,9.421815e+002,1.443465e+002
3.934880e-002,2.240507e+001,-3.904776e+003,6.761865e+002,1.146095e+002
3.990804e-002,2.026707e+001,-3.742854e+003,4.847491e+002,9.089246e+001
4.043509e-002,1.833282e+001,-3.598354e+003,3.471654e+002,7.200809e+001
4.093035e-002,1.658293e+001,-3.469276e+003,2.484113e+002,5.699401e+001
4.139444e-002,1.499986e+001,-3.353870e+003,1.776090e+002,4.507301e+001
4.182816e-002,1.356775e+001,-3.250599e+003,1.268989e+002,3.561930e+001
4.223250e-002,1.227221e+001,-3.158112e+003,9.061261e+001,2.813034e+001
4.260856e-002,1.110026e+001,-3.075220e+003,6.466861e+001,2.220356e+001
4.295754e-002,1.004012e+001,-3.000873e+003,4.613255e+001,1.751717e+001
4.328072e-002,9.081132e+000,-2.934145e+003,3.289759e+001,1.381443e+001
4.357943e-002,8.213669e+000,-2.874219e+003,2.345286e+001,1.089086e+001
4.385502e-002,7.429004e+000,-2.820370e+003,1.671608e+001,8.583892e+000
4.410886e-002,6.719245e+000,-2.771955e+003,1.191273e+001,6.764411e+000
4.434231e-002,6.077251e+000,-2.728404e+003,8.489011e+000,5.330038e+000
4.455669e-002,5.496558e+000,-2.689210e+003,6.049271e+000,4.199679e+000
4.475329e-002,4.971320e+000,-2.653923e+003,4.368256e+000,3.349869e+000
4.493338e-002,4.496246e+000,-2.622140e+003,3.113787e+000,2.640014e+000
4.509816e-002,4.066550e+000,-2.593503e+003,2.220102e+000,2.080995e+000
4.524876e-002,3.677901e+000,-2.567692e+003,1.583410e+000,1.640796e+000
4.538629e-002,3.326380e+000,-2.544421e+003,1.129757e+000,1.294166e+000
4.551176e-002,3.008445e+000,-2.523435e+003,8.064599e-001,1.021203e+000
4.562614e-002,2.720887e+000,-2.504504e+003,5.760030e-001,8.062268e-001
4.573035e-002,2.460806e+000,-2.487422e+003,4.116711e-001,6.368881e-001
4.582521e-002,2.225579e+000,-2.472007e+003,2.944434e-001,5.034662e-001
4.591151e-002,2.012831e+000,-2.458092e+003,2.107774e-001,3.983103e-001
4.598999e-002,1.820416e+000,-2.445530e+003,1.510308e-001,3.154009e-001
4.606132e-002,1.646390e+000,-2.434187e+003,1.083375e-001,2.500023e-001
4.612611e-002,1.488997e+000,-2.423943e+003,7.780744e-002,1.983894e-001
4.618495e-002,1.346648e+000,-2.414690e+003,5.595706e-002,1.576322e-001
4.623836e-002,1.217906e+000,-2.406333e+003,4.030408e-002,1.254259e-001
4.628682e-002,1.101470e+000,-2.398782e+003,2.907903e-002,9.995770e-002
4.633079e-002,9.961639e-001,-2.391960e+003,2.064072e-002,7.849618e-002
4.637065e-002,9.009245e-001,-2.385796e+003,1.380878e-002,5.806592e-002
4.640680e-002,8.147896e-001,-2.380225e+003,9.238118e-003,4.295291e-002
4.643956e-002,7.368890e-001,-2.375191e+003,6.180305e-003,3.177330e-002
4.646925e-002,6.664356e-001,-2.370641e+003,4.134609e-003,2.350340e-002
4.649616e-002,6.027177e-001,-2.366529e+003,2.766034e-003,1.738593e-002
4.652052e-002,5.450914e-001,-2.362812e+003,1.850457e-003,1.286069e-002
4.654260e-002,4.929745e-001,-2.359452e+003,1.237939e-003,9.513261e-003
4.656259e-002,4.458402e-001,-2.356414e+003,8.281680e-004,7.037100e-003
4.658069e-002,4.032122e-001,-2.353668e+003,5.540340e-004,5.205438e-003
4.659708e-002,3.646598e-001,-2.351186e+003,3.706410e-004,3.850526e-003
4.661191e-002,3.297934e-001,-2.348941e+003,2.479532e-004,2.848276e-003
4.662534e-002,2.982606e-001,-2.346912e+003,1.658766e-004,2.106899e-003
4.663750e-002,2.697426e-001,-2.345077e+003,1.109685e-004,1.558492e-003
4.664850e-002,2.439512e-001,-2.343419e+003,7.423585e-005,1.152830e-003
4.665846e-002,2.206258e-001,-2.341919e+003,4.966233e-005,8.527568e-004
4.666747e-002,1.995306e-001,-2.340562e+003,3.322308e-005,6.307901e-004
4.667562e-002,1.804524e-001,-2.339336e+003,2.222554e-005,4.665994e-004
4.668300e-002,1.631983e-001,-2.338227e+003,1.486840e-005,3.451462e-004
4.668967e-002,1.475939e-001,-2.337224e+003,9.946626e-006,2.553064e-004
4.669571e-002,1.334816e-001,-2.336318e+003,6.654064e-006,1.888514e-004
4.670118e-002,1.207186e-001,-2.335498e+003,4.451413e-006,1.396942e-004
4.670612e-002,1.091759e-001,-2.334756e+003,2.977888e-006,1.033323e-004
4.671059e-002,9.873685e-002,-2.334086e+003,1.992135e-006,7.643530e-005
4.671464e-002,8.929595e-002,-2.333480e+003,1.332689e-006,5.653944e-005
4.671830e-002,8.075775e-002,-2.332931e+003,8.915355e-007,4.182239e-005
4.672161e-002,7.303594e-002,-2.332435e+003,5.964146e-007,3.093614e-005
4.672460e-002,6.605246e-002,-2.331987e+003,3.989861e-007,2.288354e-005
4.672731e-002,5.973672e-002,-2.331582e+003,2.669114e-007,1.692701e-005
4.672976e-002,5.402486e-002,-2.331215e+003,1.785567e-007,1.252094e-005
4.673198e-002,4.885915e-002,-2.330883e+003,1.194498e-007,9.261767e-006
4.673398e-002,4.418737e-002,-2.330583e+003,7.990872e-008,6.850946e-006
4.673579e-002,3.996229e-002,-2.330312e+003,5.345680e-008,5.067656e-006
4.673743e-002,3.614119e-002,-2.330067e+003,3.576117e-008,3.748553e-006
4.673892e-002,3.268546e-002,-2.329845e+003,2.392326e-008,2.772810e-006
4.674026e-002,2.956016e-002,-2.329644e+003,1.600401e-008,2.051051e-006
4.674147e-002,2.673369e-002,-2.329463e+003,1.070625e-008,1.517165e-006
4.674257e-002,2.417748e-002,-2.329299e+003,7.162188e-009,1.122249e-006
4.674356e-002,2.186569e-002,-2.329151e+003,4.791308e-009,8.301287e-007
4.674446e-002,1.977494e-002,-2.329016e+003,3.205253e-009,6.140471e-007
4.674527e-002,1.788411e-002,-2.328895e+003,2.144226e-009,4.542112e-007
4.674600e-002,1.617407e-002,-2.328785e+003,1.434428e-009,3.359804e-007
4.674667e-002,1.462754e-002,-2.328686e+003,9.595927e-010,2.485250e-007
4.674727e-002,1.322889e-002,-2.328596e+003,6.419409e-010,1.838342e-007
4.674781e-002,1.196397e-002,-2.328515e+003,4.294407e-010,1.359823e-007
4.674830e-002,1.082000e-002,-2.328442e+003,2.872839e-010,1.005862e-007
4.674875e-002,9.785418e-003,-2.328375e+003,1.921849e-010,7.440367e-008
4.674915e-002,8.849758e-003,-2.328315e+003,1.285663e-010,5.503644e-008
4.674951e-002,8.003563e-003,-2.328261e+003,8.600729e-011,4.071049e-008
4.674984e-002,7.238280e-003,-2.328212e+003,5.753647e-011,3.011357e-008
4.675014e-002,6.546171e-003,-2.328167e+003,3.849029e-011,2.227503e-008
4.675041e-002,5.920241e-003,-2.328127e+003,2.574892e-011,1.647685e-008
4.675065e-002,5.354160e-003,-2.328091e+003,1.722531e-011,1.218794e-008
4.675087e-002,4.842207e-003,-2.328058e+003,1.152325e-011,9.015423e-009
4.675107e-002,4.379205e-003,-2.328028e+003,7.708730e-012,6.668713e-009
4.675125e-002,3.960475e-003,-2.328002e+003,5.156924e-012,4.932850e-009
4.675141e-002,3.581783e-003,-2.327977e+003,3.449837e-012,3.648832e-009
4.675156e-002,3.239300e-003,-2.327955e+003,2.307844e-012,2.699043e-009
4.675169e-002,2.929565e-003,-2.327935e+003,1.543883e-012,1.996483e-009
4.675181e-002,2.649446e-003,-2.327917e+003,1.032814e-012,1.476799e-009
4.675192e-002,2.396112e-003,-2.327901e+003,6.909236e-013,1.092389e-009
4.675202e-002,2.167001e-003,-2.327886e+003,4.622084e-013,8.080408e-010
4.675211e-002,1.959797e-003,-2.327873e+003,3.092044e-013,5.977081e-010
4.675219e-002,1.772405e-003,-2.327861e+003,2.068490e-013,4.421250e-010
4.675226e-002,1.602931e-003,-2.327850e+003,1.383762e-013,3.270400e-010
4.675233e-002,1.449662e-003,-2.327840e+003,9.256976e-014,2.419116e-010
4.675239e-002,1.311049e-003,-2.327831e+003,6.192656e-014,1.789421e-010
4.675244e-002,1.185689e-003,-2.327823e+003,4.142712e-014,1.323636e-010
4.675249e-002,1.072316e-003,-2.327816e+003,2.771358e-014,9.790939e-011
4.675253e-002,9.697832e-004,-2.327810e+003,1.853960e-014,7.242362e-011
4.675257e-002,8.770546e-004,-2.327804e+003,1.240247e-014,5.357178e-011
4.675261e-002,7.931925e-004,-2.327798e+003,8.296903e-015,3.962707e-011
4.675264e-002,7.173491e-004,-2.327793e+003,5.550394e-015,2.931216e-011
4.675267e-002,6.487576e-004,-2.327789e+003,3.713057e-015,2.168221e-011
4.675270e-002,5.867248e-004,-2.327785e+003,2.483930e-015,1.603834e-011
4.675272e-002,5.306234e-004,-2.327781e+003,1.661679e-015,1.186357e-011
4.675275e-002,4.798863e-004,-2.327778e+003,1.111617e-015,8.775486e-012
4.675276e-002,4.340005e-004,-2.327775e+003,7.436401e-016,6.491230e-012
4.675278e-002,3.925023e-004,-2.327773e+003,4.974742e-016,4.801565e-012
4.675280e-002,3.549721e-004,-2.327770e+003,3.327962e-016,3.551720e-012
4.675281e-002,3.210304e-004,-2.327768e+003,2.226313e-016,2.627209e-012
4.675283e-002,2.903341e-004,-2.327766e+003,1.489340e-016,1.943347e-012
4.675284e-002,2.625730e-004,-2.327764e+003,9.963267e-017,1.437495e-012
4.675285e-002,2.374663e-004,-2.327763e+003,6.665144e-017,1.063315e-012
4.675286e-002,2.147603e-004,-2.327761e+003,4.458793e-017,7.865348e-013
4.675287e-002,1.942253e-004,-2.327760e+003,2.982807e-017,5.818001e-013
4.675288e-002,1.756539e-004,-2.327759e+003,1.995414e-017,4.303577e-013
4.675288e-002,1.588582e-004,-2.327758e+003,1.334875e-017,3.183358e-013
4.675289e-002,1.436685e-004,-2.327757e+003,8.929939e-018,2.354731e-013
4.675290e-002,1.299313e-004,-2.327756e+003,5.973877e-018,1.741795e-013
4.675290e-002,1.175075e-004,-2.327755e+003,3.996355e-018,1.288407e-013
4.675291e-002,1.062717e-004,-2.327754e+003,2.673449e-018,9.530349e-014
4.675291e-002,9.611020e-005,-2.327754e+003,1.788462e-018,7.049603e-014
4.675291e-002,8.692034e-005,-2.327753e+003,1.196430e-018,5.214594e-014
4.675292e-002,7.860920e-005,-2.327752e+003,8.003781e-019,3.857237e-014
4.675292e-002,7.109275e-005,-2.327752e+003,5.354304e-019,2.853200e-014
4.675292e-002,6.429501e-005,-2.327751e+003,3.581878e-019,2.110513e-014
4.675293e-002,5.814726e-005,-2.327751e+003,2.396175e-019,1.561147e-014
4.675293e-002,5.258734e-005,-2.327751e+003,1.602974e-019,1.154781e-014
4.675293e-002,4.755904e-005,-2.327750e+003,1.072344e-019,8.541920e-015
4.675293e-002,4.301155e-005,-2.327750e+003,7.173679e-020,6.318462e-015
4.675293e-002,3.889887e-005,-2.327750e+003,4.798989e-020,4.673768e-015
4.675294e-002,3.517944e-005,-2.327750e+003,3.210388e-020,3.457188e-015
4.675294e-002,3.181566e-005,-2.327749e+003,2.147659e-020,2.557283e-015
4.675294e-002,2.877351e-005,-2.327749e+003,1.436723e-020,1.891624e-015
4.675294e-002,2.602225e-005,-2.327749e+003,9.611272e-021,1.399235e-015
4.675294e-002,2.353405e-005,-2.327749e+003,6.429669e-021,1.035014e-015
4.675294e-002,2.128378e-005,-2.327749e+003,4.301267e-021,7.656005e-016
4.675294e-002,1.924867e-005,-2.327749e+003,2.877426e-021,5.663150e-016
4.675294e-002,1.740815e-005,-2.327748e+003,1.924917e-021,4.189034e-016
4.675294e-002,1.574362e-005,-2.327748e+003,1.287715e-021,3.098630e-016
4.675295e-002,1.423825e-005,-2.327748e+003,8.614450e-022,2.292058e-016
