phi,V_solver,dV_solver,d2V_solver,V_full,dV_full,d2V_full
1.160379372614e+002,1.165493082514e+005,2.783664108608e+003,3.406093489753e+001,3.239429022719e+004,1.333189892841e+003,2.156093489753e+001
1.164930456990e+002,1.178197856706e+005,2.799510856181e+003,3.396691960376e+001,3.300335006911e+004,1.343347784942e+003,2.146691960376e+001
1.169499391020e+002,1.191024905911e+005,2.815378278253e+003,3.387007059876e+001,3.361943899136e+004,1.353504039478e+003,2.137007059876e+001
1.174086244710e+002,1.203975085436e+005,2.831264998330e+003,3.377035372590e+001,3.424260166759e+004,1.363657192443e+003,2.127035372590e+001
1.178691088342e+002,1.217049249363e+005,2.847169607996e+003,3.366773449221e+001,3.487288232779e+004,1.373805747569e+003,2.116773449221e+001
1.183313992474e+002,1.230248250328e+005,2.863090666384e+003,3.356217807121e+001,3.551032473368e+004,1.383948175791e+003,2.106217807121e+001
1.187955027942e+002,1.243572958060e+005,2.879026758784e+003,3.345427843866e+001,3.615497403030e+004,1.394082973857e+003,2.095427843866e+001
1.192614265856e+002,1.257024213020e+005,2.894976350146e+003,3.334274729050e+001,3.680687210682e+004,1.404208517826e+003,2.084274729050e+001
1.197291777608e+002,1.270602852746e+005,2.910937869348e+003,3.322817246528e+001,3.746606022912e+004,1.414323147338e+003,2.072817246528e+001
1.201987634870e+002,1.284309721776e+005,2.926909740333e+003,3.311051776674e+001,3.813258002884e+004,1.424425196746e+003,2.061051776674e+001
1.206701909593e+002,1.298145662002e+005,2.942890351844e+003,3.298974663999e+001,3.880647253666e+004,1.434512964852e+003,2.048974663999e+001
1.211434674013e+002,1.312111512412e+005,2.958878056850e+003,3.286582217095e+001,3.948777815364e+004,1.444584714334e+003,2.036582217095e+001
1.216186000646e+002,1.326208134105e+005,2.974871249794e+003,3.273935755282e+001,4.017653914996e+004,1.454638748986e+003,2.023935755282e+001
1.220955962296e+002,1.340436340395e+005,2.990868150994e+003,3.260901993757e+001,4.087279267289e+004,1.464673198123e+003,2.010901993757e+001
1.225744632050e+002,1.354796954576e+005,3.006866985996e+003,3.247541614741e+001,4.157657652015e+004,1.474686195933e+003,1.997541614741e+001
1.230552083282e+002,1.369290801295e+005,3.022865958795e+003,3.233850782387e+001,4.228792827514e+004,1.484675854693e+003,1.983850782387e+001
1.235378389655e+002,1.383918700889e+005,3.038863234617e+003,3.219825623884e+001,4.300688473734e+004,1.494640247549e+003,1.969825623884e+001
1.240223625119e+002,1.398681469080e+005,3.054856939289e+003,7.629994370120e+001,4.373348188907e+004,1.504577407891e+003,6.379994370120e+001
1.245087863916e+002,1.413579949438e+005,3.070845257202e+003,3.190823901632e+001,4.446775813935e+004,1.514485427307e+003,1.940823901632e+001
1.249971180578e+002,1.428614916244e+005,3.086826138675e+003,3.175772741765e+001,4.520974460713e+004,1.524362162952e+003,1.925772741765e+001
1.254873649930e+002,1.443787168888e+005,3.102797585745e+003,3.160371392570e+001,4.595947455820e+004,1.534205523332e+003,1.910371392570e+001
1.259795347090e+002,1.459097501436e+005,3.118757560252e+003,3.144615790767e+001,4.671698035919e+004,1.544013376389e+003,1.894615790767e+001
1.264736347471e+002,1.474546701692e+005,3.134703981375e+003,3.128501834600e+001,4.748229338079e+004,1.553783547036e+003,1.878501834600e+001
1.269696726781e+002,1.490135555893e+005,3.150634739855e+003,3.112094312976e+001,4.825544446440e+004,1.563513831378e+003,1.862094312976e+001
1.274676561025e+002,1.505864864473e+005,3.166547744403e+003,3.095251789868e+001,4.903646549562e+004,1.573202043122e+003,1.845251789868e+001
1.279675926508e+002,1.521735364006e+005,3.182440692408e+003,3.078038373510e+001,4.982538159535e+004,1.582845784274e+003,1.828038373510e+001
1.284694899831e+002,1.537747813620e+005,3.198311325533e+003,3.060449802759e+001,5.062221975875e+004,1.592442700744e+003,1.810449802759e+001
1.289733557899e+002,1.553902964315e+005,3.214157339276e+003,3.042481775145e+001,5.142700578338e+004,1.601990391903e+003,1.792481775145e+001
1.294791977915e+002,1.570201558555e+005,3.229976382244e+003,3.024129947279e+001,5.223976422589e+004,1.611486409849e+003,1.774129947279e+001
1.299870237389e+002,1.586644341534e+005,3.245766089055e+003,3.005461208402e+001,5.306051952531e+004,1.620928292319e+003,1.755461208402e+001
1.304968414130e+002,1.603232053606e+005,3.261524058430e+003,2.986329210574e+001,5.388929524324e+004,1.630313540768e+003,1.736329210574e+001
