r,phi,dphi,V,dV
2.086741e-006,4.792162e+002,-3.756738e-002,-7.575880e+006,-7.201158e+004
9.840851e-006,4.792162e+002,-1.771638e-001,-7.575880e+006,-7.201158e+004
2.552463e-005,4.792162e+002,-4.595173e-001,-7.575880e+006,-7.201158e+004
6.620433e-005,4.792162e+002,-1.191869e+000,-7.575877e+006,-7.201156e+004
1.717170e-004,4.792159e+002,-3.091398e+000,-7.575859e+006,-7.201142e+004
4.453896e-004,4.792144e+002,-8.018224e+000,-7.575736e+006,-7.201052e+004
1.155226e-003,4.792042e+002,-2.079604e+001,-7.574914e+006,-7.200445e+004
2.996359e-003,4.791354e+002,-5.391916e+001,-7.569386e+006,-7.196360e+004
7.771782e-003,4.786733e+002,-1.394972e+002,-7.532326e+006,-7.168963e+004
2.015800e-002,4.755949e+002,-3.557138e+002,-7.288932e+006,-6.988271e+004
5.228467e-002,4.566959e+002,-7.830213e+002,-5.444937e+006,-5.562682e+004
9.899980e-002,4.129301e+002,-1.001709e+003,-2.495274e+006,-3.055811e+004
1.399065e-001,3.736771e+002,-8.826268e+002,-8.644925e+005,-1.438812e+004
1.863102e-001,3.385330e+002,-6.215971e+002,-9.198496e+003,-4.237027e+003
2.607090e-001,3.076715e+002,-2.220093e+002,4.002939e+005,1.862031e+003
3.546031e-001,3.014918e+002,5.088969e+001,4.068607e+005,2.252802e+003
