r,phi,dphi,V,dV
1.026782e-009,9.739166e+005,-3.379312e+004,-5.449764e+019,-1.316467e+014
4.842196e-009,9.739166e+005,-1.593648e+005,-5.449764e+019,-1.316467e+014
1.255941e-008,9.739166e+005,-4.133513e+005,-5.449764e+019,-1.316467e+014
3.257588e-008,9.739166e+005,-1.072127e+006,-5.449764e+019,-1.316467e+014
8.449343e-008,9.739165e+005,-2.780822e+006,-5.449764e+019,-1.316468e+014
2.191542e-007,9.739158e+005,-7.212743e+006,-5.449761e+019,-1.316470e+014
5.684296e-007,9.739113e+005,-1.870815e+007,-5.449743e+019,-1.316486e+014
1.474360e-006,9.738808e+005,-4.852675e+007,-5.449624e+019,-1.316593e+014
3.824110e-006,9.736759e+005,-1.259118e+008,-5.448819e+019,-1.317312e+014
9.918756e-006,9.722953e+005,-3.273797e+008,-5.443329e+019,-1.322126e+014
2.572670e-005,9.629215e+005,-8.626538e+008,-5.402912e+019,-1.353284e+014
6.428043e-005,9.028812e+005,-2.273254e+009,-4.939808e+019,-1.455269e+014
9.506709e-005,8.148028e+005,-3.438550e+009,-4.054137e+019,-1.453705e+014
1.158139e-004,7.362210e+005,-4.109189e+009,-3.208840e+019,-1.349427e+014
1.322159e-004,6.655288e+005,-4.482977e+009,-2.476149e+019,-1.198584e+014
1.461354e-004,6.017761e+005,-4.654873e+009,-1.875194e+019,-1.033391e+014
1.584354e-004,5.442157e+005,-4.686564e+009,-1.399647e+019,-8.720010e+013
1.695936e-004,4.922134e+005,-4.620614e+009,-1.032703e+019,-7.239067e+013
1.799016e-004,4.452136e+005,-4.488429e+009,-7.548080e+018,-5.933054e+013
1.895488e-004,4.027236e+005,-4.313316e+009,-5.473731e+018,-4.812531e+013
1.986634e-004,3.643033e+005,-4.112518e+009,-3.943080e+018,-3.870351e+013
2.073346e-004,3.295579e+005,-3.898686e+009,-2.824215e+018,-3.090282e+013
2.156250e-004,2.981324e+005,-3.680970e+009,-2.012755e+018,-2.452290e+013
2.235790e-004,2.697074e+005,-3.465860e+009,-1.428151e+018,-1.935663e+013
2.312277e-004,2.439945e+005,-3.257821e+009,-1.009391e+018,-1.520754e+013
2.385921e-004,2.207340e+005,-3.059799e+009,-7.109209e+017,-1.189851e+013
2.456863e-004,1.996910e+005,-2.873597e+009,-4.991220e+017,-9.275201e+012
