r,phi,dphi,V,dV
2.525188e-004,1.806536e+005,-2.700177e+009,-3.494129e+017,-7.206275e+012
2.590939e-004,1.634303e+005,-2.539889e+009,-2.439626e+017,-5.581997e+012
2.654136e-004,1.478479e+005,-2.392640e+009,-1.689177e+017,-4.286412e+012
2.714778e-004,1.337500e+005,-2.258036e+009,-1.173960e+017,-3.303102e+012
2.772854e-004,1.209951e+005,-2.135493e+009,-8.141658e+016,-2.539392e+012
2.828350e-004,1.094553e+005,-2.024290e+009,-5.635246e+016,-1.948008e+012
2.881252e-004,9.901490e+004,-1.923642e+009,-3.893188e+016,-1.491311e+012
2.931554e-004,8.956917e+004,-1.832736e+009,-2.684949e+016,-1.139509e+012
2.979258e-004,8.102344e+004,-1.750763e+009,-1.848610e+016,-8.691366e+011
3.024377e-004,7.329207e+004,-1.676937e+009,-1.270774e+016,-6.617927e+011
3.066937e-004,6.629755e+004,-1.610509e+009,-8.722422e+015,-5.031033e+011
3.106975e-004,5.996975e+004,-1.550778e+009,-5.978320e+015,-3.818798e+011
3.144544e-004,5.424521e+004,-1.497091e+009,-4.091844e+015,-2.894409e+011
3.179706e-004,4.906650e+004,-1.448849e+009,-2.796911e+015,-2.190697e+011
3.212535e-004,4.438167e+004,-1.405504e+009,-1.909311e+015,-1.655833e+011
3.243114e-004,4.014368e+004,-1.366557e+009,-1.301757e+015,-1.249920e+011
3.271534e-004,3.630998e+004,-1.331559e+009,-8.864463e+014,-9.423163e+010
3.297891e-004,3.284205e+004,-1.300102e+009,-6.029154e+014,-7.095355e+010
3.322286e-004,2.970506e+004,-1.271822e+009,-4.095922e+014,-5.336138e+010
3.344824e-004,2.686746e+004,-1.246390e+009,-2.779371e+014,-4.008349e+010
3.365609e-004,2.430073e+004,-1.223512e+009,-1.883854e+014,-3.007446e+010
3.384746e-004,2.197902e+004,-1.202926e+009,-1.275434e+014,-2.253877e+010
3.402340e-004,1.987899e+004,-1.184395e+009,-8.625450e+013,-1.687200e+010
3.418492e-004,1.797949e+004,-1.167710e+009,-5.826651e+013,-1.261566e+010
3.433300e-004,1.626139e+004,-1.152681e+009,-3.931595e+013,-9.422371e+009
3.446862e-004,1.470739e+004,-1.139140e+009,-2.649892e+013,-7.029369e+009
3.459267e-004,1.330182e+004,-1.126936e+009,-1.783990e+013,-5.238116e+009
3.470604e-004,1.203053e+004,-1.115934e+009,-1.199651e+013,-3.898803e+009
3.480954e-004,1.088068e+004,-1.106013e+009,-8.057624e+012,-2.898528e+009
3.490395e-004,9.840699e+003,-1.097065e+009,-5.405518e+012,-2.152309e+009
3.499001e-004,8.900084e+003,-1.088992e+009,-3.621869e+012,-1.596249e+009
3.506839e-004,8.049349e+003,-1.081707e+009,-2.423692e+012,-1.182366e+009
3.513974e-004,7.279911e+003,-1.075132e+009,-1.619767e+012,-8.746642e+008
3.520465e-004,6.584005e+003,-1.069197e+009,-1.081027e+012,-6.461740e+008
3.526366e-004,5.954607e+003,-1.063838e+009,-7.204513e+011,-4.767091e+008
3.531729e-004,5.385364e+003,-1.058999e+009,-4.794326e+011,-3.511777e+008
3.536601e-004,4.870528e+003,-1.054629e+009,-3.185462e+011,-2.583091e+008
3.541024e-004,4.404902e+003,-1.050682e+009,-2.113009e+011,-1.896955e+008
3.545039e-004,3.983783e+003,-1.047116e+009,-1.399171e+011,-1.390717e+008
3.548682e-004,3.602918e+003,-1.043895e+009,-9.247633e+010,-1.017746e+008
3.551986e-004,3.258460e+003,-1.040984e+009,-6.099915e+010,-7.433722e+007
3.554983e-004,2.946931e+003,-1.038354e+009,-4.014986e+010,-5.418498e+007
3.557699e-004,2.665182e+003,-1.035977e+009,-2.636544e+010,-3.940826e+007
3.560161e-004,2.410368e+003,-1.033829e+009,-1.726982e+010,-2.859239e+007
3.562393e-004,2.179914e+003,-1.031888e+009,-1.128076e+010,-2.069065e+007
3.564414e-004,1.971493e+003,-1.030133e+009,-7.346233e+009,-1.492959e+007
3.566245e-004,1.782996e+003,-1.028547e+009,-4.767850e+009,-1.073844e+007
3.567904e-004,1.612521e+003,-1.027114e+009,-3.082756e+009,-7.696618e+006
3.569406e-004,1.458345e+003,-1.025817e+009,-1.984754e+009,-5.494629e+006
3.570766e-004,1.318908e+003,-1.024646e+009,-1.271662e+009,-3.905100e+006
3.571997e-004,1.192803e+003,-1.023586e+009,-8.102537e+008,-2.761255e+006
3.573112e-004,1.078755e+003,-1.022629e+009,-5.129352e+008,-1.940975e+006
3.574121e-004,9.756109e+002,-1.021763e+009,-3.222522e+008,-1.355009e+006
3.575035e-004,8.823284e+002,-1.020980e+009,-2.006178e+008,-9.382521e+005
3.575861e-004,7.979648e+002,-1.020272e+009,-1.235131e+008,-6.433161e+005
3.576609e-004,7.216674e+002,-1.019632e+009,-7.499436e+007,-4.357868e+005
3.577286e-004,6.526649e+002,-1.019053e+009,-4.473034e+007,-2.907344e+005
3.577899e-004,5.902600e+002,-1.018530e+009,-2.605309e+007,-1.901489e+005
3.578453e-004,5.338218e+002,-1.018057e+009,-1.467813e+007,-1.210581e+005
3.578954e-004,4.827799e+002,-1.017629e+009,-7.866542e+006,-7.414979e+004
3.579408e-004,4.366183e+002,-1.017242e+009,-3.877661e+006,-4.276394e+004
3.579819e-004,3.948705e+002,-1.016892e+009,-1.612860e+006,-2.215706e+004
3.580190e-004,3.571143e+002,-1.016576e+009,-3.843519e+005,-8.966811e+003
3.580526e-004,3.229683e+002,-1.016290e+009,2.342323e+005,-8.227913e+002
3.580830e-004,2.920871e+002,-1.016031e+009,5.040296e+005,3.935550e+003
3.581105e-004,2.641586e+002,-1.015797e+009,5.825577e+005,6.462870e+003
3.581353e-004,2.389006e+002,-1.015585e+009,5.629644e+005,7.554947e+003
3.581578e-004,2.160576e+002,-1.015394e+009,4.988702e+005,7.754336e+003
3.581782e-004,1.953988e+002,-1.015221e+009,4.199729e+005,7.426000e+003
3.581966e-004,1.767153e+002,-1.015065e+009,3.417605e+005,6.811261e+003
3.582132e-004,1.598183e+002,-1.014923e+009,2.714912e+005,6.066096e+003
3.582283e-004,1.445369e+002,-1.014795e+009,2.118235e+005,5.288175e+003
3.582419e-004,1.307166e+002,-1.014679e+009,1.629814e+005,4.535855e+003
3.582542e-004,1.182178e+002,-1.014575e+009,1.240161e+005,3.841414e+003
3.582654e-004,1.069141e+002,-1.014480e+009,9.351645e+004,3.220194e+003
3.582754e-004,9.669127e+001,-1.014394e+009,6.999035e+004,2.676874e+003
3.582846e-004,8.744589e+001,-1.014317e+009,5.205286e+004,2.209691e+003
3.582928e-004,7.908452e+001,-1.014247e+009,3.850467e+004,1.813267e+003
3.583003e-004,7.152265e+001,-1.014184e+009,2.835110e+004,1.480436e+003
3.583070e-004,6.468382e+001,-1.014126e+009,2.079119e+004,1.203415e+003
3.583131e-004,5.849890e+001,-1.014075e+009,1.519361e+004,9.745059e+002
3.583186e-004,5.290537e+001,-1.014028e+009,1.106874e+004,7.865045e+002
3.583236e-004,4.784668e+001,-1.013985e+009,8.041682e+003,6.329031e+002
3.583281e-004,4.327169e+001,-1.013947e+009,5.828269e+003,5.079706e+002
3.583322e-004,3.913414e+001,-1.013913e+009,4.214939e+003,4.067531e+002
3.583359e-004,3.539222e+001,-1.013881e+009,3.042302e+003,3.250294e+002
3.583392e-004,3.200810e+001,-1.013853e+009,2.192101e+003,2.592443e+002
3.583422e-004,2.894755e+001,-1.013827e+009,1.577045e+003,2.064309e+002
3.583450e-004,2.617965e+001,-1.013804e+009,1.132981e+003,1.641320e+002
3.583474e-004,2.367641e+001,-1.013783e+009,8.129401e+002,1.303263e+002
3.583497e-004,2.141252e+001,-1.013764e+009,5.826517e+002,1.033597e+002
3.583517e-004,1.936510e+001,-1.013747e+009,4.171821e+002,8.188518e+001
3.583535e-004,1.751345e+001,-1.013732e+009,2.984394e+002,6.481041e+001
3.583552e-004,1.583885e+001,-1.013717e+009,2.133263e+002,5.125256e+001
3.583567e-004,1.432438e+001,-1.013705e+009,1.523813e+002,4.050052e+001
3.583580e-004,1.295471e+001,-1.013693e+009,1.087817e+002,3.198305e+001
3.583592e-004,1.171601e+001,-1.013683e+009,7.761651e+001,2.524243e+001
3.583603e-004,1.059575e+001,-1.013674e+009,5.535547e+001,1.991269e+001
3.583613e-004,9.582606e+000,-1.013665e+009,3.946467e+001,1.570183e+001
3.583622e-004,8.666337e+000,-1.013657e+009,2.812742e+001,1.237728e+001
3.583631e-004,7.837680e+000,-1.013651e+009,2.004270e+001,9.754073e+000
3.583638e-004,7.088258e+000,-1.013644e+009,1.427965e+001,7.685356e+000
3.583645e-004,6.410493e+000,-1.013639e+009,1.017289e+001,6.054657e+000
3.583651e-004,5.797536e+000,-1.013633e+009,7.247141e+000,4.769718e+000
3.583656e-004,5.243187e+000,-1.013629e+009,5.163148e+000,3.757540e+000
3.583661e-004,4.741845e+000,-1.013625e+009,3.678902e+000,2.960415e+000
3.583666e-004,4.288439e+000,-1.013621e+009,2.621855e+000,2.332760e+000
3.583670e-004,3.878388e+000,-1.013617e+009,1.869035e+000,1.838601e+000
3.583673e-004,3.507545e+000,-1.013614e+009,1.332838e+000,1.449562e+000
3.583677e-004,3.172160e+000,-1.013611e+009,9.508723e-001,1.143276e+000
3.583680e-004,2.868845e+000,-1.013609e+009,6.882572e-001,9.137545e-001
3.583682e-004,2.594532e+000,-1.013607e+009,4.916656e-001,7.215328e-001
3.583685e-004,2.346448e+000,-1.013605e+009,3.514779e-001,5.701206e-001
3.583687e-004,2.122086e+000,-1.013603e+009,2.514656e-001,4.508194e-001
3.583689e-004,1.919176e+000,-1.013601e+009,1.800767e-001,3.567859e-001
3.583691e-004,1.735669e+000,-1.013599e+009,1.290877e-001,2.826373e-001
3.583692e-004,1.569708e+000,-1.013598e+009,9.264353e-002,2.241399e-001
3.583694e-004,1.419616e+000,-1.013597e+009,6.657442e-002,1.779642e-001
3.583695e-004,1.283875e+000,-1.013596e+009,4.791011e-002,1.414916e-001
3.583697e-004,1.161113e+000,-1.013595e+009,3.453396e-002,1.126626e-001
3.583698e-004,1.050090e+000,-1.013594e+009,2.493707e-002,8.985759e-002
3.583699e-004,9.496827e-001,-1.013593e+009,1.704966e-002,6.801298e-002
3.583699e-004,8.588760e-001,-1.013592e+009,1.140574e-002,5.030923e-002
3.583700e-004,7.767521e-001,-1.013591e+009,7.630121e-003,3.721375e-002
3.583701e-004,7.024807e-001,-1.013591e+009,5.104335e-003,2.752703e-002
3.583702e-004,6.353109e-001,-1.013590e+009,3.414656e-003,2.036175e-002
3.583702e-004,5.745638e-001,-1.013590e+009,2.284309e-003,1.506160e-002
3.583703e-004,5.196252e-001,-1.013589e+009,1.528138e-003,1.114107e-002
3.583703e-004,4.699397e-001,-1.013589e+009,1.022281e-003,8.241052e-003
3.583704e-004,4.250051e-001,-1.013588e+009,6.838772e-004,6.095910e-003
3.583704e-004,3.843670e-001,-1.013588e+009,4.574946e-004,4.509147e-003
3.583705e-004,3.476146e-001,-1.013588e+009,3.060509e-004,3.335417e-003
3.583705e-004,3.143764e-001,-1.013588e+009,2.047394e-004,2.467210e-003
3.583705e-004,2.843164e-001,-1.013587e+009,1.369649e-004,1.824996e-003
3.583705e-004,2.571306e-001,-1.013587e+009,9.162565e-005,1.349950e-003
3.583706e-004,2.325443e-001,-1.013587e+009,6.129497e-005,9.985586e-004
3.583706e-004,2.103089e-001,-1.013587e+009,4.100461e-005,7.386342e-004
3.583706e-004,1.901996e-001,-1.013586e+009,2.743092e-005,5.463680e-004
3.583706e-004,1.720131e-001,-1.013586e+009,1.835051e-005,4.041486e-004
3.583706e-004,1.555656e-001,-1.013586e+009,1.227598e-005,2.989489e-004
3.583707e-004,1.406907e-001,-1.013586e+009,8.212281e-006,2.211326e-004
3.583707e-004,1.272382e-001,-1.013586e+009,5.493784e-006,1.635719e-004
3.583707e-004,1.150719e-001,-1.013586e+009,3.675186e-006,1.209942e-004
3.583707e-004,1.040690e-001,-1.013586e+009,2.458596e-006,8.949943e-005
3.583707e-004,9.388294e-002,-1.013586e+009,1.628353e-006,6.570770e-005
3.583707e-004,8.374709e-002,-1.013586e+009,1.031052e-006,4.664072e-005
3.583707e-004,7.361123e-002,-1.013586e+009,6.154291e-007,3.167294e-005
3.583707e-004,6.347538e-002,-1.013585e+009,3.402693e-007,2.030823e-005
3.583707e-004,5.333952e-002,-1.013585e+009,1.696673e-007,1.205046e-005
3.583708e-004,4.320367e-002,-1.013585e+009,7.302713e-008,6.403509e-006
3.583708e-004,3.306782e-002,-1.013585e+009,2.506246e-008,2.871261e-006
3.583708e-004,2.293197e-002,-1.013585e+009,5.796513e-009,9.575909e-007
3.583708e-004,1.279611e-002,-1.013585e+009,5.619714e-010,1.663759e-007
3.583708e-004,2.660265e-003,-1.013585e+009,1.049787e-012,1.494965e-009
3.583708e-004,-3.804897e-004,-1.013585e+009,0.000000e+000,0.000000e+000
