phi,V,dV_dphi,lambda_eff,beta_lambda
2.926450233594e+002,4.576765269312e+005,3.955000513169e+002,2.496054469432e-004,-4.676497227036e-004
2.941119126434e+002,4.487444977502e+005,1.761441082405e+002,2.398880787145e-004,-4.659290114503e-004
2.955861547405e+002,4.393151477863e+005,-4.929761813747e+001,2.301970841165e-004,-4.642118846768e-004
2.970677865069e+002,4.293729343753e+005,-2.809507637534e+002,2.205324059020e-004,-4.624983333550e-004
2.985568449834e+002,4.189019061814e+005,-5.189432651081e+002,2.108939869765e-004,-4.607883484846e-004
3.000533673966e+002,4.078856933254e+005,-7.634053987083e+002,2.012817703977e-004,-4.590819210937e-004
3.015573911596e+002,3.963074972845e+005,-1.014469821157e+003,1.916956993751e-004,-4.573790422383e-004
3.030689538731e+002,3.841500805617e+005,-1.272271609904e+003,1.821357172695e-004,-4.556797030023e-004
3.045880933263e+002,3.713957561174e+005,-1.536948304661e+003,1.726017675925e-004,-4.539838944975e-004
3.061148474976e+002,3.580263765591e+005,-1.808639949503e+003,1.630937940057e-004,-4.522916078633e-004
3.076492545560e+002,3.440233230838e+005,-2.087489135655e+003,1.536117403209e-004,-4.506028342665e-004
3.091913528619e+002,3.293674941672e+005,-2.373641044982e+003,1.441555504989e-004,-4.489175649016e-004
3.107411809676e+002,3.140392939938e+005,-2.667243494194e+003,1.347251686493e-004,-4.472357909905e-004
3.122987776191e+002,2.980186206238e+005,-2.968446979773e+003,1.253205390301e-004,-4.455575037822e-004
3.138641817563e+002,2.812848538886e+005,-3.277404723634e+003,1.159416060471e-004,-4.438826945531e-004
3.154374325144e+002,2.638168430108e+005,-3.594272719540e+003,1.065883142534e-004,-4.422113546063e-004
3.170185692247e+002,2.455928939420e+005,-3.919209780267e+003,9.726060834900e-005,-4.405434752723e-004
3.186076314157e+002,2.265907564114e+005,-4.252377585549e+003,8.795843318033e-005,-4.388790479081e-004
3.202046588142e+002,2.067876106804e+005,-4.593940730802e+003,7.868173373966e-005,-4.372180638977e-004
3.218096913458e+002,1.861600539955e+005,-4.944066776642e+003,6.943045516470e-005,-4.355605146516e-004
