phi,dV_fd,dV_ana
9.86266e+011,1.01962e+034,1.01093e+034
1.02332e+012,1.14832e+034,1.13202e+034
1.06176e+012,1.27847e+034,1.26764e+034
1.10165e+012,1.43154e+034,1.41945e+034
1.14303e+012,1.60292e+034,1.58944e+034
1.18597e+012,1.79488e+034,1.77982e+034
1.23052e+012,2.00973e+034,1.99292e+034
1.27675e+012,2.25028e+034,2.23153e+034
1.32471e+012,2.5196e+034,2.49868e+034
1.37448e+012,2.82125e+034,2.79788e+034
1.42611e+012,3.15886e+034,3.13278e+034
1.47969e+012,3.53684e+034,3.50775e+034
1.53528e+012,3.96002e+034,3.92757e+034
1.59295e+012,4.43399e+034,4.39772e+034
1.65279e+012,4.96444e+034,4.92398e+034
1.71488e+012,5.55831e+034,5.51317e+034
1.7793e+012,6.22318e+034,6.17282e+034
1.84615e+012,6.96781e+034,6.91154e+034
1.9155e+012,7.80116e+034,7.73838e+034
1.98746e+012,8.73412e+034,8.66408e+034
2.06212e+012,9.77859e+034,9.70045e+034
2.13959e+012,1.09483e+035,1.0861e+035
2.21997e+012,1.22574e+035,1.216e+035
2.30336e+012,1.37229e+035,1.36142e+035
2.38989e+012,1.53641e+035,1.52427e+035
2.47967e+012,1.72008e+035,1.70653e+035
2.57283e+012,1.92569e+035,1.91058e+035
2.66948e+012,2.15587e+035,2.13901e+035
2.76976e+012,2.41364e+035,2.39479e+035
2.87381e+012,2.7021e+035,2.68108e+035
2.98177e+012,3.02501e+035,3.00156e+035
3.09379e+012,3.3865e+035,3.36034e+035
3.21001e+012,3.7913e+035,3.76207e+035
3.3306e+012,4.2443e+035,4.21168e+035
3.45572e+012,4.75139e+035,4.715e+035
3.58554e+012,5.31903e+035,5.27844e+035
3.72024e+012,5.95467e+035,5.90931e+035
3.85999e+012,6.66598e+035,6.61538e+035
4.005e+012,7.46221e+035,7.40575e+035
4.15546e+012,8.35349e+035,8.29051e+035
4.31156e+012,9.35151e+035,9.28113e+035
4.47353e+012,1.04683e+036,1.03898e+036
4.64159e+012,1.17184e+036,1.16308e+036
4.81596e+012,1.31182e+036,1.30203e+036
4.99688e+012,1.46845e+036,1.45753e+036
5.18459e+012,1.64378e+036,1.6316e+036
5.37936e+012,1.84003e+036,1.82644e+036
5.58145e+012,2.05977e+036,2.04458e+036
5.79112e+012,2.30566e+036,2.28871e+036
6.00868e+012,2.58088e+036,2.56198e+036
6.2344e+012,2.88894e+036,2.86785e+036
6.46861e+012,3.23386e+036,3.21029e+036
6.71161e+012,3.61981e+036,3.59352e+036
6.96374e+012,4.0518e+036,4.02248e+036
7.22535e+012,4.53532e+036,4.50261e+036
7.49678e+012,5.07668e+036,5.04012e+036
7.77841e+012,5.68244e+036,5.64165e+036
8.07062e+012,6.36043e+036,6.31493e+036
8.37381e+012,7.11928e+036,7.06852e+036
8.68838e+012,7.96888e+036,7.91215e+036
9.01478e+012,8.91952e+036,8.85624e+036
9.35343e+012,9.98352e+036,9.91291e+036
9.70481e+012,1.11747e+037,1.10958e+037
1.00694e+013,1.25076e+037,1.24196e+037
1.04477e+013,1.39994e+037,1.39012e+037
1.08401e+013,1.56689e+037,1.55594e+037
1.12474e+013,1.75381e+037,1.74157e+037
1.16699e+013,1.96295e+037,1.9493e+037
1.21083e+013,2.19702e+037,2.18179e+037
1.25632e+013,2.45899e+037,2.44199e+037
1.30351e+013,2.75226e+037,2.73327e+037
1.35248e+013,3.08039e+037,3.0592e+037
1.40329e+013,3.44763e+037,3.42399e+037
1.45601e+013,3.85863e+037,3.83226e+037
1.5107e+013,4.31874e+037,4.28927e+037
1.56746e+013,4.83353e+037,4.80065e+037
1.62634e+013,5.40965e+037,5.37298e+037
1.68744e+013,6.05442e+037,6.0135e+037
1.75083e+013,6.7762e+037,6.73047e+037
1.8166e+013,7.58375e+037,7.53274e+037
1.88484e+013,8.4875e+037,8.43059e+037
1.95565e+013,9.49891e+037,9.43542e+037
2.02912e+013,1.06311e+038,1.05601e+038
2.10535e+013,1.18978e+038,1.18186e+038
2.18444e+013,1.33154e+038,1.32271e+038
2.2665e+013,1.49022e+038,1.48035e+038
2.35164e+013,1.66776e+038,1.65675e+038
2.43999e+013,1.86643e+038,1.85415e+038
2.53165e+013,2.08877e+038,2.07507e+038
2.62675e+013,2.33764e+038,2.32233e+038
2.72543e+013,2.61608e+038,2.599e+038
2.82782e+013,2.92767e+038,2.90862e+038
2.93405e+013,3.27636e+038,3.2551e+038
3.04427e+013,3.66666e+038,3.6429e+038
3.15864e+013,4.10332e+038,4.07681e+038
3.27729e+013,4.59195e+038,4.56238e+038
3.40041e+013,5.13875e+038,5.10576e+038
3.52815e+013,5.75079e+038,5.71393e+038
3.6607e+013,6.43552e+038,6.39439e+038
3.79822e+013,7.20174e+038,7.15586e+038
3.9409e+013,8.05915e+038,8.00796e+038
4.08895e+013,9.01884e+038,8.96164e+038
4.24256e+013,1.00925e+039,1.00287e+039
4.40194e+013,1.12939e+039,1.12227e+039
4.5673e+013,1.26386e+039,1.2559e+039
4.73888e+013,1.41429e+039,1.40542e+039
4.9169e+013,1.58263e+039,1.57273e+039
5.10162e+013,1.77099e+039,1.75994e+039
5.29327e+013,1.98181e+039,1.96947e+039
5.49212e+013,2.21766e+039,2.20389e+039
5.69844e+013,2.48157e+039,2.46621e+039
5.91251e+013,2.77687e+039,2.75973e+039
6.13462e+013,3.10738e+039,3.08822e+039
6.36508e+013,3.47711e+039,3.45575e+039
6.60419e+013,3.89083e+039,3.86699e+039
6.85229e+013,4.35374e+039,4.32715e+039
7.10971e+013,4.87184e+039,4.84212e+039
7.3768e+013,5.45143e+039,5.41827e+039
7.65392e+013,6.09994e+039,6.06295e+039
7.94145e+013,6.82556e+039,6.7843e+039
8.23979e+013,7.63767e+039,7.59156e+039
8.54933e+013,8.54614e+039,8.4947e+039
8.8705e+013,9.56263e+039,9.50524e+039
9.20373e+013,1.07003e+040,1.06361e+040
9.54949e+013,1.19729e+040,1.19013e+040
9.90823e+013,1.33967e+040,1.33169e+040
1.02804e+014,1.49899e+040,1.49009e+040
1.06666e+014,1.67729e+040,1.66734e+040
1.10674e+014,1.87674e+040,1.86564e+040
1.14831e+014,2.0999e+040,2.08751e+040
1.19145e+014,2.34958e+040,2.33576e+040
1.23621e+014,2.62901e+040,2.61356e+040
1.28265e+014,2.94158e+040,2.92435e+040
1.33083e+014,3.29129e+040,3.27207e+040
1.38083e+014,3.68258e+040,3.66113e+040
1.4327e+014,4.12046e+040,4.0965e+040
1.48652e+014,4.61027e+040,4.58354e+040
1.54237e+014,5.1583e+040,5.12847e+040
1.60031e+014,5.77144e+040,5.73816e+040
1.66043e+014,6.45759e+040,6.42041e+040
1.72281e+014,7.22511e+040,7.18363e+040
1.78753e+014,8.08383e+040,8.03755e+040
1.85468e+014,8.88093e+040,8.99307e+040
1.92435e+014,1.01197e+041,1.0062e+041
1.99664e+014,1.13223e+041,1.12579e+041
2.07165e+014,1.26677e+041,1.25959e+041
2.14947e+014,1.41734e+041,1.40931e+041
2.23022e+014,1.58575e+041,1.5768e+041
2.31401e+014,1.77417e+041,1.76418e+041
2.40093e+014,1.98497e+041,1.97382e+041
2.49113e+014,2.22086e+041,2.2084e+041
2.58471e+014,2.48471e+041,2.47082e+041
2.68181e+014,2.7799e+041,2.7644e+041
2.78256e+014,3.11015e+041,3.09285e+041
2.88709e+014,3.47969e+041,3.46037e+041
2.99555e+014,3.89304e+041,3.87148e+041
3.10808e+014,4.35548e+041,4.33142e+041
3.22484e+014,4.87282e+041,4.84599e+041
3.34599e+014,5.45173e+041,5.42174e+041
3.47169e+014,6.09924e+041,6.06578e+041
3.60211e+014,6.82363e+041,6.78631e+041
3.73743e+014,7.63404e+041,7.59239e+041
3.87783e+014,8.54085e+041,8.49431e+041
4.02351e+014,9.55512e+041,9.5032e+041
4.17466e+014,1.06898e+042,1.06319e+042
4.33148e+014,1.19595e+042,1.18947e+042
4.4942e+014,1.33796e+042,1.33073e+042
4.66303e+014,1.49682e+042,1.48877e+042
4.83821e+014,1.67455e+042,1.66556e+042
5.01997e+014,1.87341e+042,1.86337e+042
5.20855e+014,2.09584e+042,2.08463e+042
5.40422e+014,2.34466e+042,2.33215e+042
5.60723e+014,2.62301e+042,2.60906e+042
5.81788e+014,2.93447e+042,2.91888e+042
6.03644e+014,3.28282e+042,3.26543e+042
6.26321e+014,3.67251e+042,3.65311e+042
6.4985e+014,4.10845e+042,4.0868e+042
6.74262e+014,4.59622e+042,4.57203e+042
6.99592e+014,5.14177e+042,5.11478e+042
7.25873e+014,5.75205e+042,5.72194e+042
7.53142e+014,6.43474e+042,6.40115e+042
7.81435e+014,7.1986e+042,7.16106e+042
8.10791e+014,8.05292e+042,8.01104e+042
8.4125e+014,9.00861e+042,8.96188e+042
8.72853e+014,1.00779e+043,1.00257e+043
9.05643e+014,1.12738e+043,1.12156e+043
9.39665e+014,1.26116e+043,1.25466e+043
9.74965e+014,1.41081e+043,1.40356e+043
1.01159e+015,1.57825e+043,1.57014e+043
1.04959e+015,1.76551e+043,1.75647e+043
1.08902e+015,1.97499e+043,1.9649e+043
1.12993e+015,2.20931e+043,2.19805e+043
1.17238e+015,2.47148e+043,2.4589e+043
1.21642e+015,2.76469e+043,2.75066e+043
1.26212e+015,3.09267e+043,3.07702e+043
1.30954e+015,3.45956e+043,3.44209e+043
1.35873e+015,3.87004e+043,3.85052e+043
1.40977e+015,4.32911e+043,4.30734e+043
1.46273e+015,4.84263e+043,4.81833e+043
1.51768e+015,5.41704e+043,5.38993e+043
1.5747e+015,6.0597e+043,6.02941e+043
1.63385e+015,6.77843e+043,6.74464e+043
1.69523e+015,7.58239e+043,7.54468e+043
1.75892e+015,8.48186e+043,8.43972e+043
1.82499e+015,9.48778e+043,9.44077e+043
1.89355e+015,1.0613e+044,1.05605e+044
1.96469e+015,1.18716e+044,1.18131e+044
2.03849e+015,1.32797e+044,1.32143e+044
2.11507e+015,1.48544e+044,1.47815e+044
2.19453e+015,1.66159e+044,1.65345e+044
2.27697e+015,1.85861e+044,1.84953e+044
2.36251e+015,2.07904e+044,2.06889e+044
2.45126e+015,2.32555e+044,2.31423e+044
2.54335e+015,2.60129e+044,2.58865e+044
2.63889e+015,2.9097e+044,2.8956e+044
2.73803e+015,3.25475e+044,3.23899e+044
2.84088e+015,3.64061e+044,3.62304e+044
2.94761e+015,4.07222e+044,4.05261e+044
3.05834e+015,4.55498e+044,4.5331e+044
3.17323e+015,5.09507e+044,5.07062e+044
3.29244e+015,5.69905e+044,5.67177e+044
3.41612e+015,6.37461e+044,6.34417e+044
3.54446e+015,7.13023e+044,7.09627e+044
3.67761e+015,7.97557e+044,7.93762e+044
3.81576e+015,8.92091e+044,8.87857e+044
3.95911e+015,9.97827e+044,9.93103e+044
4.10784e+015,1.11612e+045,1.11084e+045
4.26216e+015,1.2484e+045,1.24251e+045
4.42227e+015,1.39635e+045,1.38978e+045
4.5884e+015,1.56184e+045,1.55451e+045
4.76078e+015,1.74697e+045,1.73878e+045
4.93962e+015,1.954e+045,1.94486e+045
5.12519e+015,2.18556e+045,2.17536e+045
5.31772e+015,2.44454e+045,2.43316e+045
5.51749e+015,2.73428e+045,2.72156e+045
5.72477e+015,3.05827e+045,3.04408e+045
5.93983e+015,3.42065e+045,3.40482e+045
6.16297e+015,3.82595e+045,3.80829e+045
6.39449e+015,4.27936e+045,4.25962e+045
6.63471e+015,4.78639e+045,4.76436e+045
6.88395e+015,5.35347e+045,5.3289e+045
7.14256e+015,5.98773e+045,5.96031e+045
7.41088e+015,6.69725e+045,6.66661e+045
7.68928e+015,7.49067e+045,7.45648e+045
7.97814e+015,8.37806e+045,8.33992e+045
8.27786e+015,9.37075e+045,9.32813e+045
8.58883e+015,1.04808e+046,1.04333e+046
8.91148e+015,1.17223e+046,1.16693e+046
9.24626e+015,1.31109e+046,1.30517e+046
9.59361e+015,1.46642e+046,1.45981e+046
9.95401e+015,1.64012e+046,1.63273e+046
1.03279e+016,1.83438e+046,1.82614e+046
1.07159e+016,2.05165e+046,2.04246e+046
1.11185e+016,2.29469e+046,2.28442e+046
1.15362e+016,2.56647e+046,2.55501e+046
1.19696e+016,2.87042e+046,2.85764e+046
1.24192e+016,3.21037e+046,3.1961e+046
1.28858e+016,3.59064e+046,3.5747e+046
1.33698e+016,4.01586e+046,3.99807e+046
1.38721e+016,4.49142e+046,4.47158e+046
1.43932e+016,5.02329e+046,5.00115e+046
1.49339e+016,5.61825e+046,5.5935e+046
1.5495e+016,6.28352e+046,6.25591e+046
1.6077e+016,7.02755e+046,6.99675e+046
1.6681e+016,7.85984e+046,7.82542e+046
1.73077e+016,8.79048e+046,8.75207e+046
1.79578e+016,9.83128e+046,9.78842e+046
1.86325e+016,1.09953e+047,1.09475e+047
1.93324e+016,1.22974e+047,1.22439e+047
2.00587e+016,1.37533e+047,1.36937e+047
2.08122e+016,1.53815e+047,1.5315e+047
2.15941e+016,1.72025e+047,1.71283e+047
2.24053e+016,1.92395e+047,1.91565e+047
2.3247e+016,2.15171e+047,2.14245e+047
2.41203e+016,2.40642e+047,2.3961e+047
2.50264e+016,2.69129e+047,2.67976e+047
2.59666e+016,3.00993e+047,2.99706e+047
2.6942e+016,3.36622e+047,3.35185e+047
2.79542e+016,3.76468e+047,3.74864e+047
2.90043e+016,4.21028e+047,4.1924e+047
3.00939e+016,4.70873e+047,4.68874e+047
3.12244e+016,5.26606e+047,5.24375e+047
3.23974e+016,5.88933e+047,5.86445e+047
3.36145e+016,6.58651e+047,6.5587e+047
3.48773e+016,7.36604e+047,7.33501e+047
3.61875e+016,8.23781e+047,8.20318e+047
3.75469e+016,9.21273e+047,9.17409e+047
3.89575e+016,1.03032e+048,1.02601e+048
4.0421e+016,1.15225e+048,1.14744e+048
4.19394e+016,1.28861e+048,1.28323e+048
4.3515e+016,1.4411e+048,1.4351e+048
4.51497e+016,1.61167e+048,1.60496e+048
4.68458e+016,1.80238e+048,1.7949e+048
4.86056e+016,2.01565e+048,2.00731e+048
5.04316e+016,2.25416e+048,2.24484e+048
5.23261e+016,2.52093e+048,2.51053e+048
5.42919e+016,2.81921e+048,2.8076e+048
5.63314e+016,3.15278e+048,3.13982e+048
5.84476e+016,3.5258e+048,3.51135e+048
6.06433e+016,3.94304e+048,3.92689e+048
6.29215e+016,4.40955e+048,4.39152e+048
6.52852e+016,4.93124e+048,4.91112e+048
6.77378e+016,5.51463e+048,5.49219e+048
7.02824e+016,6.16717e+048,6.14209e+048
7.29227e+016,6.89676e+048,6.86877e+048
7.56622e+016,7.71264e+048,7.6814e+048
7.85046e+016,8.62521e+048,8.59031e+048
8.14537e+016,9.64552e+048,9.60657e+048
8.45137e+016,1.07865e+049,1.0743e+049
8.76886e+016,1.20624e+049,1.20139e+049
9.09827e+016,1.34896e+049,1.34354e+049
9.44006e+016,1.50851e+049,1.50247e+049
9.7947e+016,1.68694e+049,1.6802e+049
1.01627e+017,1.88648e+049,1.87895e+049
1.05444e+017,2.10965e+049,2.10124e+049
1.09405e+017,2.35917e+049,2.34978e+049
1.13515e+017,2.63819e+049,2.62772e+049
1.1778e+017,2.95021e+049,2.93852e+049
1.22204e+017,3.2992e+049,3.28614e+049
1.26795e+017,3.68938e+049,3.6748e+049
1.31559e+017,4.1257e+049,4.10943e+049
1.36501e+017,4.6136e+049,4.59545e+049
1.41629e+017,5.15932e+049,5.13904e+049
1.46949e+017,5.76944e+049,5.74681e+049
1.5247e+017,6.45169e+049,6.42644e+049
1.58197e+017,7.21478e+049,7.18656e+049
1.6414e+017,8.06792e+049,8.03643e+049
1.70307e+017,9.02192e+049,8.98678e+049
1.76704e+017,1.00887e+050,1.00495e+050
1.83343e+017,1.12819e+050,1.12381e+050
1.9023e+017,1.26159e+050,1.2567e+050
1.97376e+017,1.41075e+050,1.4053e+050
2.04791e+017,1.57755e+050,1.57146e+050
2.12485e+017,1.76411e+050,1.75731e+050
2.20467e+017,1.97269e+050,1.96509e+050
2.28749e+017,2.20591e+050,2.19744e+050
2.37342e+017,2.46671e+050,2.45726e+050
2.46259e+017,2.7584e+050,2.74784e+050
2.5551e+017,3.0845e+050,3.07271e+050
2.65108e+017,3.44915e+050,3.436e+050
2.75068e+017,3.8569e+050,3.84222e+050
2.85401e+017,4.31295e+050,4.29655e+050
2.96123e+017,4.8228e+050,4.80449e+050
3.07247e+017,5.39291e+050,5.37248e+050
3.18789e+017,6.03054e+050,6.00771e+050
3.30765e+017,6.74339e+050,6.71791e+050
3.43191e+017,7.54049e+050,7.51206e+050
3.56083e+017,8.43179e+050,8.40007e+050
3.6946e+017,9.42866e+050,9.39321e+050
3.8334e+017,1.05431e+051,1.05035e+051
3.9774e+017,1.17893e+051,1.17451e+051
4.12682e+017,1.31827e+051,1.31334e+051
4.28185e+017,1.47411e+051,1.46861e+051
4.44271e+017,1.64834e+051,1.64219e+051
4.6096e+017,1.84315e+051,1.83629e+051
4.78277e+017,2.06098e+051,2.05333e+051
4.96244e+017,2.30461e+051,2.29607e+051
5.14887e+017,2.57698e+051,2.56744e+051
5.34229e+017,2.88152e+051,2.87088e+051
5.54299e+017,3.22205e+051,3.21017e+051
5.75122e+017,3.60291e+051,3.58963e+051
5.96727e+017,4.02867e+051,4.01386e+051
6.19144e+017,4.50475e+051,4.48821e+051
6.42403e+017,4.90012e+051,5.01862e+051
6.66536e+017,5.63242e+051,5.61181e+051
6.91576e+017,6.29798e+051,6.27497e+051
7.17556e+017,7.04217e+051,7.01649e+051
7.44512e+017,7.87447e+051,7.84578e+051
7.72481e+017,8.80491e+051,8.77289e+051
8.01501e+017,9.84527e+051,9.80954e+051
8.3161e+017,1.10085e+052,1.09687e+052
8.62851e+017,1.23095e+052,1.2265e+052
8.95266e+017,1.37639e+052,1.37142e+052
9.28898e+017,1.53901e+052,1.53346e+052
9.63793e+017,1.72084e+052,1.71465e+052
1e+018,1.9242e+052,1.91728e+052
